,Player,Age,90s,mv,DF,FW,GK,MF,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err
0,8bc373ea,24,5.0,6000000,1,0,0,0,1.4,0.2,0.6,0.8,0.0,0.4,0.4,100.0,0.0,8.2,3.0,36.6,5.0,3.2,0.0,2.6,1.2,0.0,1.4,1.8,3.2,4.6,0.0
1,f586779e,22,2.6,38000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.31,5.38,43.8,0.38,3.85,8.08,1.15,0.77,0.0,0.38,0.38,0.38,0.77,0.0
2,b96b595c,32,8.0,10000000,1,0,0,0,1.75,1.0,1.0,0.75,0.0,0.5,1.38,36.4,0.88,10.0,4.12,41.3,5.75,3.5,0.75,2.25,0.62,0.0,1.62,1.62,3.38,3.5,0.0
3,81442ecb,28,3.6,15000000,1,0,0,0,2.5,2.22,1.67,0.56,0.28,1.11,1.94,57.1,0.83,14.72,3.33,22.6,3.33,7.22,4.17,2.78,0.0,0.0,2.78,1.67,4.17,3.33,0.0
4,2b09d998,21,3.2,20000000,1,0,0,1,2.19,2.19,1.25,0.62,0.31,0.94,3.75,25.0,2.81,24.38,9.38,38.5,10.0,11.88,2.5,2.5,0.0,0.0,2.5,1.25,3.44,1.25,0.0
5,501055d8,18,0.6,10000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,3.33,16.7,1.67,13.33,5.0,1.67,0.0,0.0,1.67,0.0,0.0,0.0,0.0
6,f76e6b4e,33,1.0,1000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,288e1e13,24,3.1,8000000,1,0,0,0,0.65,0.32,0.32,0.32,0.0,0.0,0.65,0.0,0.65,6.13,2.9,47.4,3.55,2.58,0.0,1.61,0.32,0.0,1.29,0.32,0.97,5.81,0.32
8,4d034881,32,1.7,18000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,11.76,2.35,20.0,1.18,4.71,5.88,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0
9,89ac64a6,25,7.0,30000000,1,0,0,0,1.29,0.86,0.57,0.71,0.0,0.43,1.43,30.0,1.0,8.57,3.29,38.3,5.0,3.57,0.0,1.14,0.43,0.0,0.71,1.14,2.43,3.14,0.14
