,mv2020,Player,Age,90s,mv,DF,FW,GK,MF
0,40000000.0,f586779e,22,2.6,38000000,0,1,0,0
1,11500000.0,2b09d998,21,3.2,20000000,1,0,0,1
2,4000000.0,f76e6b4e,33,1.0,1000000,0,0,1,0
3,52000000.0,4d034881,32,1.7,18000000,0,1,0,0
4,20000000.0,89ac64a6,25,7.0,30000000,1,0,0,0
5,52000000.0,05439de2,28,9.0,55000000,1,0,0,1
6,40000000.0,4601e194,31,5.4,20000000,1,0,0,0
7,48000000.0,77e84962,29,2.5,30000000,0,0,0,1
8,18000000.0,6c811eb7,22,1.4,15000000,0,0,0,1
9,99000000.0,cd1acf9d,21,7.9,75000000,1,0,0,0
10,72000000.0,7a2e46a8,27,7.0,60000000,0,0,1,0
11,20000000.0,f4290206,29,2.0,12000000,1,0,0,0
12,4800000.0,8ce30c57,27,2.6,4500000,0,0,0,1
13,8000000.0,8b3ab7ad,22,1.4,14000000,1,0,0,1
14,17500000.0,30941e96,23,7.0,35000000,1,0,0,0
15,17500000.0,30941e96,23,7.0,35000000,1,0,0,0
16,4000000.0,108fe016,20,2.7,8000000,0,0,0,1
17,2000000.0,c63f6e46,33,4.7,3000000,0,1,0,0
18,32000000.0,28d596a0,25,1.0,13000000,0,0,1,0
19,32000000.0,45af8a54,24,6.9,35000000,0,1,0,0
20,2400000.0,552e00b9,22,0.5,2500000,0,0,0,1
21,14500000.0,10549b49,25,3.2,25000000,0,1,0,0
22,24000000.0,53cad200,30,10.7,13000000,1,0,0,0
23,7200000.0,7c3ed041,21,2.8,8000000,1,0,0,0
24,36000000.0,6928979a,23,5.9,65000000,0,0,0,1
25,16000000.0,8e7f49d3,26,5.5,15000000,0,0,0,1
26,44000000.0,50dc94ce,23,3.1,30000000,0,1,0,1
27,40000000.0,3b8674e6,23,5.2,35000000,0,0,0,1
28,32000000.0,70d74ece,32,9.3,25000000,0,1,0,0
29,28000000.0,ee93c1a9,26,1.7,15000000,1,0,0,1
30,20000000.0,691bef82,30,4.6,15000000,1,0,0,1
31,12000000.0,2db2fd7b,31,5.8,8500000,1,0,0,0
32,20000000.0,52ec54d0,33,5.5,8000000,1,0,0,0
33,1600000.0,1c07b06e,27,4.6,5000000,0,0,0,1
34,40000000.0,a167537f,24,2.4,20000000,0,0,0,1
35,48000000.0,33b8d077,27,4.1,40000000,0,0,0,1
36,1000000.0,e40d028b,42,1.0,1000000,0,0,1,0
37,11000000.0,9d12e142,29,4.0,4000000,0,0,1,0
38,28000000.0,5ab0ea87,32,3.7,9000000,0,0,0,1
39,11000000.0,ac7e640b,26,0.1,5000000,1,0,0,0
40,6500000.0,13ea2544,23,3.2,1500000,0,0,0,1
41,24000000.0,a65ce836,26,5.2,26000000,1,0,0,1
42,36000000.0,bd6351cd,26,6.7,55000000,1,0,0,0
43,22500000.0,de39485a,26,4.2,40000000,1,0,0,1
44,40000000.0,4958bfb2,28,1.8,30000000,1,0,0,0
45,64000000.0,4d224fe8,28,9.2,70000000,0,0,0,1
46,20000000.0,527f063d,33,2.3,6000000,0,1,0,0
47,2400000.0,10fe831e,23,5.0,2500000,1,0,0,0
48,24000000.0,1cb49278,24,6.6,30000000,1,0,0,0
49,40000000.0,042e8a49,24,6.0,65000000,0,1,0,0
50,800000.0,0331786b,24,2.3,1500000,1,0,0,0
51,2000000.0,6ceef869,34,4.5,1000000,1,0,0,0
52,32000000.0,01eb744d,25,5.4,40000000,0,1,0,1
53,24000000.0,4fa7cb9b,29,2.6,6000000,0,1,0,1
54,48000000.0,1840e36d,28,12.0,60000000,0,0,1,0
55,56000000.0,0ef89a37,28,1.5,30000000,0,0,0,1
56,14500000.0,0ab1f153,32,6.1,16000000,1,0,0,0
57,10500000.0,44eb9093,31,3.4,5000000,1,0,0,0
58,16000000.0,29c02c9f,21,2.5,12000000,1,0,0,0
