,Player Name,League,Squad,Country,Position,Annualized Salary
0,i.winter,A,Fanatical Outlaws,Danan Seekeeling,DF,26230000
1,p.nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,10180000
2,z.iqbal,A,Fanatical Outlaws,Galamily,DF,27000000
3,f.kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,19740000
4,l.rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,27030000
5,s.anyait,A,Fanatical Outlaws,People's Land of Maneau,DF,18960000
6,j.teko,A,Fanatical Outlaws,Sobianitedrucy,DF,8020000
7,i.huber,A,Fanatical Outlaws,Lenia Gerdanho,DFFW,27600000
8,j.bala,A,Fanatical Outlaws,People's Land of Maneau,DFFW,23030000
9,d.oren,A,Fanatical Outlaws,Central Diasongo,FW,30120000
10,i.namirimu,A,Fanatical Outlaws,Thaijagypt,FW,25950000
11,m.namukwaya,A,Fanatical Outlaws,Ngoque Blicri,FWDF,27750000
12,j.akello,A,Fanatical Outlaws,Bernepamar,FWMF,29220000
13,i.kamukama,A,Fanatical Outlaws,Lefghau,FWMF,34090000
14,w.lew,A,Fanatical Outlaws,Nganion,FWMF,23090000
15,b.derosa,A,Fanatical Outlaws,People's Land of Maneau,FWMF,27370000
16,d.john,A,Fanatical Outlaws,Pierrema,FWMF,32840000
17,s.kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,17580000
18,r.chee,A,Fanatical Outlaws,Southslands,GK,5250000
19,f.pop,A,Fanatical Outlaws,Galamily,MF,32160000
20,d.alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,21620000
21,i.iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,17300000
22,e.taylor,A,Fanatical Outlaws,People's Land of Maneau,MFFW,32720000
23,h.tourgeman,A,Fanatical Outlaws,Rarita,MFFW,30700000
24,q.hor,A,Fighting Cougars,Byasier Pujan,DF,15100000
25,d.ikeda,A,Fighting Cougars,People's Land of Maneau,DF,17210000
26,g.kohler,A,Fighting Cougars,People's Land of Maneau,DF,23440000
27,i.ludwig,A,Fighting Cougars,People's Land of Maneau,DF,27450000
28,k.toth,A,Fighting Cougars,People's Land of Maneau,DF,26350000
29,u.ortiz,A,Fighting Cougars,People's Land of Maneau,DF,15200000
30,y.rabinovitch,A,Fighting Cougars,Western Niasland,DF,15950000
31,r.petrenko,A,Fighting Cougars,Lefghau,DFMF,18590000
32,d.kikuchi,A,Fighting Cougars,Nkasland Cronestan,DFMF,19140000
33,z.no,A,Fighting Cougars,People's Land of Maneau,DFMF,14730000
34,w.nabatanzi,A,Fighting Cougars,Esia,FW,10230000
35,v.taheri,A,Fighting Cougars,People's Land of Maneau,FW,28630000
36,r.bintihassan,A,Fighting Cougars,Southslands,FW,18910000
37,k.goncalves,A,Fighting Cougars,Quewenia,FWDF,30370000
38,g.bellini,A,Fighting Cougars,Buhegeor,FWMF,24400000
39,l.wafula,A,Fighting Cougars,Dosqaly,FWMF,24770000
40,m.hsieh,A,Fighting Cougars,Lonnia Haba,FWMF,17540000
41,f.cho,A,Fighting Cougars,Southern Ristan,FWMF,32370000
42,z.marini,A,Fighting Cougars,Central Republic of Boekrainego,GK,22740000
43,p.robinson,A,Fighting Cougars,Nganion,GK,22460000
44,i.azulay,A,Fighting Cougars,Byasier Pujan,MF,21300000
45,h.narvaez,A,Fighting Cougars,Reugha,MF,18780000
46,r.matovu,A,Fighting Cougars,Southslands,MF,2620000
47,p.chew,A,Fighting Cougars,Esia,MFDF,28480000
48,o.kia,A,Fighting Cougars,Western Niasland,MFDF,23910000
49,q.nabimanya,A,Fighting Cougars,Imaar Vircoand,MFFW,10780000
50,i.ocen,A,Fighting Cougars,People's Land of Maneau,MFFW,28360000
51,d.daniel,A,Great Galactic Gorgons,People's Land of Maneau,DF,13630000
52,f.kembabazi,A,Great Galactic Gorgons,People's Land of Maneau,DF,18790000
53,f.lieu,A,Great Galactic Gorgons,People's Land of Maneau,DF,3260000
54,h.akugizibwe,A,Great Galactic Gorgons,People's Land of Maneau,DF,18580000
55,i.akpan,A,Great Galactic Gorgons,People's Land of Maneau,DF,20540000
56,t.awuah,A,Great Galactic Gorgons,People's Land of Maneau,DF,17100000
57,t.barigye,A,Great Galactic Gorgons,People's Land of Maneau,DF,15110000
58,u.ban,A,Great Galactic Gorgons,People's Land of Maneau,DF,31340000
59,i.najjemba,A,Great Galactic Gorgons,Southslands,DF,24550000
60,x.nalukenge,A,Great Galactic Gorgons,Southslands,DF,25340000
