"","s1"
"(Intercept)",11.9991114463581
"Age",0.277322162525114
"X90s",0.230407407785693
"Tota.Cmp",0
"Tota.Att",0
"Tota.Cmp.",0.00555288282504254
"Tota.TotDist",0
"Tota.PrgDist",0
"Shor.Cmp",0
"Shor.Att",0.000233113544378185
"Shor.Cmp.",0.00100003762379867
"Medi.Cmp",0.0291245292872361
"Medi.Att",-0.0335483626619313
"Medi.Cmp.",0.00159285910146127
"Long.Cmp",0.00525875010708163
"Long.Att",-0.0198556209601733
"Long.Cmp.",0.00618716641835433
"Ast",0.0167506328192051
"xA",1.03404399561578
"A.xA",0
"KP",0.0378773892156886
"X1.3",0.0659088838724481
"PPA",0.209017173607035
"CrsPA",-0.155752225050204
"Prog",-0.00542111806939179
"I(Age^2)",-0.00708929412211026
