"","s1"
"(Intercept)",11.7040073546865
"Age",0.395744725497562
"X90s",0.234783997381847
"Gls",0
"Stan.Sh",0.144552766818276
"Stan.SoT",0
"Stan.SoT.",-0.0020682048621384
"Stan.Sh.90",0.0677090499652987
"Stan.SoT.90",0.157058680791676
"Stan.G.Sh",-0.566744218380778
"Stan.G.SoT",0.278131095633222
"Stan.Dist",-0.0075819594242017
"Stan.FK",0.183990261170854
"Perf.PK",0
"Perf.PKatt",0.601238890350294
"Expe.xG",0
"Expe.npxG",-1.29796423713066
"Expe.npxG.Sh",2.20147977567966
"Expe.G.xG",0
"Expe.np.G.xG",0.282699775178668
"I(Age^2)",-0.00957741652171584
