"","Player","Nation","Squad","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9","trial"
"1","s.kiconco","Nkasland Cronestan","Fanatical Outlaws",6200000,5600000,5e+06,4500000,4e+06,3500000,3100000,2800000,2500000,2200000,0
"2","r.chee","Southslands","Fanatical Outlaws",3300000,3e+06,2700000,2400000,2200000,2e+06,1800000,1600000,1400000,1200000,0
"3","z.marini","Central Republic of Boekrainego","Fighting Cougars",3900000,3600000,3300000,3e+06,2700000,2500000,2200000,2e+06,1800000,1600000,0
"4","p.robinson","Nganion","Fighting Cougars",12100000,11400000,10600000,9900000,9200000,8500000,7800000,7200000,6600000,6e+06,0
"5","a.soong","People's Land of Maneau","Great Galactic Gorgons",13200000,12300000,11500000,10700000,9900000,9200000,8500000,7800000,7100000,6500000,0
"6","g.mwebaze","Nganion","Green Fleet",7200000,6600000,6e+06,5500000,5e+06,4500000,4100000,3700000,3300000,3e+06,0
"7","p.kabugo","People's Land of Maneau","Green Fleet",10500000,9800000,9100000,8400000,7800000,7200000,6600000,6100000,5500000,5e+06,0
"8","e.wibowo","Coastpa Barleslands","Horrible Grizzlies",11200000,10300000,9500000,8600000,7900000,7200000,6500000,5900000,5300000,4700000,0
"9","r.wanyama","Imaar Vircoand","Horrible Grizzlies",1300000,1200000,1e+06,9e+05,8e+05,7e+05,6e+05,6e+05,5e+05,4e+05,0
"10","j.nkrumah","Nganion","Horrible Grizzlies",5600000,5200000,4800000,4400000,4100000,3700000,3400000,3100000,2800000,2500000,0
"11","s.tamale","Imaar Vircoand","Horrible Storm",12100000,11200000,10300000,9400000,8600000,7900000,7100000,6500000,5800000,5300000,0
"12","y.acola","Rarita","Marvelous Patriots",7500000,6800000,6100000,5500000,5e+06,4400000,4e+06,3500000,3100000,2800000,0
"13","z.marini","Central Republic of Boekrainego","Mighty Jays",3900000,3600000,3300000,3e+06,2700000,2500000,2300000,2e+06,1800000,1700000,0
"14","x.adikini","Cuandbo","Mighty Jays",5700000,5300000,4900000,4500000,4200000,3800000,3500000,3200000,2900000,2600000,0
"15","v.kumwenda","Esia","Mighty Jays",12300000,11300000,10400000,9500000,8600000,7900000,7100000,6400000,5800000,5200000,0
"16","u.nakazibwe","Lefghau","Old Mustangs",12300000,11400000,10400000,9600000,8700000,8e+06,7200000,6600000,5900000,5300000,0
"17","f.walker","Nganion","Old Mustangs",2800000,2500000,2300000,2100000,1900000,1700000,1500000,1300000,1200000,1e+06,0
"18","p.tetteh","Southslands","Old Mustangs",9e+06,8400000,7900000,7300000,6800000,6300000,5900000,5400000,5e+06,4600000,0
"19","h.ochan","Greri Landmoslands","Punctual Rustlers",8100000,7700000,7200000,6700000,6300000,5800000,5400000,5e+06,4600000,4200000,0
"20","x.neri","People's Land of Maneau","Punctual Rustlers",11300000,10500000,9600000,8900000,8100000,7400000,6800000,6100000,5600000,5e+06,0
"21","m.ngamita","Xikong","Punctual Rustlers",3800000,3400000,3100000,2800000,2600000,2300000,2100000,1900000,1700000,1500000,0
"22","q.musimenta","Nganion","Silver Heels",7e+06,6300000,5700000,5200000,4600000,4100000,3700000,3300000,2900000,2600000,0
"23","c.leroy","People's Land of Maneau","Silver Heels",6e+06,5600000,5100000,4700000,4300000,3900000,3600000,3200000,2900000,2600000,0
"24","s.zandamela","Mico","Solemn Cougars",6e+06,5500000,4900000,4500000,4e+06,3600000,3200000,2800000,2500000,2200000,0
"25","m.janssens","Ledian","Somber Bombers",4500000,4100000,3700000,3400000,3100000,2800000,2500000,2200000,2e+06,1800000,0
"26","p.johansson","People's Land of Maneau","Somber Bombers",7700000,7100000,6500000,5900000,5400000,4900000,4400000,4e+06,3600000,3200000,0
"27","f.ribeiro","People's Land of Maneau","Swift Musketeers",6e+06,5500000,5e+06,4600000,4100000,3700000,3400000,3e+06,2700000,2400000,0
"28","s.aslan","People's Land of Maneau","Swift Musketeers",3600000,3300000,3e+06,2700000,2400000,2200000,2e+06,1700000,1600000,1400000,0
"29","y.draru","Rarita","Ultimate Penguins",3e+06,2700000,2400000,2100000,1900000,1700000,1500000,1300000,1100000,1e+06,0
"30","n.kyohirwe","Dosqaly","Weak Tornadoes",8600000,7900000,7300000,6700000,6100000,5600000,5100000,4600000,4100000,3700000,0
"31","e.bintiismail","Ledian","Weak Tornadoes",3600000,3400000,3100000,2900000,2700000,2500000,2300000,2100000,1900000,1700000,0
"32","y.kyosiimire","Nganion","Flawless Cows",7300000,6700000,6200000,5700000,5200000,4800000,4300000,4e+06,3600000,3200000,0
"33","x.driscoll","Nkasland Cronestan","Flawless Cows",7600000,7200000,6700000,6300000,5900000,5500000,5100000,4700000,4300000,4e+06,0
"34","p.addae","South Sati Fatina","Flawless Cows",7e+06,6300000,5700000,5200000,4600000,4200000,3700000,3300000,2900000,2600000,0
"35","f.kimera","Dosqaly","Glistening Paladins",12200000,11300000,10600000,9800000,9100000,8400000,7700000,7e+06,6400000,5900000,0
"36","t.okello","Dosqaly","Glistening Paladins",5300000,5e+06,4600000,4300000,4e+06,3700000,3400000,3100000,2900000,2600000,0
"37","v.bwambale","Dosqaly","Golden Rustlers",6500000,5900000,5300000,4800000,4300000,3800000,3400000,3100000,2700000,2400000,0
"38","u.yamasaki","Coastpa Barleslands","Grotesque Rocks",6300000,5800000,5400000,5e+06,4700000,4300000,4e+06,3600000,3300000,3e+06,0
"39","s.bintiothman","Lylimi","Grotesque Rocks",3200000,2900000,2600000,2300000,2e+06,1800000,1600000,1400000,1200000,1100000,0
"40","t.bukar","Southern Ristan","Grotesque Rocks",3600000,3300000,3100000,2800000,2500000,2300000,2100000,1900000,1700000,1500000,0
"41","a.lamunu","Dosqaly","Jumping Beans",4400000,4100000,3900000,3600000,3400000,3200000,2900000,2700000,2500000,2300000,0
"42","k.adero","Rosvi","Jumping Beans",15400000,14300000,13300000,12300000,11300000,10400000,9600000,8700000,8e+06,7200000,0
"43","j.ogawa","Dosqaly","Mean Colts",5100000,4600000,4200000,3700000,3300000,3e+06,2700000,2400000,2100000,1800000,0
"44","a.chipeta","Zamlie Niabangthe","Mean Colts",3e+06,2800000,2600000,2500000,2300000,2100000,1900000,1800000,1600000,1500000,0
"45","a.suboti","Dosqaly","Mean Poets",3200000,2900000,2600000,2400000,2100000,1900000,1700000,1600000,1400000,1200000,0
