"","s1"
"(Intercept)",15.6527582151703
"Age",0
"X90s",0.222148380757432
"Tota.Cmp",0
"Tota.Att",0
"Tota.Cmp.",0.00336189971231422
"Tota.TotDist",0
"Tota.PrgDist",0
"Shor.Cmp",0
"Shor.Att",0
"Shor.Cmp.",0
"Medi.Cmp",0
"Medi.Att",0
"Medi.Cmp.",0.00198678970914249
"Long.Cmp",0
"Long.Att",-0.011501256650749
"Long.Cmp.",0.00600029246996684
"Ast",0
"xA",1.03528380775512
"A.xA",0
"KP",0.000182820063462738
"X1.3",0.0467056281309195
"PPA",0.147562901124247
"CrsPA",0
"Prog",0
"I(Age^2)",-0.00172594928131067
