"","Player","Nation","Squad","Age","Born","X90s","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"1","i.winter","Danan Seekeeling","Fanatical Outlaws",28,1991,13.36,1.7,1.01,1.58,0.3,0,1,1.87,1,1,10.15,3.3,1,6.65,3.37,0.18,1.88,0.42,0.08,1.44,1.14,2.81,6.65,0.06,9800000,9e+06,8300000,7600000,7e+06,6400000,5800000,5300000,4800000,4300000
"2","p.nakubulwa","Dosqaly","Fanatical Outlaws",23,1997,15.21,1.7,1.26,0.91,0.81,0.1,0.29,1.18,1,0.73,7.46,2.71,1,3.96,3.17,0.29,2.38,1.49,0.11,0.63,1.02,2.68,5.41,0.04,16800000,15700000,14700000,13700000,12700000,11700000,10800000,1e+07,9100000,8400000
"3","z.iqbal","Galamily","Fanatical Outlaws",27,1992,33.83,2.29,1.21,1.6,0.5,0.04,1.37,2.79,1,1.48,13.54,3.65,1,7.36,4.22,2.01,2.25,0.11,0,2.11,1.05,3.36,3.57,0.05,31300000,2.9e+07,26700000,24600000,22600000,20700000,18900000,17200000,15600000,14100000
"4","f.kizito","People's Land of Maneau","Fanatical Outlaws",20,2000,5.87,1.54,0.5,1.22,0.02,0.27,0.95,1.52,1,0.7,13.92,2.28,1,7.85,3.86,2.39,1.69,0.28,0.2,1.4,1.97,3.53,2.41,0,10900000,10300000,9700000,9100000,8500000,7900000,7400000,6800000,6300000,5900000
"5","l.rezaei","People's Land of Maneau","Fanatical Outlaws",30,1989,35.21,0.93,0.37,0.47,0.4,0.03,0.5,0.95,1,0.54,6.49,1.86,1,3.4,2.5,0.58,1.38,0.4,0.01,0.95,0.92,1.92,2.76,0.09,28900000,26500000,24300000,22200000,20200000,18300000,16600000,1.5e+07,13500000,12100000
"6","s.anyait","People's Land of Maneau","Fanatical Outlaws",30,1990,21.31,0.71,0.43,0.7,0,0.02,0.07,0.51,1,0.44,6.8,2.02,1,4.48,2.18,0.23,1.43,1.19,0.14,0.42,1.91,2.44,6.13,0.1,13300000,12200000,11200000,10200000,9300000,8400000,7600000,6900000,6200000,5600000
"7","j.teko","Sobianitedrucy","Fanatical Outlaws",32,1988,27.6,1.01,0.78,0.83,0.2,0.01,0.05,0.69,1,0.41,7.95,3.11,1,4.81,2.68,0.44,1.45,0.46,0.1,0.91,0.99,2,6.02,0,15800000,14400000,13100000,11900000,10800000,9700000,8800000,7900000,7e+06,6300000
"8","i.huber","Lenia Gerdanho","Fanatical Outlaws",26,1993,11.12,1.76,1.26,1.37,0.27,0.08,0.91,3.1,1,2.1,12.03,3.83,1,7.14,3.59,1.56,3.16,0.05,0.01,3.05,0.63,2.25,1.4,0,10200000,9500000,8800000,8100000,7400000,6800000,6200000,5700000,5200000,4700000
"9","j.bala","People's Land of Maneau","Fanatical Outlaws",27,1992,6.28,2.12,0.97,1.2,0.97,0.05,1.05,2.12,1,1.2,10.3,2.06,1,6.1,2.28,2.15,2.63,0.29,0.08,2.19,1.37,3.27,3.51,0.06,7400000,6800000,6300000,5800000,5300000,4900000,4500000,4100000,3700000,3300000
"10","d.oren","Central Diasongo","Fanatical Outlaws",26,1994,10.49,1.16,0.34,0.2,0.43,0.48,0.32,1.74,1,1.44,19.01,3.99,1,1.09,11.19,6.91,0.31,0.17,0,0.32,0.53,1.64,0.71,0.02,1.3e+07,1.2e+07,11100000,10300000,9500000,8700000,7900000,7300000,6600000,6e+06
"11","i.namirimu","Thaijagypt","Fanatical Outlaws",30,1990,21.88,0.64,0.3,0.02,0.27,0.33,0.03,0.34,1,0.42,11.59,3.03,1,0.83,4.14,6.56,1.21,0.4,0,0.73,0.47,1.14,0.44,0,17100000,15700000,14300000,13100000,11900000,10800000,9800000,8800000,7900000,7100000
"12","m.namukwaya","Ngoque Blicri","Fanatical Outlaws",32,1987,0.15,9.93,9.91,0.06,0,9.92,0.08,0.06,0,0,0,0,0,0,0,0.07,0,0.08,0.07,0,0.06,9.93,0,0.05,4100000,3700000,3400000,3100000,2800000,2500000,2300000,2e+06,1800000,1600000
"13","j.akello","Bernepamar","Fanatical Outlaws",30,1989,4.26,1.51,0.96,0.72,0.5,0.15,0.23,1.52,1,1.12,13.22,5.09,1,5.22,5.09,3.03,1.75,0,0,1.65,0.77,2.08,0.15,0.02,5800000,5300000,4800000,4400000,4e+06,3600000,3300000,3e+06,2700000,2400000
"14","i.kamukama","Lefghau","Fanatical Outlaws",27,1993,0.04,0.93,1.06,0.06,1,0,0,2.05,0,2.04,2.93,1.02,1,0.94,1.96,0.07,0.08,0,0.04,0,0,0.99,0.04,0,6100000,5600000,5200000,4800000,4400000,4e+06,3700000,3300000,3e+06,2700000
