"","Player","Nation","Squad","Age","Born","X90s","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"1","i.winter","Danan Seekeeling","Fanatical Outlaws",28,1991,13.28,26.79,34.98,1,646.77,247.8,5.79,6.54,1,14.04,16.06,1,6.61,11.64,1,0,0.08,0.03,0.02,2.48,0.03,0.05,2.26,8600000,7600000,6600000,5600000,4700000,3900000,3200000,2600000,2100000,1600000
"2","p.nakubulwa","Dosqaly","Fanatical Outlaws",23,1997,15.33,31.08,36.8,1,612.98,189.48,10.58,12.04,1,15.91,17.49,1,4.29,6.69,1,0.08,0.06,0.09,0.14,1.88,0,0,1.39,15400000,14500000,13600000,12500000,11300000,10100000,8900000,7700000,6600000,5600000
"3","z.iqbal","Galamily","Fanatical Outlaws",27,1992,33.84,35.44,49.86,1,607.21,300.16,16.97,19.32,1,14.26,19.49,1,3.6,8.59,1,0.17,0.19,0.05,1.36,2.41,1.28,0.63,3.51,43200000,38600000,33900000,29400000,25200000,21200000,17600000,14400000,11600000,9200000
"4","f.kizito","People's Land of Maneau","Fanatical Outlaws",20,2000,5.82,26.62,37.73,1,457.84,185.28,14.77,16.2,1,7.93,11.37,1,2.94,6.92,1,0.01,0.12,0,0.63,2.13,0.5,0.44,2.5,1.1e+07,10800000,10600000,10200000,9600000,9e+06,8300000,7500000,6700000,5900000
"5","l.rezaei","People's Land of Maneau","Fanatical Outlaws",30,1989,35.18,43.77,58.67,1,877.37,419.32,18.66,20.86,1,17.42,20.81,1,7.08,14.75,1,0.32,0.25,0.05,1.73,4.23,0.74,0.42,3.43,35400000,30200000,25500000,21100000,17300000,13900000,11100000,8700000,6700000,5100000
"6","s.anyait","People's Land of Maneau","Fanatical Outlaws",30,1990,21.31,27.63,33.58,1,660.29,184.36,6.05,6.45,1,14.26,15.21,1,7.09,11.17,1,0,0.03,0,0.14,1.85,0.14,0.02,1.15,10100000,8600000,7300000,6e+06,4900000,4e+06,3200000,2500000,1900000,1500000
"7","j.teko","Sobianitedrucy","Fanatical Outlaws",32,1988,27.68,29.27,34.77,1,642.24,168.58,6.94,7.71,1,16.84,18.34,1,4.95,7.87,1,0.05,0.07,0,0.09,1.01,0.05,0.07,0.86,9900000,8300000,6800000,5400000,4300000,3400000,2600000,2e+06,1500000,1100000
"8","i.huber","Lenia Gerdanho","Fanatical Outlaws",26,1993,11.21,39.59,49.33,1,670.81,227.73,21.92,24.35,1,13.54,17.04,1,3.69,5.83,1,0.24,0.21,0.02,1.15,2.18,1.45,0.82,3.47,16200000,14700000,13100000,11500000,1e+07,8600000,7200000,6e+06,4900000,3900000
"9","j.bala","People's Land of Maneau","Fanatical Outlaws",27,1992,6.2,32.2,44.38,1,471.53,171.73,18.94,22.25,1,10.78,15.3,1,1.35,3.91,1,0.1,0.28,0.05,2.11,1.48,2.16,1.16,2.3,13800000,12300000,10900000,9400000,8100000,6800000,5600000,4600000,3700000,2900000
"10","d.oren","Central Diasongo","Fanatical Outlaws",26,1994,10.39,16.46,24.13,1,264.38,50.46,9.59,13.16,1,4.61,6.3,1,1.65,2.69,1,0,0.15,0,0.93,1.18,0.47,0.03,1.79,13500000,12200000,10900000,9600000,8300000,7100000,6e+06,5e+06,4100000,3300000
