"","Player","Nation","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","League","Year","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"1","i.winter","Danan Seekeeling","Fanatical Outlaws",28,1991,13.38,0.04,0.67,0.21,1,0.66,0.07,0.14,0.59,9.67,0,0.08,0,0.01,0,0,0.01,0,"A",2021,117209658.054351,100866338.994607,85155024.6557868,70527008.2713897,57303586.7147882,45676131.2218481,35717247.2104549,27399826.2672062,20620481.4130876,15224076.3429978
"2","p.nakubulwa","Dosqaly","Fanatical Outlaws",23,1997,15.34,0.22,0.3,0.08,1,0.28,0.22,0.62,0.97,8.23,0,0.09,0.02,0.06,0.05,0.06,0.08,0.09,"A",2021,265398451.031926,251348000.359463,233525143.076051,212849689.46366,190324000.031827,166953394.727152,143673976.943441,121294786.456637,100458645.186034,81623208.2823697
"3","z.iqbal","Galamily","Fanatical Outlaws",27,1992,33.91,0,0.35,0.14,1,0.5,0.1,0,0.02,16.69,0,0,0,0.08,0.13,0.1,0,0.01,"A",2021,14538245726.2748,12753039432.6159,10974798663.9919,9265323398.66604,7673716760.88663,6234937573.70358,4969808053.96985,3886228060.55968,2981248052.7029,2243618972.58234
"4","f.kizito","People's Land of Maneau","Fanatical Outlaws",20,2000,5.74,0.11,0.46,0.12,1,0.49,0.24,0.38,0.94,20.86,0.06,0,0.09,0.04,0,0.07,0.03,0.19,"A",2021,37198581.8935453,37312981.1987445,36717632.9886878,35446271.9771242,33569712.0574982,31189314.4168152,28427927.7201498,25419425.9336154,22298078.281892,19188909.516882
"5","l.rezaei","People's Land of Maneau","Fanatical Outlaws",30,1989,35.2,0,0.6,0.08,1,0.62,0.18,0.02,0.1,24.66,0.31,0.04,0.07,0.02,0,0.01,-0.06,-0.11,"A",2021,13095483257.9366,10845927880.165,8812376761.98866,7024259744.16507,5492742380.79045,4213655830.68018,3171100827.07646,2341219883.06803,1695725372.1336,1204897198.4041
"6","s.anyait","People's Land of Maneau","Fanatical Outlaws",30,1990,21.38,0.09,0.77,0.22,1,0.67,0.31,0.1,0.67,8.26,0.05,0,0,0.13,0.01,0.06,-0.01,0.08,"A",2021,722059324.831146,598023242.675905,485897212.770887,387303938.954414,302859068.033346,232332738.261325,174848295.177088,129090283.630794,93498979.2423093,66435674.0743667
"7","j.teko","Sobianitedrucy","Fanatical Outlaws",32,1988,27.68,0.07,0.37,0.21,1,0.48,0.09,0.33,0.83,7.16,0.06,0.08,0.02,0,0,0.18,-0.04,0.14,"A",2021,2417215158.36141,1926738675.43901,1506646901.55901,1155796332.94521,869825836.426422,642191356.912889,465133661.967304,330500596.026752,230381650.329124,157545021.816375
"8","i.huber","Lenia Gerdanho","Fanatical Outlaws",26,1993,11.24,0.07,0.5,0.11,1,0.45,0.26,0,0,21.32,0,0.09,0,0.08,0,0.01,-0.02,0.03,"A",2021,77700302.1217085,69477349.6768939,60945962.5862377,52447863.2957494,44278389.9624989,36672203.2874987,29796369.2578751,23750395.9207864,18572036.1982659,14247194.4229734
"9","j.bala","People's Land of Maneau","Fanatical Outlaws",27,1992,6.27,0.11,0.47,0.39,1,0.41,0.35,0.26,0.51,14.11,0,0,0,0.05,0.06,0.13,0.08,0.17,"A",2021,28681480.6688312,25159572.9527637,21651407.0302657,18278903.724198,15138935.1287193,12300469.0427233,9804584.15076345,7666865.52781027,5881494.23269506,4426277.79182763
"10","d.oren","Central Diasongo","Fanatical Outlaws",26,1994,10.41,0.28,2.39,1.06,1,2.49,0.98,0.04,0.35,9.57,0.09,0,0,0.35,0.29,0.13,0.1,0.02,"A",2021,115314834.298983,103111170.056637,90449758.6871094,77837749.6629488,65713453.6433778,54425130.0188326,44220721.0250114,35247906.3189583,27562714.9228216,21144227.4900956
