"","s1"
"(Intercept)",11.1829840989811
"Age",0.437006023018134
"X90s",0.234264061694665
"Gls",0
"Stan.Sh",0.160023234196575
"Stan.SoT",0
"Stan.SoT.",-0.00232506775726655
"Stan.Sh.90",0.0510880593830191
"Stan.SoT.90",0.181840517954345
"Stan.G.Sh",-0.584827778002033
"Stan.G.SoT",0.307758544224535
"Stan.Dist",-0.00774218814920765
"Stan.FK",0.184474747466564
"Perf.PK",0
"Perf.PKatt",0.630911411699301
"Expe.xG",0
"Expe.npxG",-1.37693590769407
"Expe.npxG.Sh",2.28745370359279
"Expe.G.xG",0
"Expe.np.G.xG",0.268365969797115
"I(Age^2)",-0.0103698843663433
