"","Player","Nation","Age","Born","X90s","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"1","g.adilovi","Bernepamar",18,2002,5.26,0.85,0.51,0.66,0.23,0.02,0.6,1.41,1,0.81,10.95,2.93,1,8.09,2.66,0.14,2.59,1.25,0.03,1.24,2.12,2.99,5.25,0,4.9e+07,46500000,44100000,41600000,39200000,36800000,34400000,32100000,29900000,27700000
"2","j.mizrahi","Bernepamar",21,1999,3.87,2.85,1.8,1.95,0.21,0.45,1.34,2.01,1,0.82,10.45,5.21,1,4.53,4.35,1.61,1.81,0,0.05,1.88,2.74,5.55,2.33,0.02,30500000,28700000,2.7e+07,25200000,23600000,21900000,20400000,18800000,17400000,1.6e+07
"3","l.ayugi","Bernepamar",28,1992,5.29,1.03,0.53,1.09,0.07,0.02,0.37,1.49,1,1.1,8.62,2.2,1,5.4,1.94,1.31,2.29,0.04,0.02,2.26,2.81,3.96,1.26,0.11,27800000,25700000,23600000,21700000,19800000,18100000,16500000,1.5e+07,13500000,12200000
"4","x.krawczyk","Bernepamar",24,1996,5.23,1.35,1.2,1.34,0.08,0.05,0.32,0.79,1,0.33,8.79,3.27,1,5.68,3.17,0,2.4,1.24,0,1.05,2.52,3.81,5.75,0,36400000,3.4e+07,31700000,29400000,27200000,25100000,23100000,21200000,19400000,17700000
"5","y.salihovi","Bernepamar",29,1991,1.66,0.54,0.04,0.51,0.09,0,0,0.07,0,0.02,3.54,0.58,1,3.61,0,0.02,0.62,0.62,0,0,1.16,1.82,4.73,0.03,8e+06,7400000,6800000,6200000,5700000,5100000,4700000,4200000,3800000,3400000
"6","d.lal","Bernepamar",25,1995,4.82,0.91,0.39,0.34,0.19,0.2,0,0.9,0.07,0.77,17.16,3.1,1,1.79,8.97,6.16,0.37,0.04,0,0.45,0.49,1.2,0.31,0,34700000,32300000,3e+07,27800000,25600000,23600000,21600000,19800000,18100000,16500000
"7","e.twinamatsiko","Bernepamar",24,1996,0.14,0,0,0,0.1,0.09,0.08,0,0,0,0,0,0,0,0.05,0.09,0,0,0,0.04,0.02,0.02,0.05,0,7800000,7200000,6700000,6300000,5800000,5300000,4900000,4500000,4100000,3800000
"8","j.akello","Bernepamar",31,1989,4.93,0.52,0.43,0,0.7,0,0.01,0.53,0,0.55,13.21,3.7,1,2.39,8,2.94,0.83,0,0,0.91,0.3,0.72,0.66,0,21700000,19800000,18100000,16500000,14900000,13500000,12200000,1.1e+07,9900000,8800000
"9","r.velasquez","Bernepamar",23,1997,1.5,0.63,0.67,0.07,0.61,0,0.66,1.27,1,0.6,18.14,3.05,1,5.02,9.91,3.05,0.05,0,0,0.04,0,0.72,0.54,0,12100000,11300000,10600000,9900000,9200000,8500000,7800000,7200000,6600000,6e+06
"10","v.opiyo","Bernepamar",23,1997,0.12,0,0,0.09,0,0,0,0,0,0,25.06,14.91,1,0.09,0,25.05,0.05,0.02,0.04,0.03,0.06,0.01,0.05,0.08,12800000,1.2e+07,11200000,10400000,9700000,8900000,8300000,7600000,7e+06,6400000
