"","Player","Nation","Age","Born","Playing.Time.Min","Playing.Time.90s","Performance.GA","Performance.GA90","Performance.SoTA","Performance.Saves","Performance.Save.","W","D","L","Performance.CS","Performance.CS.","Performance.PKatt","Penalty.Kicks.PKA","Penalty.Kicks.PKsv","Penalty.Kicks.PKm","Penalty.Kicks.Save.","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"1","e.binabdulrahman","Bernepamar",26,1994,479.96,5.21,1.92,1.97,4.45,2.51,1,0.45,0,0.53,0.08,0.02,0.13,0.08,0.1,0,1,12200000,11100000,10100000,9200000,8300000,7500000,6700000,6e+06,5400000,4800000
"2","j.muratovi","Byasier Pujan",38,1982,359.95,4.09,1.02,0.93,3.04,1.98,1,0.7,0,0.27,0.58,1,0,0.09,0.05,0,0,2300000,2e+06,1800000,1500000,1300000,1200000,1e+06,9e+05,7e+05,6e+05
"3","h.brun","Djipines",27,1993,360.09,3.94,1.57,1.41,6.08,4.47,1,0.29,0.21,0.55,0.3,1,0.07,0.07,0,0.01,0,5600000,5100000,4600000,4100000,3700000,3300000,3e+06,2700000,2400000,2100000
"4","y.nabuduwa","Eastern Niasland",27,1993,270.03,3.06,2.61,2.68,7.09,4.41,1,0,0,0.99,0,0,0.41,0,0.36,0.03,1,6200000,5600000,5100000,4600000,4100000,3700000,3300000,3e+06,2600000,2300000
"5","k.nakibuule","Eastern Sleboube",34,1987,89.91,0.91,3.03,2.9,4.01,1,1,0,0.03,1.03,0,0.01,0,0,0.04,0,0,1600000,1400000,1200000,1100000,1e+06,8e+05,7e+05,6e+05,6e+05,5e+05
"6","w.radu","Eastern Sleboube",21,1999,180.05,2.01,2.08,2.07,5.01,2.91,1,0.55,0,0.58,0.49,1,0,0.01,0,0.07,0,9e+06,8400000,7800000,7200000,6600000,6e+06,5500000,5e+06,4500000,4100000
"7","b.harahap","Esia",34,1986,360,4.04,1.7,1.81,2.48,0.93,1,0.2,0.18,0.54,0.04,0,0,0,0.06,0.05,0,3500000,3100000,2700000,2400000,2100000,1900000,1600000,1400000,1200000,1100000
"8","u.nishimura","Galamily",31,1989,449.99,5.03,0.71,0.77,3.21,2.28,1,0.48,0.25,0.5,0.3,1,0,0.04,0.03,0.01,0,6200000,5500000,5e+06,4400000,3900000,3500000,3100000,2700000,2400000,2100000
"9","x.clement","Giumle Lizeibon",26,1994,389.92,4.31,1.09,1.17,2.62,1.55,1,0.53,0,0.55,0.27,1,0.31,0.16,0.01,0,0,7e+06,6400000,5800000,5300000,4800000,4300000,3800000,3400000,3100000,2700000
"10","e.miyazaki","Greri Landmoslands",32,1988,360,3.98,1.73,1.7,3.83,2.53,1,0.26,0.18,0.48,0.29,1,0.21,0.22,0.06,0.01,0.05,2500000,2300000,2e+06,1800000,1600000,1400000,1200000,1100000,9e+05,8e+05
"11","m.janssens","Ledian",32,1989,269.94,2.94,2.33,2.23,4.92,3.68,1,0.28,0,0.63,0,0,0.68,0.39,0.29,0.05,1,1800000,1600000,1500000,1300000,1100000,1e+06,9e+05,8e+05,7e+05,6e+05
"12","m.krlievi","Leoneku Guidisia",31,1989,270.1,3.03,0.98,1.07,4.95,4.3,1,0.36,0,0.64,0.27,1,0.28,0,0.31,0.07,1,5700000,5100000,4600000,4100000,3600000,3200000,2800000,2500000,2200000,1900000
"13","e.jew","Manlisgamncent",26,1995,390.08,4.34,1.93,1.78,3.43,1.89,1,0.22,0.26,0.54,0.01,0.1,0.23,0.27,0,0,0.1,4400000,4e+06,3600000,3300000,3e+06,2700000,2400000,2100000,1900000,1700000
"14","s.zandamela","Mico",34,1986,569.99,6.21,1.13,1.16,3.34,2.59,1,0.56,0,0.54,0.07,1,0.24,0.23,0.17,0,1,5100000,4500000,4e+06,3500000,3100000,2700000,2400000,2100000,1800000,1500000
"15","e.tushemereirwe","New Uwi",30,1990,270,3,1.91,2.1,5.33,3.64,1,0,0.74,0.27,0,0,0.24,0.36,0.02,0,0.05,1400000,1300000,1200000,1e+06,9e+05,8e+05,7e+05,6e+05,6e+05,5e+05
"16","c.musana","Nganion",23,1997,629.94,7.01,0.78,0.94,1.96,1.36,1,0.33,0.52,0,0.29,1,0,0,0,0,0,19500000,1.8e+07,16600000,15200000,13900000,12600000,11400000,10300000,9300000,8400000
"17","z.abidin","Ngoque Blicri",35,1985,270,3.07,1.65,1.6,5.04,3.37,1,0.04,0.35,0.71,0.41,1,0,0,0,0.04,0,2100000,1900000,1600000,1400000,1300000,1100000,1e+06,8e+05,7e+05,6e+05
"18","j.vasquez","Nkasland Cronestan",30,1990,269.92,3.06,2.01,2.06,3.69,1.98,1,0.07,0.39,0.67,0,0,0.41,0,0,0.4,0,4200000,3800000,3400000,3e+06,2700000,2400000,2100000,1900000,1700000,1400000
"19","x.neri","People's Land of Maneau",26,1994,690.05,7.62,0.29,0.33,2.26,1.75,1,0.58,0.32,0,0.58,1,0.09,0,0.06,0,0,20100000,18300000,16700000,15100000,13700000,12300000,11100000,9900000,8800000,7800000
"20","r.yiga","Quewenia",32,1988,509.98,5.79,1.52,1.62,5.29,3.8,1,0.17,0.57,0.26,0,0,0,0,0,0,0,5300000,4700000,4200000,3700000,3300000,2900000,2600000,2200000,2e+06,1700000
"21","a.khainza","Sobianitedrucy",21,1999,718.01,8.09,0.44,0.58,1.55,1.07,1,0.65,0.23,0.04,0.37,1,0.11,0.07,0.08,0,0.04,30200000,28100000,2.6e+07,2.4e+07,2.2e+07,20200000,18400000,16800000,15200000,13800000
"22","v.guillaume","Sobianitedrucy",34,1987,2.07,0.09,0.04,0,0,0.03,0,0.03,0,0,0.92,0,0,0,0,0.03,0,1600000,1500000,1300000,1100000,1e+06,9e+05,8e+05,7e+05,6e+05,5e+05
