"","Player","Nation","Age","Born","X90s","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"1","g.adilovi","Bernepamar",18,2002,5.26,54.57,59.23,1,1127.58,306.18,15.64,16.24,1,31.79,33.29,1,7.09,9.39,1,0,0.05,0,0.1,3,0.04,0,1.35,44600000,43800000,42600000,4.1e+07,3.9e+07,36800000,34400000,31800000,29100000,26300000
"2","j.mizrahi","Bernepamar",21,1999,3.88,45.51,54.45,1,789.71,182.57,20.25,22.21,1,20.78,23.67,1,3.67,6.11,1,0,0,0,0.35,0.72,0.51,0.25,2.33,25500000,24300000,22900000,21400000,19800000,18100000,16400000,14700000,13100000,11500000
"3","l.ayugi","Bernepamar",28,1992,5.37,45.6,54.68,1,823.44,241.38,21.59,24.28,1,17.26,19.39,1,5.66,8.18,1,0.19,0.07,0.06,0.92,1.99,0.77,0,3.16,30800000,27400000,24100000,2.1e+07,18100000,15400000,1.3e+07,10900000,9e+06,7400000
"4","x.krawczyk","Bernepamar",24,1996,5.34,66.04,71.43,1,1336.26,416.59,22.7,23.15,1,32.55,34.13,1,10.2,13.28,1,0,0,0.06,0.06,5.77,0.03,0,5.25,37400000,34600000,31700000,28700000,25700000,22900000,20100000,17500000,15100000,12900000
"5","y.salihovi","Bernepamar",29,1991,1.76,57.5,60.05,1,1372.89,169.35,9.42,10.07,1,32.32,32.43,1,15.34,17.18,1,0.07,0,0,0,0.05,0,0,0.51,4500000,3900000,3400000,2900000,2500000,2100000,1800000,1500000,1200000,1e+06
"6","d.lal","Bernepamar",25,1995,4.84,20.23,23.94,1,278.09,33.08,14.32,15.75,1,3.73,4.72,1,1.55,1.62,1,0.22,0,0.09,0.51,0.99,0.48,0,1.52,34500000,31500000,28600000,25600000,22800000,2e+07,17400000,1.5e+07,12800000,10800000
"7","e.twinamatsiko","Bernepamar",24,1996,0.01,40.01,40.01,1,700.09,410.02,10.04,10.09,1,29.98,30.06,1,0,0.06,0,0,0,0.02,0,0.01,0.1,0.06,0.07,3500000,3200000,2900000,2700000,2400000,2100000,1900000,1600000,1400000,1200000
"8","j.akello","Bernepamar",31,1989,4.97,24.14,33.07,1,381.32,91.22,12.91,15.19,1,8.36,10.72,1,2.12,3.3,1,0.49,0.07,0.35,1.3,2.14,1.42,0.15,2.63,2.4e+07,20700000,17700000,14900000,12500000,10300000,8500000,6900000,5500000,4400000
"9","r.velasquez","Bernepamar",23,1997,1.53,36.25,47.46,1,524.93,91.21,20.61,25.08,1,10.65,13.08,1,2.48,3.76,1,0.02,0,0,1.24,1.22,1.2,0.04,3.77,14400000,13500000,12500000,11400000,10300000,9300000,8200000,7200000,6300000,5400000
"10","v.opiyo","Bernepamar",23,1997,0.15,19.99,25.09,1,214.92,55.03,20.06,19.95,1,0.05,0.05,0,0.09,4.97,0.1,0,0.5,0,4.95,0.05,0,0.06,0,6e+06,5600000,5200000,4700000,4300000,3800000,3400000,3e+06,2600000,2300000
"11","k.salihovi","Bernepamar",24,1996,0.37,20.01,25.08,1,362.53,62.41,12.48,14.97,1,5,7.55,1,2.42,2.46,1,0.03,0.02,0.08,2.56,0.06,0.06,0,2.42,7400000,6800000,6200000,5700000,5100000,4500000,4e+06,3500000,3e+06,2500000
"12","j.otto","Bernepamar",32,1988,0.78,31.26,38.88,1,461.22,75.04,16.2,18.87,1,11.32,11.37,1,1.26,5.05,1,0,0.01,0,0,1.32,1.18,0,1.21,4100000,3500000,3e+06,2500000,2e+06,1700000,1400000,1100000,9e+05,7e+05
"13","e.binabdulrahman","Bernepamar",26,1994,5.25,19.39,27.35,1,574.1,362.54,4.76,4.63,1,7.22,7.23,1,7.59,15.56,1,0.05,0.09,0.08,0,0.12,0.09,0.06,0.03,25800000,23400000,2.1e+07,18600000,16400000,14300000,12300000,10500000,8900000,7400000
"14","m.hussein","Bernepamar",30,1990,0.08,1.02,1.01,1,17.94,0,0.06,0,0,1,1.03,1,0.06,0.07,0,0,0.02,0,0,0.01,0.03,0,0.01,2200000,1900000,1600000,1400000,1200000,1e+06,8e+05,7e+05,5e+05,4e+05
"15","n.kabagambe","Bernepamar",31,1989,1.95,39.42,49.08,1,669.1,142.59,18.5,21.91,1,17.02,19.96,1,2.98,4.42,1,0,0.09,0.09,0.5,2.44,0.05,0.1,2.06,6100000,5300000,4500000,3800000,3200000,2600000,2200000,1800000,1400000,1100000
"16","t.alzahrani","Bernepamar",22,1998,3.65,56.08,62.1,1,974.39,196.11,25.06,27.3,1,25.67,26.68,1,4.5,6.57,1,0,0,0,1.1,4.51,0.05,0.02,3.1,26700000,25200000,23500000,21700000,19900000,1.8e+07,16200000,14400000,12600000,1.1e+07
"17","u.lai","Bernepamar",29,1991,0.7,76.68,81.66,1,1604.91,378.28,25,24.98,1,35.01,36.65,1,14.97,15.07,1,0,0.03,0,0.08,11.6,0,0.07,5.1,6700000,5900000,5100000,4400000,3800000,3200000,2700000,2200000,1800000,1500000
"18","z.janssen","Bernepamar",29,1991,4.19,40.41,46.68,1,734.59,149.26,17.13,19.53,1,17.7,18.58,1,4.88,6.49,1,0.02,0,0.04,0.14,3.87,0,0.05,1.76,16600000,14600000,12700000,1.1e+07,9400000,7900000,6600000,5500000,4500000,3700000
"19","h.sinaga","Bernepamar",24,1996,5.28,45.67,55.07,1,738.56,145.18,25.27,27.57,1,14.71,18.86,1,3.94,5.66,1,0.17,0.06,0.02,0.67,2.71,1.22,0.4,3.19,4.9e+07,45300000,41500000,37600000,33700000,3e+07,26300000,22900000,19800000,16900000
"20","k.mayanja","Bernepamar",27,1993,3.16,31.26,39.16,1,634.73,190.38,12.77,14.07,1,12.59,16,1,5.37,7.53,1,0.38,0.67,0,2.71,2.85,2.13,0,5.37,41800000,37500000,33300000,29300000,25500000,2.2e+07,18800000,15900000,13300000,1.1e+07
"21","c.carvalho","Byasier Pujan",25,1995,0.66,53.36,58.35,1,1123.33,150.09,11.76,11.67,1,35.05,40.08,1,6.59,6.61,1,1.4072,0,1.0072,1.58,1.64,1.58,1.73,0,6800000,6300000,5700000,5100000,4500000,4e+06,3500000,3e+06,2500000,2200000
"22","d.iskandar","Byasier Pujan",30,1990,3.25,42.43,53.81,1,717.35,214.79,21.88,24.51,1,16.12,20.89,1,3.74,5.7,1,0,0.2,0,0.82,2.05,0.62,0.09,2.95,1.3e+07,11300000,9800000,8300000,7e+06,5900000,4900000,4e+06,3300000,2600000
"23","f.kyamanywa","Byasier Pujan",19,2001,1.64,64.36,68.16,1,1174.34,275.63,24.46,26.33,1,34.98,34.91,1,4.96,6.35,1,0,0,0,0,6.96,0,0.05,7.46,16300000,15800000,15200000,14500000,13700000,12800000,11800000,10800000,9800000,8800000
"24","i.gumede","Byasier Pujan",28,1992,3.55,47.03,50.97,1,1102.39,246.88,11.73,12.32,1,23.5,24.06,1,10.66,12.99,1,0.07,0.05,0.01,0.38,4.38,0.06,0,2.64,14500000,12900000,11300000,9900000,8500000,7300000,6100000,5100000,4300000,3500000
"25","o.oh","Byasier Pujan",30,1990,3.28,84.29,93.65,1,1593.85,601.0776,32.15,32.68,1,42.77,45.78,1,8.4,13.3,1,0.03,0.2,0,0.58,13.2,2.03,0.39,10.1,26500000,2.3e+07,19900000,16900000,14300000,1.2e+07,9900000,8100000,6600000,5300000
"26","q.hor","Byasier Pujan",29,1992,0.01,7.04,8.07,1,184.97,94.03,0.96,1.98,1,3.02,2.92,1,2.99,2.91,1,0,0.09,0,0.07,1.01,0.91,0.06,1.9,5100000,4500000,3900000,3400000,2900000,2400000,2e+06,1700000,1400000,1100000
"27","v.bila","Byasier Pujan",24,1996,3.6,27.04,36.89,1,461.11,182.04,14.67,17.66,1,9.49,11.77,1,2.76,5.97,1,0.05,0.13,0,1.06,1.16,0.55,0.2,3.46,24800000,22900000,2.1e+07,1.9e+07,1.7e+07,15100000,13300000,11600000,1e+07,8500000
"28","z.nalunga","Byasier Pujan",21,1999,0.62,33.21,43.22,1,639.92,205.03,11.71,11.72,1,20,24.94,1,1.65,5.01,1,0,0,0,0.04,1.76,0.02,0.07,1.75,8400000,8e+06,7500000,7e+06,6500000,5900000,5400000,4800000,4300000,3800000
"29","l.mhango","Byasier Pujan",29,1991,0.59,36.61,61.66,1,663.27,256.62,18.37,25.03,1,15.09,18.34,1,3.35,13.37,1,0,0.08,0,3.38,3.35,1.65,0,8.24,7100000,6300000,5500000,4700000,4e+06,3400000,2800000,2300000,1900000,1600000
"30","w.joao","Byasier Pujan",21,1999,2.66,45.74,48.75,1,1033.53,233.1,10.89,11.23,1,26.47,28.11,1,8.53,9.64,1,0,0,0,0.09,1.23,0,0.02,2.01,14700000,1.4e+07,13200000,12400000,11400000,10500000,9500000,8500000,7600000,6600000
"31","e.lam","Byasier Pujan",28,1992,2.17,17.18,25.18,1,212.89,30.96,11.09,14.36,1,3.85,7.56,1,0.92,0.99,1,0.01,0.52,0,1.48,0.08,0.57,0,0.57,1.6e+07,14200000,12500000,10900000,9400000,8e+06,6800000,5700000,4700000,3800000
"32","s.amulen","Byasier Pujan",22,1999,1.8,27.11,32.37,1,370.64,72.36,17.2,19.36,1,8.26,10.06,1,0.67,1.28,1,1.15,0.794200000000001,0.13,2.94,0.68,1.14,0,4.03,35400000,33400000,31200000,28800000,26400000,23900000,21400000,1.9e+07,16700000,14600000
"33","u.yong","Byasier Pujan",30,1990,0.12,90.03,111.4396,1,989.96,180,45.2676,48.1996,1,19.99,39.98,1,0,20.07,0,0.04,0,0,0.01,9.95,0,0.07,10.1,2500000,2100000,1800000,1600000,1300000,1100000,9e+05,8e+05,6e+05,5e+05
"34","y.manjate","Byasier Pujan",26,1994,3.53,34.15,48.88,1,544.95,174.37,21.8,26.19,1,8.56,11.47,1,2.87,8.86,1,0.61,0.25,0.32,1.74,3.31,2.58,0.21,5.28,39200000,35500000,31900000,28300000,24900000,21700000,18700000,15900000,13500000,11300000
"35","z.namiiro","Byasier Pujan",29,1992,0.71,44.33,58.68,1,658.64,97.19,22.98,30.06,1,15.75,21.43,1,2.91,2.95,1,0,0,0.08,0.03,0,1.48,1.46,0,4700000,4200000,3600000,3100000,2700000,2300000,1900000,1600000,1300000,1e+06
"36","j.muratovi","Byasier Pujan",38,1982,4.04,23.5,35.28,1,803.09,543.09,2.8,2.7,1,10.22,10.39,1,10.44,21.94,1,0,0,0,0.1,0.51,0.02,0,0.08,2300000,1800000,1400000,1100000,9e+05,7e+05,5e+05,4e+05,3e+05,2e+05
"37","a.nsereko","Byasier Pujan",21,1999,0.2,40.03,59.98,1,439.94,79.95,39.93,48.1996,1,0.08,0.06,0,0,9.99,0,0.05,0,0.03,0,0.04,4.9452,0.05,9.97,9800000,9300000,8800000,8200000,7600000,7e+06,6300000,5700000,5e+06,4400000
"38","h.gaillard","Byasier Pujan",23,1997,3.96,60.86,68.9,1,1055.84,263.33,27.14,31.42,1,27.71,28.51,1,4.79,6.44,1,0,0.03,0,1.01,6.47,1.09,0.03,4.62,40200000,37500000,34700000,31700000,28800000,25800000,22900000,20200000,17500000,15100000
"39","v.waswa","Byasier Pujan",30,1990,4.04,26.95,31.33,1,448.46,102.23,13.34,15.08,1,9.71,11.02,1,2.8,3.52,1,0,0.07,0,0.53,2.44,0.45,0,3.72,16600000,14400000,12400000,10600000,9e+06,7500000,6200000,5100000,4100000,3300000
"40","w.nabuuma","Byasier Pujan",29,1991,2.5,48.71,58.89,1,903.82,178.56,20.34,23.52,1,22.36,25.34,1,5.33,8.48,1,0.08,0.12,0.04,0.73,5.37,0.03,0.09,1.49,10900000,9600000,8300000,7200000,6100000,5200000,4300000,3600000,2900000,2400000
"41","x.abramov","Byasier Pujan",18,2002,1.29,70.81,79.26,1,1105.84,326.69,34.18,34.9,1,31.75,34.98,1,2.44,4.17,1,0,0,0.03,0.79,6.66,2.51,0.03,9.93,26300000,25800000,25100000,24200000,2.3e+07,21700000,20300000,18700000,17100000,15500000
"42","c.magombo","Djipines",23,1997,4.09,25.51,29.27,1,578.92,146.75,5.53,5.91,1,15.43,16.83,1,4.27,6.01,1,0.03,0.02,0,0.18,0.75,0.01,0,0.52,24100000,22600000,20800000,19100000,17300000,15500000,13800000,12100000,10600000,9100000
"43","f.nassolo","Djipines",19,2001,1.47,40.61,49.31,1,792.01,260.68,23.25,23.33,1,10.64,13.95,1,6.76,10.67,1,0,0.13,0,0.74,5.96,0.75,0.07,3.92,20100000,19500000,18800000,17900000,16900000,15700000,14600000,13300000,12100000,10800000
"44","h.namara","Djipines",25,1995,3.33,28.54,35.23,1,566.21,259.76,13.29,13.55,1,11.51,14.16,1,3.54,6.45,1,0,0,0,0.36,2.31,0.21,0.03,3,18300000,16800000,15200000,13700000,12100000,10700000,9300000,8e+06,6800000,5800000
"45","m.tang","Djipines",27,1993,3.01,27.72,38.67,1,529.7,183.81,10.61,11.89,1,13.99,19.07,1,3.25,6.79,1,0.03,0,0.03,0.05,1.05,0.61,0.38,2.2,12600000,11300000,1e+07,8800000,7700000,6600000,5700000,4800000,4e+06,3300000
"46","n.dekker","Djipines",23,1997,3.05,25.79,29.04,1,624.4,215.21,4.35,4.9,1,14.79,14.78,1,6.77,9.24,1,0.01,0,0.04,0.03,2.3,0,0,1.62,17500000,16400000,15100000,13800000,12500000,11300000,1e+07,8800000,7700000,6600000
"47","t.alowo","Djipines",31,1989,0.99,25.07,30.06,1,494.06,123.08,8.07,8.09,1,14.05,15.06,1,3.09,6.91,1,0.07,0.07,0,0.06,0.04,0.07,0.07,0,3700000,3200000,2700000,2300000,1900000,1600000,1300000,1100000,8e+05,7e+05
"48","i.bintiomar","Djipines",20,2000,0.87,33.85,38.73,1,694.91,197.52,8.67,8.65,1,17.47,19.91,1,6.2,8.73,1,0.1,0.04,0,1.29,3.68,1.34,0,4.91,14900000,14300000,13600000,12800000,1.2e+07,11100000,10100000,9200000,8300000,7300000
"49","l.ningsih","Djipines",22,1999,0.18,49.97,50.08,1,670.01,140.01,29.96,30.03,1,9.93,9.94,1,0.02,0,0,0,0,0.02,0.05,0,0,0.01,0.08,4600000,4400000,4100000,3800000,3400000,3100000,2800000,2500000,2200000,1900000
"50","c.mawejje","Djipines",23,1997,0.32,12.59,20.03,1,280.02,52.48,2.54,4.98,1,7.56,7.45,1,2.52,5.1,1,0,0,0,0.09,0.09,0,0.03,0,6700000,6300000,5800000,5300000,4800000,4300000,3800000,3400000,2900000,2500000
"51","f.alupo","Djipines",28,1992,3.22,10.01,16.69,1,145.33,20.95,6.9,9.13,1,1.95,3.41,1,0.96,2.14,1,0,0.05,0.03,0,0.57,0.37,0.08,0.65,14300000,12700000,11200000,9800000,8400000,7200000,6100000,5100000,4200000,3400000
"52","h.brun","Djipines",27,1993,4.06,19.49,31.21,1,752.04,551.52,2.71,2.72,1,6.58,6.45,1,10.37,22.05,1,0,0,0,0,1.3,0,0.09,0,13600000,12200000,10900000,9600000,8300000,7200000,6100000,5200000,4300000,3600000
"53","k.moretti","Djipines",30,1990,3.73,30.58,35.38,1,574.2,116.96,11.6,13.2,1,14.38,15.97,1,4.13,5.43,1,0,0.08,0,0.35,2.73,0.01,0.08,1.29,12900000,11300000,9700000,8300000,7e+06,5900000,4900000,4e+06,3200000,2600000
"54","w.hon","Djipines",24,1997,3.37,32.1,36.7,1,639.67,147.67,12.09,13.33,1,13.57,15.58,1,5.67,7.02,1,0.35,0.07,0.28,1.18,2.45,0.81,0,3.54,24900000,2.3e+07,2.1e+07,19100000,17100000,15200000,13400000,11600000,1e+07,8600000
"55","y.akampurira","Djipines",20,2000,0.12,0,0.08,0,0,0,0,0.09,0,0.09,0,0,0.06,0,0,0,0,0,0.07,0.07,0.01,0,0,1800000,1800000,1700000,1600000,1500000,1400000,1200000,1100000,1e+06,9e+05
"56","i.koomson","Djipines",23,1997,3.58,15.17,20.59,1,321.16,120.82,6.35,7.51,1,4.58,6.6,1,3.92,5.43,1,0.08,0.08,0,2.83,0.33,1.41,1.1,1.21,27800000,25900000,2.4e+07,21900000,19900000,17800000,15800000,13900000,12100000,10500000
"57","k.mohammadzadeh","Djipines",30,1990,3.93,30.29,39.54,1,608.54,140.75,13.28,16.69,1,11.59,13.34,1,5.45,8.56,1,0.09,0.15,0,1.05,2.87,1.34,0.26,4.05,18900000,16500000,14200000,12100000,10200000,8600000,7100000,5800000,4700000,3800000
"58","q.ariko","Djipines",31,1989,3.83,17.12,26.17,1,439.07,169.08,3.77,4.9,1,8.77,10.81,1,4.53,8.68,1,0.54,0.33,0.11,1.48,3.4,2.34,0.61,4.3,23200000,2e+07,17100000,14400000,12100000,1e+07,8200000,6700000,5400000,4300000
