"","Player","Nation","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"1","g.adilovi","Bernepamar",18,2002,5.34,0,0.34,0.25,1,0.34,0.28,0.03,0,7,0.06,0,0,0.03,0.02,0.09,0,-0.06,56100000,57900000,58600000,58400000,57100000,54800000,51700000,47900000,43600000,3.9e+07
"2","j.mizrahi","Bernepamar",21,1999,3.97,0,0,0,0,0,0,0,0,0,0.09,0,0,0.02,0.02,0,0.02,0.05,36300000,35500000,34100000,32200000,29800000,27100000,24300000,21300000,18400000,15600000
"3","l.ayugi","Bernepamar",28,1992,5.37,0,0.85,0.19,1,0.85,0.23,0.01,0.05,17.36,0.01,0,0.06,0.11,0,0,-0.05,-0.11,30500000,26300000,22300000,18600000,15200000,12200000,9600000,7500000,5700000,4200000
"4","x.krawczyk","Bernepamar",24,1996,5.35,0,0,0,0,0.05,0,0,0,0,0,0.06,0.09,0.02,0.05,0,-0.07,0.05,47100000,43600000,39700000,35500000,31200000,26900000,22800000,1.9e+07,15500000,12500000
"5","y.salihovi","Bernepamar",29,1991,1.67,0,0,0.03,0,0.08,0.09,0,0,0,0.09,0.09,0.07,0.03,0,0,0.07,-0.1,9200000,7800000,6500000,5300000,4200000,3300000,2600000,2e+06,1500000,1100000
"6","d.lal","Bernepamar",25,1995,4.75,0.46,2.19,1.24,1,2.26,1.25,0.2,0.26,18.05,0,0,0.06,0.18,0.19,0.13,0.19,0.1,5.5e+07,50100000,44800000,39300000,33900000,28800000,23900000,19600000,15700000,12400000
"7","e.twinamatsiko","Bernepamar",24,1996,0.01,0.1,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,-0.04,-0.09,7800000,7300000,6600000,5900000,5200000,4500000,3800000,3200000,2600000,2100000
"8","j.akello","Bernepamar",31,1989,4.9,0.43,2.09,1.02,1,2.04,1.06,0.15,0.48,13.21,0.03,0,0,0.29,0.45,0.15,0.03,-0.04,18600000,15200000,12200000,9600000,7500000,5700000,4200000,3100000,2300000,1600000
"9","r.velasquez","Bernepamar",23,1997,1.55,0.09,0.53,0,0,0.64,0,0.07,0,11.97,0.03,0,0,0.17,0.3,0.3,-0.2,-0.21,16300000,15400000,14200000,1.3e+07,11600000,10200000,8800000,7400000,6200000,5100000
"10","v.opiyo","Bernepamar",23,1997,0.23,4.94,9.98,5.03,1,12.03,3.75,0.58,0.98,8.94,0,0,0.04,3.47,3.46,0.37,1.59,1.56,5300000,5e+06,4700000,4300000,3800000,3300000,2900000,2400000,2e+06,1700000
"11","k.salihovi","Bernepamar",24,1996,0.31,0.04,0.08,0,0,0,0.01,0,0,0,0,0.05,0,0,0,0,-0.1,-0.07,8800000,8200000,7400000,6600000,5800000,5e+06,4300000,3600000,2900000,2300000
"12","j.otto","Bernepamar",32,1988,0.81,0,0.04,0.03,0,0,0,0,0,0,0,0,0.02,0.07,0,0,-0.08,-0.06,3500000,2800000,2200000,1700000,1300000,1e+06,7e+05,5e+05,4e+05,3e+05
"13","e.binabdulrahman","Bernepamar",26,1994,5.25,0.09,0,0,0,0.03,0,0,0,0,0.07,0,0.09,0,0,0,0.01,-0.01,43200000,38600000,33900000,29300000,24800000,20600000,16900000,13600000,10700000,8300000
