,Player,Nation,Squad,Age,Born,X90s,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League,Year,mv
789,o.burgos,Dosqaly,Supreme Janes,21,1999,38.06,0,0,0.01,0,0.05,0,0,0,0.06,0.23,0,1,0.2,0,0,0.03,0.02,0,0.02,0,0,0.16,0.02,B,2021,36437690587
70,a.soong,People's Land of Maneau,Great Galactic Gorgons,22,1998,37.92,0.09,0.07,0.09,0.04,0,0,0,0,0,0.11,0.05,1,0.16,0,0,0,0.02,0.09,0,0,0,0.05,0.01,A,2021,33273126539
902,j.mercier,Dosqaly,Villainous Eagles,23,1997,38.1,0.01,0,0.01,0,0,0.13,0,1,0,0.22,0.01,1,0.07,0.06,0.03,0,0.03,0,0,0,0.12,0.06,0.03,B,2021,32482876650
2592,a.khainza,Sobianitedrucy,Black Coyotes,21,1999,37.06,0.03,0.02,0,0,0,0.02,0.03,0,0.08,0.01,0.02,0,0.09,0.09,0.08,0,0,0,0,0.08,0,0.09,0,RFL,2021,29363816677
765,i.kumari,Dosqaly,Somber Stallions,25,1995,38.06,0,0,0.05,0.04,0,0.02,0.09,0,0,0.09,0.04,1,0.03,0,0,0.08,0,0.01,0,0,0,0,0,B,2021,28042430964
285,h.leong,Southern Ristan,Solemn Cougars,23,1997,37.31,2.02,1.48,0.8,0.84,0.35,0.76,2.49,1,1.87,13.53,4.88,1,4.28,6.5,2.58,1.57,0.34,0,1.26,0.97,2.95,0.78,0.07,A,2021,27729709197
141,a.popescu,People's Land of Maneau,Horrible Storm,24,1995,36.98,1.02,0.65,0.12,0.51,0.27,0.19,0.78,1,0.53,16.88,4.56,1,0.99,6.59,9.35,0.54,0.17,0,0.42,0.26,1.32,0.66,0,A,2021,27697896705
753,j.odeke,Byasier Pujan,Somber Stallions,20,2000,36.85,1.38,0.85,0.71,0.52,0,0.32,0.72,1,0.42,6.95,2.42,1,4.35,2.44,0.16,1.24,0.63,0.03,0.62,1.03,2.39,5.3,0,B,2021,27607172724
362,a.avako,People's Land of Maneau,Swift Musketeers,25,1994,38.07,2.27,1.54,0.84,1.12,0.25,0.79,1.96,1,1.15,16.54,5.42,1,5.8,8.51,2.27,1.91,0.21,0.09,1.76,1.06,3.33,2.08,0.03,A,2021,27447169376
2195,i.ajiko,Nganion,Horrible Bison,25,1995,37.96,0.07,0.08,0,0.07,0.08,0,0.12,0.07,0,0.13,0.1,0.07,0.14,0,0.07,0.03,0,0.09,0,0,0.08,0.05,0.02,E,2021,27385921055
338,a.kiss,Mico,Stacked Rocks,24,1995,37.97,3.08,2.21,1.49,1.26,0.38,1.53,3.64,1,2.15,21.18,6.04,1,8.51,10.38,2.32,1.52,0.35,0.01,1.35,1.23,4.44,2.09,0,A,2021,26750597013
135,b.stewart,People's Land of Maneau,Horrible Storm,24,1995,37.83,2.67,1.61,1.33,0.7,0.43,1.42,2.59,1,1.29,11.25,3.45,1,5.8,3.57,1.81,2.2,0.4,0,1.77,1.15,3.76,3.27,0.11,A,2021,26243152834
20,f.pop,Galamily,Fanatical Outlaws,25,1995,38.02,2.28,1.3,1.08,0.88,0.18,0.58,2.27,1,1.65,15.83,4.34,1,5.89,7.64,2.44,1.41,0.59,0,0.95,1.51,3.55,3.9,0.09,A,2021,26176785322
2504,c.musana,Nganion,Serious Magicians,23,1997,36.97,0,0.08,0.07,0,0.03,0,0,0.04,0,0.06,0.13,1,0.04,0.02,0.1,0.06,0.05,0.07,0.03,0,0.02,0.12,0.15,E,2021,25440284350
1771,c.hamed,Sobianitedrucy,Mighty Monkeys,23,1997,36.97,0,0.08,0.08,0.02,0.07,0.09,0.05,0,0,0.2,0.11,1,0.13,0.08,0,0,0.04,0,0,0,0.01,0.09,0,D,2021,25332361856
667,r.dumont,Tabhu Striary,Simple Jayhawks,25,1995,37.94,2.04,1.21,1.43,0.64,0.05,0.77,1.5,1,0.67,10.98,3.91,1,6.2,4.28,0.37,1.19,0.48,0.07,0.87,0.98,3.02,4.22,0.18,B,2021,24843229140
653,g.avraham,Dosqaly,Serious Thunderbirds,22,1998,36.5,2.9,2.01,1.44,1.45,0.3,0.66,1.56,1,0.85,18.93,5.58,1,5.75,10.07,3.08,1.86,0.34,0,1.51,1.6,4.61,2.04,0,B,2021,24107221140
934,c.vtols,Imaar Vircoand,Weak Blimps,27,1993,38.07,0.07,0.04,0.1,0,0,0.07,0.06,0,0,0.01,0.08,1,0.14,0,0.02,0.05,0,0.09,0.05,0.02,0.08,0,0,B,2021,24079113762
2715,n.irawan,Rarita,Serious Buffaloes,24,1996,37.02,0,0.01,0,0.07,0.04,0,0.02,0,0,0.07,0.04,1,0.06,0.09,0,0.06,0,0.02,0,0,0.08,0.04,0.1,RFL,2021,23920919256
187,m.tumuramye,Ngoque Blicri,Old Mustangs,26,1994,37.62,1.32,0.71,0.79,0.34,0.21,0.9,1.78,1,0.79,9.33,3.19,1,3.06,3.36,2.93,1.56,0.27,0.06,1.48,0.98,2.25,2.34,0,A,2021,23767774868
2337,s.nuwagira,Saintu,Polar Kangaroos,27,1993,37.92,0.04,0,0,0.07,0,0.04,0,0,0,0,0.05,0.04,0,0.07,0,0.09,0.06,0.02,0.01,0,0.05,0.14,0.12,E,2021,23381590946
146,s.tamale,Imaar Vircoand,Horrible Storm,27,1992,37.92,0.02,0.05,0,0,0,0,0,0.1,0.05,0.19,0.02,1,0.07,0.08,0,0.07,0.07,0.1,0,0,0.07,0,0.02,A,2021,23302611514
2138,i.basemera,Nganion,Flying Penguins,22,1998,35.94,2.02,1.25,0.59,1.06,0.16,0.56,1.51,1,0.97,21.58,6.46,1,5.61,10.82,5.26,2.02,0.07,0,1.74,1.48,3.52,1.14,0,E,2021,22261616804
2257,y.ruggiero,Southern Ristan,Mad Kingsmen,28,1992,37.91,0,0,0.05,0.04,0.07,0,0,0,0.04,0.11,0.13,1,0.18,0,0,0.01,0,0,0.09,0,0,0.02,0.18,E,2021,21448130427
150,z.cher,Ngoque Blicri,Horrible Storm,25,1994,36.96,2.04,1.29,0.72,0.94,0.27,0.49,2.03,1,1.49,17.54,4.48,1,5.51,8.98,3.03,1.1,0.07,0,0.91,1.16,3.25,0.81,0.13,A,2021,21170905020
521,k.adero,Rosvi,Jumping Beans,24,1995,36.41,0,0,0.08,0.04,0.07,0,0.13,0,0.16,0.19,0.03,1,0.2,0,0,0.1,0.06,0.04,0,0.04,0.07,0.06,0.04,B,2021,20796507251
