,Player,Nation,Squad,Age,Born,X90s,Gls,Standard.Sh,Standard.SoT,Standard.SoT.,Standard.Sh.90,Standard.SoT.90,Standard.G.Sh,Standard.G.SoT,Standard.Dist,Standard.FK,Performance.PK,Performance.PKatt,Expected.xG,Expected.npxG,Expected.npxG.Sh,Expected.G.xG,Expected.np.G.xG,League,Year,mv
337,a.kiss,Mico,Stacked Rocks,24,1995,37.99,0,0.39,0.16,1,0.31,0.13,0.13,0.28,22.68,0.03,0.02,0.04,0,0,0.14,-0.06,0.06,A,2021,64823936970
19,f.pop,Galamily,Fanatical Outlaws,25,1995,37.96,0.28,1.72,0.71,1,1.7,0.56,0.09,0.51,11.37,0,0,0,0.2,0.27,0.08,0.04,-0.03,A,2021,58889932275
285,h.leong,Southern Ristan,Solemn Cougars,23,1997,37.25,0.18,1.22,0.43,1,1.35,0.46,0.13,0.29,22.04,0.2,0.08,0.06,0.12,0.09,0.08,0.01,-0.05,A,2021,57933497760
361,a.avako,People's Land of Maneau,Swift Musketeers,25,1994,38.03,0.24,1.08,0.52,1,1.07,0.56,0.19,0.31,25.4,0.45,0.17,0.1,0.1,0.11,0.03,0.13,0.12,A,2021,55755916954
140,a.popescu,People's Land of Maneau,Horrible Storm,24,1995,37.01,0.41,2.73,1.3,1,2.67,1.29,0.11,0.21,13.03,0.01,0,0.04,0.51,0.43,0.1,-0.14,-0.03,A,2021,54872441884
867,d.masuku,Dosqaly,Unethical Comets,26,1994,36.15,0.36,2.87,1.14,1,2.81,1.24,0.13,0.34,12.19,0.06,0.07,0,0.29,0.29,0.13,0.15,0.1,B,2021,53008080310
2594,o.wanjala,Rarita,Black Coyotes,23,1996,35.84,0.29,1,0.17,1,1.07,0.23,0.08,0.26,18.29,0.03,0.25,0.27,0.32,0.14,0.19,0.04,-0.14,RFL,2021,51578847251
2114,h.gaillard,Byasier Pujan,Festive Governors,23,1997,35.03,0.14,0.44,0.25,1,0.49,0.07,0.19,0.55,10.74,0.09,0,0.1,0.13,0.12,0.32,-0.08,-0.12,E,2021,50299498000
753,j.odeke,Byasier Pujan,Somber Stallions,20,2000,36.79,0.02,0.44,0.11,1,0.51,0.09,0,0,13.83,0.01,0.02,0.07,0,0.06,0.1,-0.01,0.06,B,2021,49015751954
149,z.cher,Ngoque Blicri,Horrible Storm,25,1994,36.97,0.06,1.16,0.2,1,1.23,0.39,0.15,0.32,22.01,0,0.01,0,0.09,0,0.07,0.1,0.01,A,2021,48448814633
667,r.dumont,Tabhu Striary,Simple Jayhawks,25,1995,37.99,0.1,0.25,0.12,1,0.43,0.06,0.03,0.39,24.03,0,0,0.04,0,0,0.02,-0.1,0.07,B,2021,48390728885
97,c.ji,Greri Landmoslands,Green Fleet,25,1994,34.41,0.53,3.11,1.24,1,3.22,1.07,0.08,0.25,21.98,0.51,0.36,0.21,0.47,0.31,0.16,0.11,0.06,A,2021,47259020296
653,g.avraham,Dosqaly,Serious Thunderbirds,22,1998,36.51,0.09,0.66,0.18,1,0.63,0.19,0.11,0.21,18.18,0.08,0.04,0,0.04,0.12,0.16,-0.03,-0.01,B,2021,47095867168
135,h.steiner,People's Land of Maneau,Horrible Storm,22,1997,35.57,0.15,0.69,0.28,1,0.53,0.11,0.13,0.25,8.57,0,0,0.07,0.07,0.06,0.14,-0.01,0.04,A,2021,43352255538
33,z.no,People's Land of Maneau,Fighting Cougars,22,1997,35.57,0.02,0.21,0.01,0.03,0.26,0.08,0,0,16.51,0,0.07,0.05,0.02,0,0.17,-0.06,0.05,A,2021,42759546840
2136,i.basemera,Nganion,Flying Penguins,22,1998,35.97,0.07,0.85,0.22,1,0.74,0.31,0.17,0.41,17.02,0.02,0,0,0.01,0.01,0.05,0.13,0.1,E,2021,41881364383
186,m.tumuramye,Ngoque Blicri,Old Mustangs,26,1994,37.65,0.11,0.45,0.13,1,0.51,0.23,0,0.29,17.24,0,0,0.04,0.1,0.06,0,-0.05,0.05,A,2021,39668968413
818,c.langa,Dosqaly,Swift Rustlers,20,2000,34.1,0,1.51,0.3,1,1.43,0.31,0.03,0.27,17.18,0,0.09,0.08,0.2,0.05,0.15,-0.14,0.03,B,2021,39534311300
2764,d.bergmann,People's Land of Maneau,Wild Hornets,27,1993,36.73,0,0.24,0.08,1,0.18,0.08,0.07,0.55,10.69,0.03,0,0,0,0.12,0.19,-0.09,-0.08,RFL,2021,38690162678
2679,a.mtambo,Rarita,Red Anchormen,28,1991,37.71,0,0.75,0.11,1,0.57,0.22,0.09,0.02,18.6,0,0,0,0.12,0,0.12,0.05,-0.06,RFL,2021,38550001870
134,b.stewart,People's Land of Maneau,Horrible Storm,24,1995,37.9,0.09,0.15,0.13,1,0.12,0.1,0,0,20.88,0.06,0,0,0.06,0.09,0.01,-0.04,-0.05,A,2021,38048190128
1654,k.taremwa,Lefghau,Hideous Spartans,28,1992,36.15,0.5,2.05,0.75,1,1.98,0.73,0.25,0.5,13.86,0.07,0.12,0.15,0.39,0.25,0.15,0.02,0.13,D,2021,37742839777
1634,i.mushonga,Sobianitedrucy,Flying Bombadiers,29,1991,36.12,0.34,1.7,0.51,1,1.69,0.48,0.2,0.56,17.41,0,0.07,0.04,0.11,0.08,0.18,0.16,0,D,2021,35059655519
1916,u.mayer,Rosvi,Strange Pioneers,22,1997,33.79,0.12,0.58,0.28,1,0.66,0.17,0.19,0.37,12.13,0.03,0.02,0,0.16,0,0.23,0.01,-0.06,D,2021,34651309728
