,Player,Nation,Age,FW,MF,DF,GK,Raritan,player_id
0,a.aceng,Esia,24,0,0,1,0,0,a.aceng-Esia
1,a.agyapong,Imaar Vircoand,22,0,1,0,0,0,a.agyapong-Imaar Vircoand
2,a.ainomugisha,Moaithe,20,0,0,1,0,0,a.ainomugisha-Moaithe
3,a.akoth,Unicorporated Tiagascar,27,0,0,1,0,0,a.akoth-Unicorporated Tiagascar
4,a.alqahtani,Byasier Pujan,16,1,0,0,0,0,a.alqahtani-Byasier Pujan
5,a.amongin,Sobianitedrucy,30,0,0,0,1,0,a.amongin-Sobianitedrucy
6,a.andama,Byasier Pujan,20,0,0,1,0,0,a.andama-Byasier Pujan
7,a.anwar,Dosqaly,28,1,0,0,0,0,a.anwar-Dosqaly
8,a.aryemo,Ngoque Blicri,28,0,1,0,0,0,a.aryemo-Ngoque Blicri
9,a.ashaba,Byasier Pujan,27,0,1,0,0,0,a.ashaba-Byasier Pujan
10,a.avako,People's Land of Maneau,25,0,1,0,0,0,a.avako-People's Land of Maneau
11,a.baguma,Rarita,18,1,0,0,0,1,a.baguma-Rarita
12,a.barbieri,Nganion,32,0,0,1,0,0,a.barbieri-Nganion
13,a.berisha,People's Land of Maneau,23,1,0,0,0,0,a.berisha-People's Land of Maneau
14,a.berkowitz,Sobianitedrucy,34,0,0,0,1,0,a.berkowitz-Sobianitedrucy
15,a.bintizakaria,Zacia Lygia,31,0,0,1,0,0,a.bintizakaria-Zacia Lygia
16,a.blanchard,Esia,20,0,1,0,0,0,a.blanchard-Esia
17,a.bondarenko,Biarizea,24,1,0,0,0,0,a.bondarenko-Biarizea
18,a.bruno,People's Land of Maneau,29,1,0,0,0,0,a.bruno-People's Land of Maneau
19,a.caron,Sobianitedrucy,24,1,0,0,0,0,a.caron-Sobianitedrucy
20,a.cheang,Manlisgamncent,20,0,0,1,0,0,a.cheang-Manlisgamncent
21,a.chelimo,Dosqaly,21,0,0,1,0,0,a.chelimo-Dosqaly
22,a.chipeta,Zamlie Niabangthe,22,0,0,0,1,0,a.chipeta-Zamlie Niabangthe
23,a.davies,Rosvi,29,0,0,1,0,0,a.davies-Rosvi
24,a.dekker,Nancipenuaroe,27,0,1,0,0,0,a.dekker-Nancipenuaroe
25,a.engi,Dosqaly,26,0,1,0,0,0,a.engi-Dosqaly
26,a.fatimah,Nganion,19,1,0,0,0,0,a.fatimah-Nganion
27,a.fekete,Byasier Pujan,17,0,1,0,0,0,a.fekete-Byasier Pujan
28,a.goossens,Esia,17,0,1,0,0,0,a.goossens-Esia
29,a.grgi,Unicorporated Tiagascar,30,0,0,1,0,0,a.grgi-Unicorporated Tiagascar
30,a.guo,Esia,19,1,0,0,0,0,a.guo-Esia
31,a.haruna,Dosqaly,25,0,0,1,0,0,a.haruna-Dosqaly
32,a.harutyunyan,Western Niasland,22,1,0,0,0,0,a.harutyunyan-Western Niasland
33,a.hasibuan,Rarita,26,0,0,1,0,1,a.hasibuan-Rarita
34,a.hudak,Nganion,29,0,0,1,0,0,a.hudak-Nganion
35,a.janssen,People's Land of Maneau,21,0,0,1,0,0,a.janssen-People's Land of Maneau
36,a.johannessen,Nganion,30,0,1,0,0,0,a.johannessen-Nganion
37,a.kalule,Janmico,23,0,1,0,0,0,a.kalule-Janmico
38,a.karlsson,Ngoque Blicri,29,0,1,0,0,0,a.karlsson-Ngoque Blicri
39,a.katusiime,Greri Landmoslands,24,1,0,0,0,0,a.katusiime-Greri Landmoslands
40,a.kawala,Nganion,20,1,0,0,0,0,a.kawala-Nganion
41,a.kovaevi,Sobianitedrucy,28,0,0,0,1,0,a.kovaevi-Sobianitedrucy
42,a.kozowski,Dosqaly,19,0,1,0,0,0,a.kozowski-Dosqaly
43,a.kuloba,Coastpa Barleslands,34,0,1,0,0,0,a.kuloba-Coastpa Barleslands
44,a.kyarikunda,Rarita,30,1,0,0,0,1,a.kyarikunda-Rarita
45,a.lalam,Greri Landmoslands,26,0,0,1,0,0,a.lalam-Greri Landmoslands
46,a.lamunu,Dosqaly,20,0,0,0,1,0,a.lamunu-Dosqaly
47,a.logose,Lylimi,25,1,0,0,0,0,a.logose-Lylimi
48,a.luna,Nganion,20,0,1,0,0,0,a.luna-Nganion
49,a.malkah,Esia,30,0,1,0,0,0,a.malkah-Esia
50,a.maposa,Nganion,29,0,1,0,0,0,a.maposa-Nganion
51,a.marchenko,Ingre,26,0,0,1,0,0,a.marchenko-Ingre
52,a.mbusa,Dosqaly,35,0,0,0,1,0,a.mbusa-Dosqaly
53,a.miura,Rosvi,31,0,1,0,0,0,a.miura-Rosvi
54,a.mor,Esia,35,0,0,0,1,0,a.mor-Esia
55,a.mtambo,Rarita,28,0,0,1,0,1,a.mtambo-Rarita
56,a.mucunguzi,Esia,28,0,1,0,0,0,a.mucunguzi-Esia
57,a.mugisha,Nganion,20,0,1,0,0,0,a.mugisha-Nganion
58,a.muller,Nganion,32,0,0,1,0,0,a.muller-Nganion
59,a.mumpande,Esia,29,0,1,0,0,0,a.mumpande-Esia
60,a.murata,Nganion,30,0,1,0,0,0,a.murata-Nganion
61,a.musonza,Dosqaly,34,1,0,0,0,0,a.musonza-Dosqaly
62,a.mwesigwa,Esia,25,0,1,0,0,0,a.mwesigwa-Esia
63,a.nabuuma,Dosqaly,22,0,0,1,0,0,a.nabuuma-Dosqaly
64,a.nakagawa,Manlisgamncent,25,0,1,0,0,0,a.nakagawa-Manlisgamncent
65,a.nakiranda,Dosqaly,19,0,0,1,0,0,a.nakiranda-Dosqaly
66,a.namataka,Dosqaly,20,0,0,1,0,0,a.namataka-Dosqaly
67,a.namubiru,Dosqaly,21,1,0,0,0,0,a.namubiru-Dosqaly
68,a.nanjala,Rarita,21,1,0,0,0,1,a.nanjala-Rarita
69,a.nantege,Lefghau,25,1,0,0,0,0,a.nantege-Lefghau
70,a.nasiru,Janmico,25,1,0,0,0,0,a.nasiru-Janmico
71,a.nassanga,People's Land of Maneau,28,0,1,0,0,0,a.nassanga-People's Land of Maneau
72,a.negri,Nganion,22,1,0,0,0,0,a.negri-Nganion
73,a.nekesa,Sobianitedrucy,22,0,0,1,0,0,a.nekesa-Sobianitedrucy
74,a.nilsen,Nganion,33,0,0,1,0,0,a.nilsen-Nganion
75,a.nunez,Rarita,20,0,1,0,0,1,a.nunez-Rarita
