,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,League,Year
0,I. Winter,Danan Seekeeling,DF,Fanatical Outlaws,27,1991,13.14,1.41,0.93,1.01,0.29,0.07,0.55,1.96,23.1,1.58,8.79,2.97,34.47,7.02,1.64,0.17,2.07,0.58,-0.01,1.46,1.09,2.55,7.19,0.04,A,2020
1,P. Nakubulwa,Dosqaly,DF,Fanatical Outlaws,22,1997,30.72,1.09,0.61,0.8,0.39,0.0,0.58,1.07,46.99,0.58,7.91,2.75,34.51,4.99,2.5,0.33,1.55,0.7,-0.02,0.92,1.11,2.09,6.19,0.16,A,2020
2,M. Mahlangu,Imaar Vircoand,DF,Fanatical Outlaws,34,1985,6.68,2.17,1.49,1.34,0.73,0.22,0.66,2.31,26.65,1.61,14.04,4.14,28.9,8.03,3.82,2.19,2.42,0.44,0.04,1.98,1.29,3.56,2.95,0.02,A,2020
3,I. Huber,Lenia Gerdanho,DF,Fanatical Outlaws,25,1993,10.37,4.17,2.54,2.61,1.21,0.27,1.06,2.82,36.72,1.79,21.38,6.34,29.11,12.32,7.71,1.29,2.87,0.22,-0.05,2.41,1.18,5.38,2.83,0.02,A,2020
4,A. Kobusingye,People's Land of Maneau,DF,Fanatical Outlaws,18,2000,4.86,3.93,2.54,3.28,0.59,-0.08,1.47,4.67,30.37,3.19,22.97,6.85,30.41,16.19,5.99,0.8,2.28,0.16,0.02,2.03,0.46,4.2,3.46,-0.08,A,2020
5,F. Kizito,People's Land of Maneau,DF,Fanatical Outlaws,19,2000,2.95,2.73,1.25,1.74,0.76,0.33,1.28,2.06,66.68,0.6,11.96,1.93,16.73,6.34,3.26,2.38,2.74,1.03,0.05,1.7,1.27,3.97,5.26,-0.01,A,2020
6,J. Bala,People's Land of Maneau,DF,Fanatical Outlaws,26,1992,24.8,3.46,1.86,2.51,0.67,0.23,1.37,2.62,50.75,1.3,13.04,3.96,29.79,7.86,3.38,1.86,1.71,0.28,0.04,1.35,0.75,4.28,3.68,-0.03,A,2020
7,L. Rezaei,People's Land of Maneau,DF,Fanatical Outlaws,29,1989,30.24,1.62,1.05,0.93,0.65,0.15,0.87,2.05,40.63,1.19,11.73,3.91,33.27,6.19,4.25,1.25,2.14,0.31,-0.07,1.83,0.53,2.11,2.99,-0.03,A,2020
8,J. Teko,Sobianitedrucy,DF,Fanatical Outlaws,31,1988,30.92,1.36,1.17,1.0,0.35,0.2,0.38,1.24,38.99,0.64,10.18,3.84,37.32,7.26,2.32,0.54,2.54,1.15,-0.03,1.38,0.65,2.2,5.47,-0.03,A,2020
9,D. Oren,Central Diasongo,FW,Fanatical Outlaws,25,1994,25.17,0.9,0.64,0.36,0.31,0.13,0.12,1.17,10.6,0.91,22.74,4.91,22.0,1.74,11.96,8.96,1.36,0.21,0.05,1.16,0.28,1.12,1.05,0.04,A,2020
10,F. Lubowa,Newgan Ruland,FW,Fanatical Outlaws,31,1988,1.21,-0.04,-0.09,0.03,-0.06,-0.01,0.04,0.78,-0.06,0.87,21.6,4.94,23.13,-0.08,5.8,15.81,0.08,-0.09,-0.09,-0.05,0.91,0.91,-0.08,-0.06,A,2020
11,B. De Rosa,People's Land of Maneau,FW,Fanatical Outlaws,22,1996,10.22,1.9,1.18,0.59,0.76,0.58,0.49,1.86,26.39,1.34,17.12,3.85,22.97,6.5,6.2,4.16,1.4,0.04,-0.08,1.45,1.58,3.43,0.4,-0.09,A,2020
12,I. Namirimu,Thaijagypt,FW,Fanatical Outlaws,29,1990,19.6,0.65,0.42,0.18,0.27,0.23,0.0,0.62,14.39,0.61,17.21,3.89,23.0,1.56,7.68,7.88,1.38,0.16,0.02,1.06,0.5,1.08,0.43,-0.05,A,2020
