,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
0,I. Winter,Danan Seekeeling,DF,Fanatical Outlaws,27,1991,13.0,0.07,0.77,0.39,40.03,0.84,0.31,0.06,0.28,7.28,-0.1,-0.03,0.02,0.22,0.1,0.08,-0.09,-0.13,A,2020
1,P. Nakubulwa,Dosqaly,DF,Fanatical Outlaws,22,1997,30.77,0.14,0.41,0.12,40.07,0.55,0.29,0.13,0.52,7.79,-0.09,0.1,0.03,-0.04,-0.02,0.16,0.08,0.08,A,2020
2,M. Mahlangu,Imaar Vircoand,DF,Fanatical Outlaws,34,1985,6.53,0.04,0.12,0.04,-0.02,0.09,0.05,-0.05,,12.19,-0.09,0.03,0.09,0.1,0.02,0.04,0.03,-0.07,A,2020
3,I. Huber,Lenia Gerdanho,DF,Fanatical Outlaws,25,1993,10.49,-0.04,0.53,0.25,39.91,0.4,0.28,0.0,0.01,29.28,-0.02,0.08,0.0,0.09,0.04,-0.03,0.02,-0.07,A,2020
4,A. Kobusingye,People's Land of Maneau,DF,Fanatical Outlaws,18,2000,4.93,0.03,0.16,0.11,100.06,0.25,0.3,-0.02,-0.1,24.91,0.03,-0.03,-0.06,-0.07,-0.08,0.04,0.0,-0.02,A,2020
5,F. Kizito,People's Land of Maneau,DF,Fanatical Outlaws,19,2000,3.01,-0.07,0.41,0.02,0.04,0.27,0.04,-0.04,,28.38,0.09,0.04,-0.08,0.0,0.0,-0.06,0.06,-0.03,A,2020
6,J. Bala,People's Land of Maneau,DF,Fanatical Outlaws,26,1992,24.99,-0.05,0.22,0.08,-0.09,0.15,0.07,-0.04,,21.7,-0.1,0.1,0.08,0.02,-0.07,0.0,-0.06,0.03,A,2020
7,L. Rezaei,People's Land of Maneau,DF,Fanatical Outlaws,29,1989,30.26,0.03,0.5,0.07,27.82,0.58,0.1,0.1,0.57,20.14,0.16,0.03,0.04,0.1,0.03,0.14,0.07,0.03,A,2020
8,J. Teko,Sobianitedrucy,DF,Fanatical Outlaws,31,1988,30.93,0.01,0.4,0.08,28.54,0.48,0.09,0.11,0.45,9.71,-0.07,0.0,0.08,-0.01,0.1,0.09,0.0,0.11,A,2020
9,D. Oren,Central Diasongo,FW,Fanatical Outlaws,25,1994,25.14,0.32,2.22,1.05,49.11,2.25,1.11,0.03,0.35,10.31,-0.1,-0.07,-0.05,0.39,0.27,0.21,-0.08,0.01,A,2020
