,Player Name,League,Squad,Country,Position,Annualized Salary
0,I. Winter,A,Fanatical Outlaws,Danan Seekeeling,DF,25480000
1,P. Nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,9950000
2,M. Mahlangu,A,Fanatical Outlaws,Imaar Vircoand,DF,26500000
3,I. Huber,A,Fanatical Outlaws,Lenia Gerdanho,DF,25530000
4,A. Kobusingye,A,Fanatical Outlaws,People's Land of Maneau,DF,9510000
5,F. Kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,18120000
6,J. Bala,A,Fanatical Outlaws,People's Land of Maneau,DF,22520000
7,L. Rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,25710000
8,J. Teko,A,Fanatical Outlaws,Sobianitedrucy,DF,7640000
9,D. Oren,A,Fanatical Outlaws,Central Diasongo,FW,29330000
10,F. Lubowa,A,Fanatical Outlaws,Newgan Ruland,FW,21810000
11,B. De Rosa,A,Fanatical Outlaws,People's Land of Maneau,FW,25600000
12,I. Namirimu,A,Fanatical Outlaws,Thaijagypt,FW,25250000
13,F. Dauda,A,Fanatical Outlaws,Nganion,GK,18470000
14,S. Kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,16720000
15,R. Namuganza,A,Fanatical Outlaws,People's Land of Maneau,GK,17850000
16,R. Chee,A,Fanatical Outlaws,Southslands,GK,4940000
17,F. Pop,A,Fanatical Outlaws,Galamily,MF,31300000
18,D. Alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,20200000
19,I. Iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,16220000
20,L. Goodarzi,A,Fanatical Outlaws,People's Land of Maneau,MF,11440000
21,Y. Joseph,A,Fanatical Outlaws,People's Land of Maneau,MF,12880000
22,I. Horváth,A,Fanatical Outlaws,Western Niasland,MFDF,11780000
23,J. Akello,A,Fanatical Outlaws,Bernepamar,MFFW,27820000
24,I. Kamukama,A,Fanatical Outlaws,Lefghau,MFFW,31460000
25,W. Lew,A,Fanatical Outlaws,Nganion,MFFW,22810000
26,M. Namukwaya,A,Fanatical Outlaws,Ngoque Blicri,MFFW,25650000
27,U. Pichler,A,Fanatical Outlaws,Quewenia,MFFW,17900000
28,H. Tourgeman,A,Fanatical Outlaws,Rarita,MFFW,29240000
29,R. Petrenko,A,Fighting Cougars,Lefghau,DF,17170000
30,Z. Salisu,A,Fighting Cougars,Nganion,DF,19570000
31,D. Ikeda,A,Fighting Cougars,People's Land of Maneau,DF,16490000
32,I. Ludwig,A,Fighting Cougars,People's Land of Maneau,DF,26490000
33,K. Tóth,A,Fighting Cougars,People's Land of Maneau,DF,24130000
34,U. Ortíz,A,Fighting Cougars,People's Land of Maneau,DF,14590000
35,O. Ilukol,A,Fighting Cougars,Sobianitedrucy,DF,15190000
36,D. bin Salleh,A,Fighting Cougars,Southslands,DF,15510000
37,G. Köhler,A,Fighting Cougars,People's Land of Maneau,DFFW,23300000
38,L. Wafula,A,Fighting Cougars,Dosqaly,FW,24580000
39,K. Turyahabwe,A,Fighting Cougars,People's Land of Maneau,FW,16220000
40,R. binti Hassan,A,Fighting Cougars,Southslands,FW,18370000
41,P. Chew,A,Fighting Cougars,Esia,FWMF,28460000
42,M. Hsieh,A,Fighting Cougars,Lonnia Haba,FWMF,17470000
43,F. Cho,A,Fighting Cougars,Southern Ristan,FWMF,29960000
44,Z. Marini,A,Fighting Cougars,Central Republic of Boekrainego,GK,22680000
45,I. Azulay,A,Fighting Cougars,Byasier Pujan,MF,19590000
46,T. Ansari,A,Fighting Cougars,People's Land of Maneau,MF,16790000
47,H. Narvaez,A,Fighting Cougars,Reugha,MF,17280000
48,B. Kakooza,A,Fighting Cougars,Central Namemo Laand,MFDF,17300000
49,O. Kia,A,Fighting Cougars,Western Niasland,MFDF,23450000
50,H. Engel,A,Fighting Cougars,Byasier Pujan,MFFW,22680000
51,N. Mousa,A,Fighting Cougars,Cabral Retrea,MFFW,26300000
52,M. Kamanga,A,Fighting Cougars,Central Republic of Boekrainego,MFFW,20920000
53,Q. Nabimanya,A,Fighting Cougars,Imaar Vircoand,MFFW,10660000
54,D. Daniel,A,Great Galactic Gorgons,People's Land of Maneau,DF,12700000
55,H. Akugizibwe,A,Great Galactic Gorgons,People's Land of Maneau,DF,16890000
56,I. Akpan,A,Great Galactic Gorgons,People's Land of Maneau,DF,20240000
57,T. Awuah,A,Great Galactic Gorgons,People's Land of Maneau,DF,16530000
58,M. Ludwig,A,Great Galactic Gorgons,Rarita,DF,11830000
59,I. Najjemba,A,Great Galactic Gorgons,Southslands,DF,24200000
60,X. Nalukenge,A,Great Galactic Gorgons,Southslands,DF,24720000
61,S. Pérez,A,Great Galactic Gorgons,Byasier Pujan,FW,18000000
62,J. Krajnc,A,Great Galactic Gorgons,Djipines,FW,10780000
63,G. Elbaz,A,Great Galactic Gorgons,Dosqaly,FW,28350000
64,Y. Susanti,A,Great Galactic Gorgons,Ngoque Blicri,FW,26340000
65,A. Schmitt,A,Great Galactic Gorgons,People's Land of Maneau,FW,26120000
66,H. Gomani,A,Great Galactic Gorgons,Southslands,FW,27240000
67,B. Mulyana,A,Great Galactic Gorgons,People's Land of Maneau,FWMF,26140000
68,Q. Ayerango,A,Great Galactic Gorgons,Southslands,FWMF,25300000
69,K. Smits,A,Great Galactic Gorgons,People's Land of Maneau,GK,6400000
70,P. Kabugo,A,Great Galactic Gorgons,People's Land of Maneau,GK,21600000
71,D. Kojima,A,Great Galactic Gorgons,Highhlaands,MF,29050000
72,A. Aryemo,A,Great Galactic Gorgons,Ngoque Blicri,MF,32020000
73,E. Yeong,A,Great Galactic Gorgons,People's Land of Maneau,MF,12870000
74,G. Gustafsson,A,Great Galactic Gorgons,People's Land of Maneau,MF,29520000
75,R. Hamed,A,Great Galactic Gorgons,People's Land of Maneau,MF,90000
76,H. Susanto,A,Great Galactic Gorgons,Redohrainbri,MF,17370000
77,G. Lukyamuzi,A,Great Galactic Gorgons,Thaijagypt,MF,16910000
78,O. Mugide,A,Great Galactic Gorgons,Unicorporated Tiagascar,MF,16260000
79,F. Nakazibwe,A,Great Galactic Gorgons,People's Land of Maneau,MFDF,19340000
80,Z. Okon,A,Green Fleet,Byasier Pujan,DF,23090000
81,G. Nimusiima,A,Green Fleet,Central Diasongo,DF,3040000
82,C. Ahmad,A,Green Fleet,Imaar Vircoand,DF,18190000
83,C. Muyama,A,Green Fleet,People's Land of Maneau,DF,18830000
84,G. Hernández,A,Green Fleet,People's Land of Maneau,DF,13890000
85,I. Donati,A,Green Fleet,People's Land of Maneau,DF,23030000
86,L. Mugumya,A,Green Fleet,People's Land of Maneau,DF,12800000
87,R. Ishii,A,Green Fleet,People's Land of Maneau,DF,15410000
88,U. Wright,A,Green Fleet,People's Land of Maneau,DF,20870000
89,Z. Agyei,A,Green Fleet,People's Land of Maneau,DF,13920000
90,Q. Sarfo,A,Green Fleet,Xikong,DF,3180000
91,K. Nalwanga,A,Green Fleet,Rarita,DFMF,23920000
92,I. Koomson,A,Green Fleet,Djipines,FW,19330000
93,L. Obote,A,Green Fleet,Dosqaly,FW,30190000
94,T. Ichikawa,A,Green Fleet,People's Land of Maneau,FW,29120000
95,Z. Nabaweesi,A,Green Fleet,People's Land of Maneau,FW,26810000
96,N. Gheorghe,A,Green Fleet,Republic of Denand Landsa,FW,26930000
97,Q. Scott,A,Green Fleet,Byasier Pujan,FWDF,24180000
98,G. Mwebaze,A,Green Fleet,Nganion,GK,17220000
99,J. Rukundo,A,Green Fleet,Dosqaly,MF,29710000
100,C. Ji,A,Green Fleet,Greri Landmoslands,MF,30660000
101,Q. Nabutono,A,Green Fleet,Lefghau,MF,18150000
102,P. Bauri,A,Green Fleet,Ngoque Blicri,MF,33690000
