,Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
0,B. Schneider,Bernepamar,DF,26,1995,3.02,-0.06,-0.02,0.02,,0.1,-0.05,,,,0.08,-0.09,Tournament,2020,,,,,,
1,G. Adilovi?,Bernepamar,DF,19,2002,2.92,-0.09,0.08,0.06,,0.0,-0.09,,,,0.08,0.03,Tournament,2020,,,,,,
2,J. Mizrahi,Bernepamar,DF,22,1999,1.95,0.04,0.55,0.02,-0.04,0.55,-0.04,0.07,,,-0.09,0.0,Tournament,2020,,,,,,
3,L. Ayugi,Bernepamar,DF,29,1992,1.96,0.02,0.02,-0.05,,0.06,0.03,,,,0.05,0.1,Tournament,2020,,,,,,
4,N. Salleh,Bernepamar,DF,24,1997,2.26,-0.07,0.37,0.48,100.07,0.41,0.47,-0.02,0.1,,-0.01,-0.04,Tournament,2020,,,,,,
5,P. Kusemererwa,Bernepamar,DF,24,1997,1.95,0.01,0.42,0.46,99.99,0.57,0.5,0.01,-0.1,,-0.1,0.05,Tournament,2020,,,,,,
6,S. Rahimi,Bernepamar,DF,22,1999,0.96,0.09,0.08,0.06,,0.09,-0.05,,,,-0.05,0.02,Tournament,2020,,,,,,
7,X. Krawczyk,Bernepamar,DF,25,1996,3.05,-0.07,0.01,0.07,,-0.07,-0.06,,,,-0.07,0.1,Tournament,2020,,,,,,
8,Y. Salihovi?,Bernepamar,DF,30,1991,1.94,-0.06,0.57,0.08,0.02,0.49,-0.09,-0.09,,,-0.05,0.0,Tournament,2020,,,,,,
9,C. Tembe,Bernepamar,FW,34,1987,1.29,0.0,1.59,0.83,49.92,1.69,0.79,0.02,-0.08,,0.08,0.01,Tournament,2020,,,,,,
10,E. Twinamatsiko,Bernepamar,FW,25,1996,1.72,0.01,0.62,-0.06,0.06,0.54,-0.02,0.05,,,0.08,0.04,Tournament,2020,,,,,,
11,J. Otto,Bernepamar,FW,33,1988,1.74,0.01,1.16,0.58,49.93,1.08,0.63,0.01,-0.05,,-0.02,0.08,Tournament,2020,,,,,,
12,R. Velásquez,Bernepamar,FW,23,1997,1.45,0.77,1.46,1.48,100.0,1.34,1.39,0.45,0.46,,0.01,-0.04,Tournament,2020,,,,,,
13,E. Bin Abdul Rahman,Bernepamar,GK,27,1994,1.97,0.08,-0.05,-0.09,,0.1,0.02,,,,-0.01,0.08,Tournament,2020,,,,,,
14,F. Yokoyama,Bernepamar,GK,37,1984,3.06,-0.01,0.02,-0.08,,0.03,-0.07,,,,-0.07,0.0,Tournament,2020,,,,,,
15,C. Mukiibi,Bernepamar,MF,25,1996,1.26,-0.08,-0.07,0.06,,-0.1,-0.05,,,,0.03,-0.02,Tournament,2020,,,,,,
16,H. Sinaga,Bernepamar,MF,24,1996,2.98,0.32,1.01,0.36,33.31,1.06,0.29,0.26,1.02,,0.04,0.09,Tournament,2020,,,,,,
17,J. Almeida,Bernepamar,MF,26,1995,0.75,-0.07,0.09,-0.02,,0.01,-0.02,,,,-0.06,0.05,Tournament,2020,,,,,,
18,K. Mayanja,Bernepamar,MF,28,1993,3.95,0.34,1.95,0.32,12.41,2.09,0.33,0.08,0.08,,0.16,0.2,Tournament,2020,,,,,,
19,N. Kabagambe,Bernepamar,MF,32,1989,1.72,-0.04,0.58,0.0,-0.05,0.62,-0.06,0.0,,,-0.02,0.02,Tournament,2020,,,,,,
20,T. Al-Zahrani,Bernepamar,MF,23,1998,1.15,0.0,0.88,-0.02,0.03,0.77,0.01,0.01,,,0.03,-0.09,Tournament,2020,,,,,,
21,U. Lai,Bernepamar,MF,30,1991,1.37,-0.02,-0.1,0.03,,-0.04,0.0,,,,0.09,0.02,Tournament,2020,,,,,,
22,U. Vogt,Bernepamar,MF,32,1989,0.66,0.07,1.57,0.04,-0.02,1.67,-0.02,0.0,,,0.07,-0.1,Tournament,2020,,,,,,
23,Z. Janssen,Bernepamar,MF,30,1991,1.87,-0.07,-0.05,-0.06,,0.05,0.02,,,,0.0,0.07,Tournament,2020,,,,,,
24,D. Lal,Bernepamar,MFFW,25,1995,4.24,0.33,1.37,0.5,33.2,1.47,0.43,0.22,0.6,,-0.06,0.09,Tournament,2020,,,,,,
25,J. Akello,Bernepamar,MFFW,32,1989,3.55,0.29,1.45,0.64,40.09,1.3,0.49,0.23,0.46,,0.02,0.06,Tournament,2020,,,,,,
26,B. Odoch,Bernoullist,DF,29,1992,2.91,0.02,0.71,0.08,-0.05,0.58,-0.1,0.01,,,-0.04,-0.09,Tournament,2020,,,,,,
27,C. Mulyadi,Bernoullist,DF,35,1986,2.57,0.09,0.3,-0.05,0.09,0.34,-0.1,0.04,,,0.07,-0.08,Tournament,2020,,,,,,
28,I. Hen,Bernoullist,DF,34,1987,3.83,-0.07,0.79,0.02,-0.02,0.69,0.03,-0.09,,,0.09,0.06,Tournament,2020,,,,,,
29,T. Lowe,Bernoullist,DF,24,1997,0.92,0.0,0.05,-0.07,,-0.06,0.01,,,,0.08,0.05,Tournament,2020,,,,,,
30,V. Aliyu,Bernoullist,DF,24,1997,0.49,-0.04,0.07,-0.02,,-0.04,-0.06,,,,0.05,0.09,Tournament,2020,,,,,,
31,D. Kiwanuka,Bernoullist,DFMF,27,1994,2.83,-0.03,0.36,0.02,0.0,0.27,0.07,0.09,,,-0.08,0.03,Tournament,2020,,,,,,
32,K. Nayebare,Bernoullist,DFMF,34,1987,3.04,0.0,0.95,0.41,33.36,1.06,0.36,0.01,0.05,,0.06,-0.08,Tournament,2020,,,,,,
33,F. Amono,Bernoullist,FW,32,1989,1.24,0.08,-0.05,-0.09,,-0.01,-0.09,,,,0.02,-0.09,Tournament,2020,,,,,,
34,F. bin Abdullah,Bernoullist,FW,21,2000,3.04,-0.04,2.06,0.7,33.21,1.96,0.73,0.01,0.1,,0.04,-0.05,Tournament,2020,,,,,,
35,N. Wi?niewski,Bernoullist,FW,24,1997,3.71,0.08,2.8,0.58,19.9,2.65,0.54,0.09,0.0,,0.1,0.04,Tournament,2020,,,,,,
36,V. Molina,Bernoullist,FW,26,1995,1.0,-0.09,2.01,1.08,49.9,2.03,0.93,-0.03,0.06,,0.1,0.02,Tournament,2020,,,,,,
37,O. Ooi,Bernoullist,GK,24,1997,0.95,0.02,-0.01,-0.01,,-0.02,-0.03,,,,-0.03,0.06,Tournament,2020,,,,,,
38,R. Ting,Bernoullist,GK,26,1995,3.06,0.1,-0.01,0.1,,-0.08,-0.01,,,,0.03,0.06,Tournament,2020,,,,,,
39,B. Twinamasiko,Bernoullist,MF,24,1997,0.67,-0.05,0.05,-0.07,,0.1,-0.02,,,,0.05,-0.1,Tournament,2020,,,,,,
40,C. Abdulaziz,Bernoullist,MF,35,1986,2.27,-0.09,0.94,0.1,-0.04,0.93,0.02,0.08,,,0.04,0.01,Tournament,2020,,,,,,
41,D. Weber,Bernoullist,MF,30,1991,2.97,0.02,0.41,0.0,-0.01,0.28,0.07,0.04,,,0.0,0.1,Tournament,2020,,,,,,
42,H. Kyogabirwe,Bernoullist,MF,29,1992,0.5,0.05,0.07,-0.1,,0.04,-0.02,,,,0.03,-0.09,Tournament,2020,,,,,,
43,K. Asamoah,Bernoullist,MF,24,1997,2.37,-0.06,-0.05,0.1,,-0.1,-0.07,,,,0.08,-0.08,Tournament,2020,,,,,,
44,L. Muzaki,Bernoullist,MF,27,1994,1.57,0.07,1.26,0.08,0.05,1.26,0.02,-0.1,,,0.0,-0.06,Tournament,2020,,,,,,
45,Q. Kutosi,Bernoullist,MF,25,1996,1.94,0.06,0.6,0.57,99.98,0.48,0.48,0.01,0.06,,0.05,0.08,Tournament,2020,,,,,,
46,Z. Nabukwasi,Bernoullist,MF,23,1998,1.41,-0.06,0.09,0.1,,-0.08,0.02,,,,0.03,-0.05,Tournament,2020,,,,,,
47,C. Carvalho,Byasier Pujan,DF,26,1995,2.9,-0.06,0.61,0.05,0.08,0.68,0.01,0.03,,,-0.03,-0.05,Tournament,2020,,,,,,
48,D. Iskandar,Byasier Pujan,DF,31,1990,0.86,-0.07,2.21,-0.06,0.02,2.16,0.05,-0.08,,,0.06,-0.1,Tournament,2020,,,,,,
49,I. Gumede,Byasier Pujan,DF,29,1992,4.08,-0.08,0.66,-0.04,-0.08,0.67,0.07,0.03,,,0.02,0.06,Tournament,2020,,,,,,
50,L. Yusof,Byasier Pujan,DF,27,1994,3.85,0.03,0.3,0.0,-0.09,0.31,0.04,0.06,,,0.07,-0.07,Tournament,2020,,,,,,
51,Q. Hor,Byasier Pujan,DF,29,1992,2.16,-0.05,-0.09,0.06,,-0.08,-0.01,,,,-0.07,-0.03,Tournament,2020,,,,,,
52,V. Bila,Byasier Pujan,DF,25,1996,2.13,-0.09,-0.04,0.0,,0.0,-0.02,,,,0.0,-0.02,Tournament,2020,,,,,,
