,Player,Salary0,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9
0,i.winter,26230000,26269000,26286000,26304000,26331000,26359000,26394000,26454000,26540000,26614000
1,p.nakubulwa,10180000,10193000,10233000,10242000,10325000,10355000,10364000,10463000,10500000,10592000
2,m.mahlangu,27000000,27051000,27129000,27144000,27145000,27178000,27180000,27206000,27218000,27263000
3,i.huber,19740000,19753000,19833000,19862000,19870000,19924000,19930000,19942000,20037000,20133000
4,a.kobusingye,27030000,27120000,27191000,27197000,27209000,27228000,27251000,27331000,27339000,27354000
5,f.kizito,18960000,19027000,19079000,19094000,19194000,19279000,19336000,19384000,19442000,19484000
6,j.bala,8020000,8105000,8163000,8261000,8284000,8296000,8333000,8400000,8436000,8486000
7,l.rezaei,27600000,27631000,27692000,27763000,27782000,27818000,27884000,27977000,28038000,28062000
8,j.teko,23030000,23065000,23066000,23104000,23180000,23211000,23249000,23271000,23290000,23377000
9,d.oren,30120000,30179000,30257000,30290000,30308000,30386000,30470000,30509000,30530000,30576000
10,f.lubowa,25950000,26027000,26032000,26033000,26043000,26061000,26157000,26220000,26288000,26363000
11,b.derosa,27750000,27793000,27804000,27814000,27851000,27919000,27943000,27964000,27972000,28058000
12,i.namirimu,29220000,29246000,29276000,29294000,29300000,29359000,29418000,29518000,29607000,29666000
13,f.dauda,34090000,34147000,34209000,34227000,34240000,34338000,34378000,34425000,34495000,34517000
14,s.kiconco,23090000,23162000,23224000,23251000,23340000,23385000,23455000,23456000,23550000,23554000
15,r.namuganza,27370000,27426000,27438000,27459000,27464000,27465000,27478000,27518000,27594000,27683000
16,r.chee,32840000,32874000,32912000,32973000,33002000,33011000,33020000,33087000,33095000,33182000
17,f.pop,17580000,17663000,17696000,17719000,17755000,17759000,17770000,17780000,17861000,17890000
18,d.alshehri,5250000,5270000,5295000,5381000,5388000,5447000,5505000,5597000,5600000,5658000
19,i.iddrisu,32160000,32213000,32270000,32363000,32430000,32514000,32562000,32612000,32710000,32796000
20,l.goodarzi,21620000,21628000,21710000,21804000,21840000,21858000,21929000,21947000,22044000,22142000
21,y.joseph,17300000,17375000,17438000,17458000,17481000,17506000,17577000,17665000,17670000,17722000
22,i.horvath,32720000,32798000,32801000,32811000,32846000,32927000,32999000,33070000,33125000,33158000
23,j.akello,30700000,30740000,30770000,30858000,30894000,30992000,31011000,31099000,31126000,31182000
24,i.kamukama,15100000,15113000,15179000,15256000,15353000,15419000,15474000,15521000,15613000,15641000
25,w.lew,17210000,17280000,17313000,17345000,17397000,17492000,17584000,17639000,17677000,17732000
26,m.namukwaya,23440000,23496000,23586000,23633000,23710000,23714000,23738000,23827000,23839000,23860000
27,u.pichler,27450000,27460000,27532000,27550000,27619000,27686000,27765000,27860000,27916000,27939000
28,h.tourgeman,26350000,26387000,26465000,26535000,26625000,26715000,26768000,26826000,26892000,26917000
29,r.petrenko,15200000,15238000,15273000,15363000,15389000,15435000,15473000,15558000,15639000,15736000
30,z.salisu,15950000,16046000,16107000,16201000,16234000,16318000,16387000,16452000,16491000,16509000
31,d.ikeda,18590000,18598000,18625000,18684000,18771000,18867000,18962000,19003000,19039000,19096000
32,i.ludwig,19140000,19177000,19179000,19182000,19229000,19266000,19332000,19383000,19448000,19452000
33,k.toth,14730000,14810000,14858000,14870000,14926000,14974000,15057000,15090000,15131000,15166000
34,u.ortiz,10230000,10303000,10388000,10425000,10481000,10498000,10514000,10584000,10662000,10708000
35,o.ilukol,28630000,28728000,28744000,28826000,28857000,28883000,28886000,28984000,29006000,29094000
36,d.binsalleh,18910000,18957000,18969000,19015000,19036000,19107000,19186000,19194000,19247000,19270000
37,g.kohler,30370000,30437000,30490000,30494000,30547000,30575000,30616000,30701000,30725000,30802000
38,l.wafula,24400000,24434000,24474000,24567000,24642000,24682000,24757000,24770000,24774000,24826000
39,k.turyahabwe,24770000,24779000,24801000,24873000,24950000,24972000,25035000,25079000,25098000,25147000
40,r.bintihassan,17540000,17565000,17587000,17603000,17616000,17705000,17736000,17825000,17906000,17933000
41,p.chew,32370000,32407000,32447000,32541000,32560000,32627000,32653000,32704000,32727000,32727000
42,m.hsieh,22740000,22820000,22859000,22880000,22959000,23030000,23101000,23180000,23251000,23310000
43,f.cho,22460000,22559000,22576000,22637000,22692000,22737000,22785000,22822000,22892000,22913000
44,z.marini,21300000,21385000,21456000,21477000,21521000,21606000,21664000,21670000,21681000,21735000
45,i.azulay,18780000,18825000,18882000,18940000,18952000,18992000,19062000,19150000,19240000,19296000
46,t.ansari,2620000,2668000,2679000,2759000,2769000,2823000,2896000,2925000,2966000,3004000
47,h.narvaez,28480000,28538000,28556000,28647000,28745000,28789000,28860000,28871000,28889000,28953000
48,b.kakooza,23910000,24000000,24087000,24125000,24177000,24266000,24306000,24328000,24353000,24407000
49,o.kia,10780000,10814000,10844000,10855000,10954000,10998000,11075000,11108000,11143000,11148000
50,h.engel,28360000,28407000,28429000,28430000,28515000,28558000,28621000,28629000,28679000,28712000
51,n.mousa,13630000,13690000,13780000,13811000,13876000,13907000,13913000,13973000,13987000,14034000
52,m.kamanga,18790000,18851000,18942000,19004000,19005000,19101000,19134000,19152000,19208000,19294000
53,q.nabimanya,3260000,3296000,3309000,3324000,3363000,3412000,3498000,3535000,3623000,3677000
54,d.daniel,18580000,18632000,18657000,18678000,18734000,18750000,18845000,18932000,18994000,18998000
55,h.akugizibwe,20540000,20607000,20693000,20728000,20776000,20781000,20873000,20880000,20927000,21008000
56,i.akpan,17100000,17157000,17158000,17166000,17182000,17256000,17277000,17320000,17337000,17401000
57,t.awuah,15110000,15111000,15206000,15270000,15342000,15429000,15515000,15548000,15643000,15724000
58,m.ludwig,31340000,31433000,31533000,31602000,31644000,31648000,31678000,31699000,31773000,31783000
59,i.najjemba,24550000,24580000,24668000,24726000,24801000,24803000,24808000,24861000,24943000,24957000
60,x.nalukenge,25340000,25392000,25471000,25522000,25557000,25634000,25673000,25770000,25791000,25809000
61,s.perez,20450000,20502000,20521000,20611000,20625000,20634000,20654000,20669000,20757000,20810000
62,j.krajnc,11910000,11962000,11990000,12049000,12128000,12174000,12188000,12262000,12266000,12327000
63,g.elbaz,26200000,26272000,26363000,26421000,26515000,26595000,26627000,26673000,26703000,26779000
64,y.susanti,27640000,27682000,27706000,27801000,27865000,27925000,27929000,27971000,27984000,28032000
65,a.schmitt,26370000,26388000,26434000,26520000,26614000,26700000,26790000,26877000,26968000,27063000
66,h.gomani,34980000,35056000,35076000,35154000,35242000,35322000,35383000,35384000,35404000,35440000
67,b.mulyana,19550000,19612000,19664000,19735000,19833000,19837000,19915000,19942000,19990000,20024000
68,q.ayerango,24470000,24473000,24550000,24562000,24562000,24616000,24634000,24655000,24671000,24749000
69,k.smits,30260000,30307000,30383000,30464000,30550000,30630000,30717000,30796000,30842000,30914000
70,p.kabugo,29870000,29904000,29996000,30023000,30035000,30078000,30078000,30140000,30205000,30252000
71,d.kojima,25510000,25592000,25650000,25749000,25788000,25831000,25889000,25950000,26037000,26084000
72,a.aryemo,10690000,10750000,10780000,10791000,10804000,10809000,10834000,10837000,10849000,10900000
73,e.yeong,31520000,31536000,31622000,31718000,31718000,31748000,31805000,31886000,31960000,32026000
74,g.gustafsson,32610000,32625000,32660000,32752000,32848000,32932000,33002000,33013000,33050000,33143000
75,r.hamed,30720000,30812000,30827000,30897000,30952000,30988000,31033000,31040000,31087000,31185000
76,h.susanto,18810000,18857000,18867000,18926000,18955000,19050000,19135000,19174000,19185000,19202000
