,Player,Age,FW,MF,DF,GK
0,i.winter,27,0,0,1,0
1,p.nakubulwa,22,0,0,1,0
2,m.mahlangu,34,0,0,1,0
3,i.huber,25,0,0,1,0
4,a.kobusingye,18,0,0,1,0
5,f.kizito,19,0,0,1,0
6,j.bala,26,0,0,1,0
7,l.rezaei,29,0,0,1,0
8,j.teko,31,0,0,1,0
9,d.oren,25,1,0,0,0
10,f.lubowa,31,1,0,0,0
11,b.derosa,22,1,0,0,0
12,i.namirimu,29,1,0,0,0
13,f.dauda,33,0,0,0,1
14,s.kiconco,34,0,0,0,1
15,r.namuganza,33,0,0,0,1
16,r.chee,32,0,0,0,1
17,f.pop,24,0,1,0,0
18,d.alshehri,32,0,1,0,0
19,i.iddrisu,20,0,1,0,0
20,l.goodarzi,27,0,1,0,0
21,y.joseph,21,0,1,0,0
22,i.horvath,33,0,1,1,0
23,j.akello,29,1,1,0,0
24,i.kamukama,26,1,1,0,0
25,w.lew,23,1,1,0,0
26,m.namukwaya,31,1,1,0,0
27,u.pichler,22,1,1,0,0
28,h.tourgeman,26,1,1,0,0
29,r.petrenko,24,0,0,1,0
30,z.salisu,28,0,0,1,0
31,d.ikeda,27,0,0,1,0
32,i.ludwig,27,0,0,1,0
33,k.toth,24,0,0,1,0
34,u.ortiz,18,0,0,1,0
35,o.ilukol,30,0,0,1,0
36,d.binsalleh,27,0,0,1,0
37,g.kohler,25,1,0,1,0
38,l.wafula,22,1,0,0,0
39,k.turyahabwe,35,1,0,0,0
40,r.bintihassan,19,1,0,0,0
41,p.chew,28,1,1,0,0
42,m.hsieh,25,1,1,0,0
43,f.cho,24,1,1,0,0
44,z.marini,27,0,0,0,1
45,i.azulay,27,0,1,0,0
46,t.ansari,30,0,1,0,0
47,h.narvaez,22,0,1,0,0
48,b.kakooza,31,0,1,1,0
49,o.kia,20,0,1,1,0
50,h.engel,25,1,1,0,0
51,n.mousa,26,1,1,0,0
52,m.kamanga,28,1,1,0,0
53,q.nabimanya,20,1,1,0,0
54,d.daniel,26,0,0,1,0
55,h.akugizibwe,25,0,0,1,0
56,i.akpan,36,0,0,1,0
57,t.awuah,25,0,0,1,0
58,m.ludwig,31,0,0,1,0
59,i.najjemba,26,0,0,1,0
60,x.nalukenge,29,0,0,1,0
61,s.perez,22,1,0,0,0
62,j.krajnc,27,1,0,0,0
63,g.elbaz,23,1,0,0,0
64,y.susanti,23,1,0,0,0
