,Player,Nation,FW,MF,DF,GK,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Year
0,i.winter,Danan Seekeeling,0,0,1,0,Fanatical Outlaws,27,1991,13.05,27.62,37.28,74.07,621.05,220.72,7.74,9.3,82.06,13.61,15.91,86.1,5.97,11.05,54.14,-0.04,0.01,0.06,-0.03,1.91,0.11,0.07,2.2,A,2020
1,p.nakubulwa,Dosqaly,0,0,1,0,Fanatical Outlaws,22,1997,30.63,24.51,30.98,79.66,504.92,183.65,8.67,9.59,90.19,11.09,12.71,86.33,4.37,7.34,60.55,0.1,0.08,-0.08,0.04,1.64,-0.02,-0.08,1.12,A,2020
2,m.mahlangu,Imaar Vircoand,0,0,1,0,Fanatical Outlaws,34,1985,6.58,37.38,49.44,75.81,617.83,280.47,19.81,22.29,89.05,14.6,18.53,77.96,2.83,6.33,45.15,-0.06,0.14,-0.11,0.59,4.24,0.83,0.26,4.27,A,2020
3,i.huber,Lenia Gerdanho,0,0,1,0,Fanatical Outlaws,25,1993,10.46,45.33,56.55,80.34,725.0,288.79,25.79,28.51,90.47,14.76,18.14,81.34,3.66,6.78,54.82,0.16,0.05,0.04,0.5,2.58,0.58,0.3,3.56,A,2020
4,a.kobusingye,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,18,2000,4.97,18.23,32.9,55.35,287.78,151.01,10.96,14.19,78.38,5.55,9.99,55.07,1.71,7.59,21.54,0.1,0.03,0.08,-0.03,0.55,0.48,0.15,1.14,A,2020
5,f.kizito,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,19,2000,2.93,37.08,53.79,68.82,649.0,320.03,21.64,23.67,91.57,10.72,16.32,65.39,3.9,10.21,38.75,-0.07,0.05,-0.14,0.6,4.76,1.41,0.97,5.76,A,2020
6,j.bala,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,26,1992,24.88,31.87,44.01,72.42,514.82,217.46,16.53,19.28,86.26,11.77,16.33,72.46,2.54,5.74,44.72,0.05,0.1,0.1,0.92,1.75,1.05,0.52,2.36,A,2020
7,l.rezaei,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,29,1989,30.23,41.07,55.44,73.88,713.87,353.24,20.43,22.44,91.13,15.55,19.71,79.09,4.42,10.45,41.61,-0.1,0.14,0.0,0.85,3.75,0.77,0.42,4.09,A,2020
8,j.teko,Sobianitedrucy,0,0,1,0,Fanatical Outlaws,31,1988,31.06,24.04,30.46,78.77,531.69,169.72,6.96,7.77,89.35,12.1,14.11,85.97,4.74,8.12,58.72,-0.08,-0.05,0.0,0.13,1.37,0.09,0.03,1.09,A,2020
9,d.oren,Central Diasongo,1,0,0,0,Fanatical Outlaws,25,1994,25.28,20.62,30.39,68.05,292.58,58.7,12.34,17.36,71.64,5.92,8.8,67.93,1.32,1.97,67.21,0.12,0.02,-0.06,0.97,1.96,0.53,0.02,1.72,A,2020
10,f.lubowa,Newgan Ruland,1,0,0,0,Fanatical Outlaws,31,1988,1.29,15.81,18.35,86.45,261.72,41.79,4.96,5.73,85.8,6.66,7.52,88.89,1.65,1.61,100.09,-0.01,0.05,0.0,0.03,1.72,0.74,0.05,2.51,A,2020
11,b.derosa,People's Land of Maneau,1,0,0,0,Fanatical Outlaws,22,1996,10.14,18.38,27.11,68.06,363.12,119.17,7.84,9.17,83.99,6.87,8.72,80.79,2.98,6.77,45.53,0.42,0.29,0.23,1.39,1.11,0.91,0.29,1.71,A,2020
12,i.namirimu,Thaijagypt,1,0,0,0,Fanatical Outlaws,29,1990,19.66,16.57,25.98,64.04,261.59,66.1,9.26,11.85,78.83,4.84,7.8,62.23,1.62,3.45,47.0,0.24,0.16,-0.04,1.15,0.98,0.67,0.44,1.61,A,2020
13,f.dauda,Nganion,0,0,0,1,Fanatical Outlaws,33,1986,7.53,14.98,30.58,48.65,586.25,468.63,2.27,2.25,100.03,4.57,4.51,99.98,7.98,23.68,33.41,-0.05,0.0,0.07,-0.1,-0.02,0.05,-0.06,-0.06,A,2020
14,s.kiconco,Nkasland Cronestan,0,0,0,1,Fanatical Outlaws,34,1985,23.42,16.15,28.7,56.23,731.62,566.82,1.04,1.16,99.9,3.85,4.02,97.9,11.04,23.46,47.44,0.02,0.09,-0.05,-0.02,0.36,0.09,-0.04,0.01,A,2020
15,r.namuganza,People's Land of Maneau,0,0,0,1,Fanatical Outlaws,33,1986,4.78,11.44,25.87,44.31,595.37,502.39,0.14,0.28,100.0,2.04,2.15,99.9,9.21,23.49,38.82,-0.08,-0.03,-0.08,0.08,0.51,0.04,-0.01,0.04,A,2020
16,r.chee,Southslands,0,0,0,1,Fanatical Outlaws,32,1987,1.91,10.97,19.99,55.09,621.96,546.47,0.92,1.09,100.03,0.03,-0.03,,10.09,18.92,52.63,-0.02,-0.06,0.03,-0.09,1.57,0.1,-0.06,-0.06,A,2020
17,f.pop,Galamily,0,1,0,0,Fanatical Outlaws,24,1995,11.52,23.69,33.75,69.86,418.28,100.35,10.46,14.35,73.03,9.71,13.21,72.76,2.58,4.16,61.18,-0.02,0.03,-0.05,0.19,2.12,0.43,0.09,1.94,A,2020
18,d.alshehri,People's Land of Maneau,0,1,0,0,Fanatical Outlaws,32,1987,29.64,41.03,50.5,81.18,829.39,236.74,15.99,18.21,87.39,16.98,19.69,85.76,7.35,10.32,71.38,0.19,0.03,0.08,1.42,4.65,1.04,0.07,4.61,A,2020
19,i.iddrisu,People's Land of Maneau,0,1,0,0,Fanatical Outlaws,20,1999,37.92,38.71,45.25,86.1,790.14,198.55,14.3,15.75,91.05,17.01,18.44,91.71,6.7,9.11,72.11,0.13,0.0,-0.04,0.58,4.13,0.5,0.16,2.86,A,2020
20,l.goodarzi,People's Land of Maneau,0,1,0,0,Fanatical Outlaws,27,1992,2.46,25.34,30.33,83.58,351.28,67.97,16.23,18.35,88.58,7.55,8.73,85.67,1.26,2.16,59.9,-0.04,-0.04,-0.05,-0.09,0.77,-0.1,0.08,0.48,A,2020
21,y.joseph,People's Land of Maneau,0,1,0,0,Fanatical Outlaws,21,1998,0.35,27.41,34.92,78.64,342.47,122.51,19.96,22.51,88.94,7.59,12.41,59.97,-0.08,0.02,,-0.01,-0.01,-0.09,-0.07,-0.05,0.07,-0.09,0.04,A,2020
22,i.horvath,Western Niasland,0,1,1,0,Fanatical Outlaws,33,1986,1.37,34.65,42.29,81.8,634.63,167.65,12.24,13.86,88.88,16.82,20.76,81.47,4.53,6.82,66.74,0.03,-0.05,-0.07,-0.08,1.56,0.02,0.06,1.5,A,2020
23,j.akello,Bernepamar,1,1,0,0,Fanatical Outlaws,29,1989,10.92,30.8,38.51,79.62,505.32,125.48,17.41,19.48,89.32,8.43,10.41,80.69,3.7,6.31,58.57,0.13,0.3,-0.17,1.64,1.24,1.05,0.34,3.18,A,2020
24,i.kamukama,Lefghau,1,1,0,0,Fanatical Outlaws,26,1993,16.61,43.67,56.39,77.52,726.22,211.16,23.86,28.32,84.55,14.19,18.02,78.52,4.3,6.14,69.95,0.29,0.15,0.02,1.5,2.86,1.95,0.32,5.05,A,2020
25,w.lew,Nganion,1,1,0,0,Fanatical Outlaws,23,1996,24.0,28.21,37.24,75.79,454.91,125.52,15.63,17.61,88.29,8.43,11.38,75.33,2.94,5.18,56.53,0.23,0.14,0.14,0.65,2.09,1.16,0.34,2.74,A,2020
26,m.namukwaya,Ngoque Blicri,1,1,0,0,Fanatical Outlaws,31,1987,16.9,25.87,37.71,68.45,475.4,159.09,12.21,15.28,80.53,8.64,10.86,80.15,4.28,9.63,44.44,0.23,0.09,0.16,2.02,1.81,0.79,0.21,2.8,A,2020
27,u.pichler,Quewenia,1,1,0,0,Fanatical Outlaws,22,1997,1.59,10.07,12.08,83.28,101.29,5.26,7.91,7.92,100.05,1.42,3.31,40.09,-0.07,0.02,,0.08,0.14,-0.12,1.37,0.0,0.07,-0.01,0.05,A,2020
28,h.tourgeman,Rarita,1,1,0,0,Fanatical Outlaws,26,1993,15.22,44.13,52.13,84.5,716.33,203.62,24.25,26.88,90.1,13.4,15.48,87.65,4.37,7.19,62.42,0.18,0.14,0.01,2.03,4.23,0.95,0.18,4.78,A,2020
29,r.petrenko,Lefghau,0,0,1,0,Fighting Cougars,24,1995,7.5,38.13,51.18,74.64,629.48,277.26,18.91,22.84,82.94,16.28,20.71,78.11,2.44,5.4,43.95,-0.06,0.1,-0.05,0.4,3.41,1.08,0.47,5.14,A,2020
30,z.salisu,Nganion,0,0,1,0,Fighting Cougars,28,1991,21.11,47.74,59.47,80.27,837.84,294.54,23.44,26.45,88.15,18.81,22.42,84.32,4.84,8.0,61.1,0.01,0.01,-0.1,1.02,1.97,1.68,0.79,4.27,A,2020
31,d.ikeda,People's Land of Maneau,0,0,1,0,Fighting Cougars,27,1991,35.83,53.21,61.13,87.34,1254.69,375.23,12.51,13.86,90.79,28.89,30.12,95.78,11.41,16.36,70.03,0.1,-0.07,0.11,0.31,3.57,0.2,-0.06,2.36,A,2020
