,Player,Nation,FW,MF,DF,GK,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
0,i.winter,Danan Seekeeling,0,0,1,0,Fanatical Outlaws,27,1991,13.0,0.07,0.77,0.39,40.03,0.84,0.31,0.06,0.28,7.28,-0.1,-0.03,0.02,0.22,0.1,0.08,-0.09,-0.13,A,2020
1,p.nakubulwa,Dosqaly,0,0,1,0,Fanatical Outlaws,22,1997,30.77,0.14,0.41,0.12,40.07,0.55,0.29,0.13,0.52,7.79,-0.09,0.1,0.03,-0.04,-0.02,0.16,0.08,0.08,A,2020
2,m.mahlangu,Imaar Vircoand,0,0,1,0,Fanatical Outlaws,34,1985,6.53,0.04,0.12,0.04,-0.02,0.09,0.05,-0.05,,12.19,-0.09,0.03,0.09,0.1,0.02,0.04,0.03,-0.07,A,2020
3,i.huber,Lenia Gerdanho,0,0,1,0,Fanatical Outlaws,25,1993,10.49,-0.04,0.53,0.25,39.91,0.4,0.28,0.0,0.01,29.28,-0.02,0.08,0.0,0.09,0.04,-0.03,0.02,-0.07,A,2020
4,a.kobusingye,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,18,2000,4.93,0.03,0.16,0.11,100.06,0.25,0.3,-0.02,-0.1,24.91,0.03,-0.03,-0.06,-0.07,-0.08,0.04,0.0,-0.02,A,2020
5,f.kizito,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,19,2000,3.01,-0.07,0.41,0.02,0.04,0.27,0.04,-0.04,,28.38,0.09,0.04,-0.08,0.0,0.0,-0.06,0.06,-0.03,A,2020
6,j.bala,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,26,1992,24.99,-0.05,0.22,0.08,-0.09,0.15,0.07,-0.04,,21.7,-0.1,0.1,0.08,0.02,-0.07,0.0,-0.06,0.03,A,2020
7,l.rezaei,People's Land of Maneau,0,0,1,0,Fanatical Outlaws,29,1989,30.26,0.03,0.5,0.07,27.82,0.58,0.1,0.1,0.57,20.14,0.16,0.03,0.04,0.1,0.03,0.14,0.07,0.03,A,2020
8,j.teko,Sobianitedrucy,0,0,1,0,Fanatical Outlaws,31,1988,30.93,0.01,0.4,0.08,28.54,0.48,0.09,0.11,0.45,9.71,-0.07,0.0,0.08,-0.01,0.1,0.09,0.0,0.11,A,2020
9,d.oren,Central Diasongo,1,0,0,0,Fanatical Outlaws,25,1994,25.14,0.32,2.22,1.05,49.11,2.25,1.11,0.03,0.35,10.31,-0.1,-0.07,-0.05,0.39,0.27,0.21,-0.08,0.01,A,2020
10,f.lubowa,Newgan Ruland,1,0,0,0,Fanatical Outlaws,31,1988,1.22,0.86,2.47,1.57,66.75,2.57,1.71,0.41,0.43,16.46,0.9,-0.05,-0.09,0.68,0.72,0.29,0.13,0.14,A,2020
11,b.derosa,People's Land of Maneau,1,0,0,0,Fanatical Outlaws,22,1996,10.1,0.19,2.38,0.74,29.18,2.31,0.78,0.1,0.19,17.86,-0.07,0.08,-0.03,0.16,0.14,0.1,-0.15,-0.02,A,2020
12,i.namirimu,Thaijagypt,1,0,0,0,Fanatical Outlaws,29,1990,19.63,0.47,3.34,1.6,44.81,3.44,1.5,0.21,0.32,13.34,-0.06,0.1,-0.03,0.53,0.61,0.07,-0.09,-0.15,A,2020
