,Player Name,League,Squad,Country,Position,Annualized Salary
0,i.winter,A,Fanatical Outlaws,Danan Seekeeling,DF,25480000
1,p.nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,9950000
2,m.mahlangu,A,Fanatical Outlaws,Imaar Vircoand,DF,26500000
3,i.huber,A,Fanatical Outlaws,Lenia Gerdanho,DF,25530000
4,a.kobusingye,A,Fanatical Outlaws,People's Land of Maneau,DF,9510000
5,f.kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,18120000
6,j.bala,A,Fanatical Outlaws,People's Land of Maneau,DF,22520000
7,l.rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,25710000
8,j.teko,A,Fanatical Outlaws,Sobianitedrucy,DF,7640000
9,d.oren,A,Fanatical Outlaws,Central Diasongo,FW,29330000
10,f.lubowa,A,Fanatical Outlaws,Newgan Ruland,FW,21810000
11,b.derosa,A,Fanatical Outlaws,People's Land of Maneau,FW,25600000
12,i.namirimu,A,Fanatical Outlaws,Thaijagypt,FW,25250000
13,f.dauda,A,Fanatical Outlaws,Nganion,GK,18470000
14,s.kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,16720000
15,r.namuganza,A,Fanatical Outlaws,People's Land of Maneau,GK,17850000
16,r.chee,A,Fanatical Outlaws,Southslands,GK,4940000
17,f.pop,A,Fanatical Outlaws,Galamily,MF,31300000
18,d.alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,20200000
19,i.iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,16220000
20,l.goodarzi,A,Fanatical Outlaws,People's Land of Maneau,MF,11440000
21,y.joseph,A,Fanatical Outlaws,People's Land of Maneau,MF,12880000
22,i.horvath,A,Fanatical Outlaws,Western Niasland,MFDF,11780000
23,j.akello,A,Fanatical Outlaws,Bernepamar,MFFW,27820000
24,i.kamukama,A,Fanatical Outlaws,Lefghau,MFFW,31460000
25,w.lew,A,Fanatical Outlaws,Nganion,MFFW,22810000
26,m.namukwaya,A,Fanatical Outlaws,Ngoque Blicri,MFFW,25650000
27,u.pichler,A,Fanatical Outlaws,Quewenia,MFFW,17900000
28,h.tourgeman,A,Fanatical Outlaws,Rarita,MFFW,29240000
29,r.petrenko,A,Fighting Cougars,Lefghau,DF,17170000
30,z.salisu,A,Fighting Cougars,Nganion,DF,19570000
31,d.ikeda,A,Fighting Cougars,People's Land of Maneau,DF,16490000
32,i.ludwig,A,Fighting Cougars,People's Land of Maneau,DF,26490000
33,k.toth,A,Fighting Cougars,People's Land of Maneau,DF,24130000
34,u.ortiz,A,Fighting Cougars,People's Land of Maneau,DF,14590000
35,o.ilukol,A,Fighting Cougars,Sobianitedrucy,DF,15190000
36,d.binsalleh,A,Fighting Cougars,Southslands,DF,15510000
37,g.kohler,A,Fighting Cougars,People's Land of Maneau,DFFW,23300000
38,l.wafula,A,Fighting Cougars,Dosqaly,FW,24580000
39,k.turyahabwe,A,Fighting Cougars,People's Land of Maneau,FW,16220000
40,r.bintihassan,A,Fighting Cougars,Southslands,FW,18370000
41,p.chew,A,Fighting Cougars,Esia,FWMF,28460000
42,m.hsieh,A,Fighting Cougars,Lonnia Haba,FWMF,17470000
43,f.cho,A,Fighting Cougars,Southern Ristan,FWMF,29960000
44,z.marini,A,Fighting Cougars,Central Republic of Boekrainego,GK,22680000
45,i.azulay,A,Fighting Cougars,Byasier Pujan,MF,19590000
46,t.ansari,A,Fighting Cougars,People's Land of Maneau,MF,16790000
47,h.narvaez,A,Fighting Cougars,Reugha,MF,17280000
48,b.kakooza,A,Fighting Cougars,Central Namemo Laand,MFDF,17300000
49,o.kia,A,Fighting Cougars,Western Niasland,MFDF,23450000
50,h.engel,A,Fighting Cougars,Byasier Pujan,MFFW,22680000
51,n.mousa,A,Fighting Cougars,Cabral Retrea,MFFW,26300000
52,m.kamanga,A,Fighting Cougars,Central Republic of Boekrainego,MFFW,20920000
53,q.nabimanya,A,Fighting Cougars,Imaar Vircoand,MFFW,10660000
54,d.daniel,A,Great Galactic Gorgons,People's Land of Maneau,DF,12700000
55,h.akugizibwe,A,Great Galactic Gorgons,People's Land of Maneau,DF,16890000
56,i.akpan,A,Great Galactic Gorgons,People's Land of Maneau,DF,20240000
57,t.awuah,A,Great Galactic Gorgons,People's Land of Maneau,DF,16530000
58,m.ludwig,A,Great Galactic Gorgons,Rarita,DF,11830000
59,i.najjemba,A,Great Galactic Gorgons,Southslands,DF,24200000
60,x.nalukenge,A,Great Galactic Gorgons,Southslands,DF,24720000
61,s.perez,A,Great Galactic Gorgons,Byasier Pujan,FW,18000000
62,j.krajnc,A,Great Galactic Gorgons,Djipines,FW,10780000
63,g.elbaz,A,Great Galactic Gorgons,Dosqaly,FW,28350000
64,y.susanti,A,Great Galactic Gorgons,Ngoque Blicri,FW,26340000
65,a.schmitt,A,Great Galactic Gorgons,People's Land of Maneau,FW,26120000
66,h.gomani,A,Great Galactic Gorgons,Southslands,FW,27240000
67,b.mulyana,A,Great Galactic Gorgons,People's Land of Maneau,FWMF,26140000
68,q.ayerango,A,Great Galactic Gorgons,Southslands,FWMF,25300000
69,k.smits,A,Great Galactic Gorgons,People's Land of Maneau,GK,6400000
70,p.kabugo,A,Great Galactic Gorgons,People's Land of Maneau,GK,21600000
71,d.kojima,A,Great Galactic Gorgons,Highhlaands,MF,29050000
72,a.aryemo,A,Great Galactic Gorgons,Ngoque Blicri,MF,32020000
73,e.yeong,A,Great Galactic Gorgons,People's Land of Maneau,MF,12870000
74,g.gustafsson,A,Great Galactic Gorgons,People's Land of Maneau,MF,29520000
75,r.hamed,A,Great Galactic Gorgons,People's Land of Maneau,MF,90000
76,h.susanto,A,Great Galactic Gorgons,Redohrainbri,MF,17370000
77,g.lukyamuzi,A,Great Galactic Gorgons,Thaijagypt,MF,16910000
78,o.mugide,A,Great Galactic Gorgons,Unicorporated Tiagascar,MF,16260000
79,f.nakazibwe,A,Great Galactic Gorgons,People's Land of Maneau,MFDF,19340000
80,z.okon,A,Green Fleet,Byasier Pujan,DF,23090000
81,g.nimusiima,A,Green Fleet,Central Diasongo,DF,3040000
82,c.ahmad,A,Green Fleet,Imaar Vircoand,DF,18190000
83,c.muyama,A,Green Fleet,People's Land of Maneau,DF,18830000
84,g.hernandez,A,Green Fleet,People's Land of Maneau,DF,13890000
85,i.donati,A,Green Fleet,People's Land of Maneau,DF,23030000
86,l.mugumya,A,Green Fleet,People's Land of Maneau,DF,12800000
87,r.ishii,A,Green Fleet,People's Land of Maneau,DF,15410000
88,u.wright,A,Green Fleet,People's Land of Maneau,DF,20870000
89,z.agyei,A,Green Fleet,People's Land of Maneau,DF,13920000
90,q.sarfo,A,Green Fleet,Xikong,DF,3180000
91,k.nalwanga,A,Green Fleet,Rarita,DFMF,23920000
92,i.koomson,A,Green Fleet,Djipines,FW,19330000
93,l.obote,A,Green Fleet,Dosqaly,FW,30190000
94,t.ichikawa,A,Green Fleet,People's Land of Maneau,FW,29120000
95,z.nabaweesi,A,Green Fleet,People's Land of Maneau,FW,26810000
96,n.gheorghe,A,Green Fleet,Republic of Denand Landsa,FW,26930000
97,q.scott,A,Green Fleet,Byasier Pujan,FWDF,24180000
98,g.mwebaze,A,Green Fleet,Nganion,GK,17220000
99,j.rukundo,A,Green Fleet,Dosqaly,MF,29710000
100,c.ji,A,Green Fleet,Greri Landmoslands,MF,30660000
101,q.nabutono,A,Green Fleet,Lefghau,MF,18150000
102,p.bauri,A,Green Fleet,Ngoque Blicri,MF,33690000
103,h.kamugisha,A,Green Fleet,People's Land of Maneau,MF,600000
104,u.garcia,A,Green Fleet,People's Land of Maneau,MF,19510000
105,a.miura,A,Green Fleet,Rosvi,MF,14710000
106,s.avraham,A,Green Fleet,Nganion,MFFW,25530000
