,Player,Nation,FW,MF,DF,GK,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
0,b.schneider,Bernepamar,0,0,1,0,26,1995,3.02,-0.06,-0.02,0.02,,0.1,-0.05,,,,0.08,-0.09,Tournament,2020,,,,,,
1,g.adilovi,Bernepamar,0,0,1,0,19,2002,2.92,-0.09,0.08,0.06,,0.0,-0.09,,,,0.08,0.03,Tournament,2020,,,,,,
2,j.mizrahi,Bernepamar,0,0,1,0,22,1999,1.95,0.04,0.55,0.02,-0.04,0.55,-0.04,0.07,,,-0.09,0.0,Tournament,2020,,,,,,
3,l.ayugi,Bernepamar,0,0,1,0,29,1992,1.96,0.02,0.02,-0.05,,0.06,0.03,,,,0.05,0.1,Tournament,2020,,,,,,
4,n.salleh,Bernepamar,0,0,1,0,24,1997,2.26,-0.07,0.37,0.48,100.07,0.41,0.47,-0.02,0.1,,-0.01,-0.04,Tournament,2020,,,,,,
5,p.kusemererwa,Bernepamar,0,0,1,0,24,1997,1.95,0.01,0.42,0.46,99.99,0.57,0.5,0.01,-0.1,,-0.1,0.05,Tournament,2020,,,,,,
6,s.rahimi,Bernepamar,0,0,1,0,22,1999,0.96,0.09,0.08,0.06,,0.09,-0.05,,,,-0.05,0.02,Tournament,2020,,,,,,
7,x.krawczyk,Bernepamar,0,0,1,0,25,1996,3.05,-0.07,0.01,0.07,,-0.07,-0.06,,,,-0.07,0.1,Tournament,2020,,,,,,
8,y.salihovi,Bernepamar,0,0,1,0,30,1991,1.94,-0.06,0.57,0.08,0.02,0.49,-0.09,-0.09,,,-0.05,0.0,Tournament,2020,,,,,,
9,c.tembe,Bernepamar,1,0,0,0,34,1987,1.29,0.0,1.59,0.83,49.92,1.69,0.79,0.02,-0.08,,0.08,0.01,Tournament,2020,,,,,,
10,e.twinamatsiko,Bernepamar,1,0,0,0,25,1996,1.72,0.01,0.62,-0.06,0.06,0.54,-0.02,0.05,,,0.08,0.04,Tournament,2020,,,,,,
11,j.otto,Bernepamar,1,0,0,0,33,1988,1.74,0.01,1.16,0.58,49.93,1.08,0.63,0.01,-0.05,,-0.02,0.08,Tournament,2020,,,,,,
12,r.velasquez,Bernepamar,1,0,0,0,23,1997,1.45,0.77,1.46,1.48,100.0,1.34,1.39,0.45,0.46,,0.01,-0.04,Tournament,2020,,,,,,
13,e.binabdulrahman,Bernepamar,0,0,0,1,27,1994,1.97,0.08,-0.05,-0.09,,0.1,0.02,,,,-0.01,0.08,Tournament,2020,,,,,,
14,f.yokoyama,Bernepamar,0,0,0,1,37,1984,3.06,-0.01,0.02,-0.08,,0.03,-0.07,,,,-0.07,0.0,Tournament,2020,,,,,,
15,c.mukiibi,Bernepamar,0,1,0,0,25,1996,1.26,-0.08,-0.07,0.06,,-0.1,-0.05,,,,0.03,-0.02,Tournament,2020,,,,,,
16,h.sinaga,Bernepamar,0,1,0,0,24,1996,2.98,0.32,1.01,0.36,33.31,1.06,0.29,0.26,1.02,,0.04,0.09,Tournament,2020,,,,,,
17,j.almeida,Bernepamar,0,1,0,0,26,1995,0.75,-0.07,0.09,-0.02,,0.01,-0.02,,,,-0.06,0.05,Tournament,2020,,,,,,
18,k.mayanja,Bernepamar,0,1,0,0,28,1993,3.95,0.34,1.95,0.32,12.41,2.09,0.33,0.08,0.08,,0.16,0.2,Tournament,2020,,,,,,
19,n.kabagambe,Bernepamar,0,1,0,0,32,1989,1.72,-0.04,0.58,0.0,-0.05,0.62,-0.06,0.0,,,-0.02,0.02,Tournament,2020,,,,,,
20,t.alzahrani,Bernepamar,0,1,0,0,23,1998,1.15,0.0,0.88,-0.02,0.03,0.77,0.01,0.01,,,0.03,-0.09,Tournament,2020,,,,,,
21,u.lai,Bernepamar,0,1,0,0,30,1991,1.37,-0.02,-0.1,0.03,,-0.04,0.0,,,,0.09,0.02,Tournament,2020,,,,,,
22,u.vogt,Bernepamar,0,1,0,0,32,1989,0.66,0.07,1.57,0.04,-0.02,1.67,-0.02,0.0,,,0.07,-0.1,Tournament,2020,,,,,,
23,z.janssen,Bernepamar,0,1,0,0,30,1991,1.87,-0.07,-0.05,-0.06,,0.05,0.02,,,,0.0,0.07,Tournament,2020,,,,,,
24,d.lal,Bernepamar,1,1,0,0,25,1995,4.24,0.33,1.37,0.5,33.2,1.47,0.43,0.22,0.6,,-0.06,0.09,Tournament,2020,,,,,,
25,j.akello,Bernepamar,1,1,0,0,32,1989,3.55,0.29,1.45,0.64,40.09,1.3,0.49,0.23,0.46,,0.02,0.06,Tournament,2020,,,,,,
26,b.odoch,Bernoullist,0,0,1,0,29,1992,2.91,0.02,0.71,0.08,-0.05,0.58,-0.1,0.01,,,-0.04,-0.09,Tournament,2020,,,,,,
27,c.mulyadi,Bernoullist,0,0,1,0,35,1986,2.57,0.09,0.3,-0.05,0.09,0.34,-0.1,0.04,,,0.07,-0.08,Tournament,2020,,,,,,
28,i.hen,Bernoullist,0,0,1,0,34,1987,3.83,-0.07,0.79,0.02,-0.02,0.69,0.03,-0.09,,,0.09,0.06,Tournament,2020,,,,,,
29,t.lowe,Bernoullist,0,0,1,0,24,1997,0.92,0.0,0.05,-0.07,,-0.06,0.01,,,,0.08,0.05,Tournament,2020,,,,,,
30,v.aliyu,Bernoullist,0,0,1,0,24,1997,0.49,-0.04,0.07,-0.02,,-0.04,-0.06,,,,0.05,0.09,Tournament,2020,,,,,,
31,d.kiwanuka,Bernoullist,0,1,1,0,27,1994,2.83,-0.03,0.36,0.02,0.0,0.27,0.07,0.09,,,-0.08,0.03,Tournament,2020,,,,,,
32,k.nayebare,Bernoullist,0,1,1,0,34,1987,3.04,0.0,0.95,0.41,33.36,1.06,0.36,0.01,0.05,,0.06,-0.08,Tournament,2020,,,,,,
33,f.amono,Bernoullist,1,0,0,0,32,1989,1.24,0.08,-0.05,-0.09,,-0.01,-0.09,,,,0.02,-0.09,Tournament,2020,,,,,,
34,f.binabdullah,Bernoullist,1,0,0,0,21,2000,3.04,-0.04,2.06,0.7,33.21,1.96,0.73,0.01,0.1,,0.04,-0.05,Tournament,2020,,,,,,
35,n.winiewski,Bernoullist,1,0,0,0,24,1997,3.71,0.08,2.8,0.58,19.9,2.65,0.54,0.09,0.0,,0.1,0.04,Tournament,2020,,,,,,
36,v.molina,Bernoullist,1,0,0,0,26,1995,1.0,-0.09,2.01,1.08,49.9,2.03,0.93,-0.03,0.06,,0.1,0.02,Tournament,2020,,,,,,
37,o.ooi,Bernoullist,0,0,0,1,24,1997,0.95,0.02,-0.01,-0.01,,-0.02,-0.03,,,,-0.03,0.06,Tournament,2020,,,,,,
38,r.ting,Bernoullist,0,0,0,1,26,1995,3.06,0.1,-0.01,0.1,,-0.08,-0.01,,,,0.03,0.06,Tournament,2020,,,,,,
39,b.twinamasiko,Bernoullist,0,1,0,0,24,1997,0.67,-0.05,0.05,-0.07,,0.1,-0.02,,,,0.05,-0.1,Tournament,2020,,,,,,
40,c.abdulaziz,Bernoullist,0,1,0,0,35,1986,2.27,-0.09,0.94,0.1,-0.04,0.93,0.02,0.08,,,0.04,0.01,Tournament,2020,,,,,,
41,d.weber,Bernoullist,0,1,0,0,30,1991,2.97,0.02,0.41,0.0,-0.01,0.28,0.07,0.04,,,0.0,0.1,Tournament,2020,,,,,,
42,h.kyogabirwe,Bernoullist,0,1,0,0,29,1992,0.5,0.05,0.07,-0.1,,0.04,-0.02,,,,0.03,-0.09,Tournament,2020,,,,,,
43,k.asamoah,Bernoullist,0,1,0,0,24,1997,2.37,-0.06,-0.05,0.1,,-0.1,-0.07,,,,0.08,-0.08,Tournament,2020,,,,,,
44,l.muzaki,Bernoullist,0,1,0,0,27,1994,1.57,0.07,1.26,0.08,0.05,1.26,0.02,-0.1,,,0.0,-0.06,Tournament,2020,,,,,,
45,q.kutosi,Bernoullist,0,1,0,0,25,1996,1.94,0.06,0.6,0.57,99.98,0.48,0.48,0.01,0.06,,0.05,0.08,Tournament,2020,,,,,,
46,z.nabukwasi,Bernoullist,0,1,0,0,23,1998,1.41,-0.06,0.09,0.1,,-0.08,0.02,,,,0.03,-0.05,Tournament,2020,,,,,,
47,c.carvalho,Byasier Pujan,0,0,1,0,26,1995,2.9,-0.06,0.61,0.05,0.08,0.68,0.01,0.03,,,-0.03,-0.05,Tournament,2020,,,,,,
48,d.iskandar,Byasier Pujan,0,0,1,0,31,1990,0.86,-0.07,2.21,-0.06,0.02,2.16,0.05,-0.08,,,0.06,-0.1,Tournament,2020,,,,,,
49,i.gumede,Byasier Pujan,0,0,1,0,29,1992,4.08,-0.08,0.66,-0.04,-0.08,0.67,0.07,0.03,,,0.02,0.06,Tournament,2020,,,,,,
50,l.yusof,Byasier Pujan,0,0,1,0,27,1994,3.85,0.03,0.3,0.0,-0.09,0.31,0.04,0.06,,,0.07,-0.07,Tournament,2020,,,,,,
51,q.hor,Byasier Pujan,0,0,1,0,29,1992,2.16,-0.05,-0.09,0.06,,-0.08,-0.01,,,,-0.07,-0.03,Tournament,2020,,,,,,
52,v.bila,Byasier Pujan,0,0,1,0,25,1996,2.13,-0.09,-0.04,0.0,,0.0,-0.02,,,,0.0,-0.02,Tournament,2020,,,,,,
53,v.garcia,Byasier Pujan,0,0,1,0,30,1991,4.08,0.1,0.43,0.18,50.05,0.47,0.3,0.06,-0.02,,-0.08,-0.1,Tournament,2020,,,,,,
54,z.nalunga,Byasier Pujan,0,0,1,0,21,1999,1.19,-0.06,0.86,0.83,100.01,0.95,0.94,-0.06,0.08,,-0.07,-0.09,Tournament,2020,,,,,,
55,o.oh,Byasier Pujan,0,1,1,0,31,1990,3.71,0.04,1.0,0.3,24.99,1.0,0.22,-0.01,0.08,,-0.03,0.09,Tournament,2020,,,,,,
56,l.kyalisiima,Byasier Pujan,1,0,0,0,24,1997,1.18,0.8,2.47,0.74,33.31,2.53,0.83,0.24,1.06,,0.09,0.04,Tournament,2020,,,,,,
57,l.mhango,Byasier Pujan,1,0,0,0,29,1991,1.33,-0.02,7.87,2.9,36.48,7.71,2.72,0.06,-0.1,,0.02,0.07,Tournament,2020,,,,,,
58,s.amulen,Byasier Pujan,1,0,0,0,22,1999,1.89,0.03,1.11,0.07,-0.03,1.22,0.0,-0.1,,,-0.07,0.0,Tournament,2020,,,,,,
59,u.yong,Byasier Pujan,1,0,0,0,31,1990,3.26,-0.04,2.53,0.98,37.58,2.55,1.03,-0.07,-0.04,,0.03,0.0,Tournament,2020,,,,,,
