Rk,Player,market value,id,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Pape Abou Cisse,8bc373ea,6000000,sn SEN,DF,gr Olympiacos,24,1995,5.0,190,260,73.1,4402,1595,46,53,86.8,88,103,85.4,50,90,55.6,0,0.1,-0.1,1,8,0,0,11
Tammy Abraham,f586779e,38000000,eng ENG,FW,eng Chelsea,22,1997,2.6,40,48,83.3,508,81,23,29,79.3,12,13,92.3,1,1,100.0,1,0.1,+0.9,1,2,1,1,2
Francesco Acerbi,b96b595c,10000000,it ITA,DF,it Lazio,32,1988,8.0,394,469,84.0,7978,2835,149,160,93.1,170,194,87.6,66,99,66.7,1,1.1,-0.1,9,14,10,5,22
Marcos Acuña,81442ecb,15000000,ar ARG,DF,es Sevilla,28,1991,3.6,242,298,81.2,4674,1788,86,92,93.5,128,135,94.8,27,64,42.2,1,1.0,0.0,11,27,7,7,19
Tyler Adams,2b09d998,20000000,us USA,DFMF,de RB Leipzig,21,1999,3.2,139,172,80.8,2135,819,80,87,92.0,47,59,79.7,9,19,47.4,0,0.8,-0.8,3,8,2,1,7
Karim Adeyemi,501055d8,10000000,de GER,FW,at RB Salzburg,18,2002,0.6,5,7,71.4,98,35,3,4,75.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1
Adrián,f76e6b4e,1000000,es ESP,GK,eng Liverpool,33,1987,1.0,22,35,62.9,773,531,5,6,83.3,2,2,100.0,13,25,52.0,0,0.0,0.0,0,1,0,0,0
Nayef Aguerd,288e1e13,8000000,ma MAR,DF,fr Rennes,24,1996,3.1,178,200,89.0,3864,1381,61,66,92.4,81,86,94.2,35,46,76.1,0,0.0,0.0,0,9,0,0,5
Sergio Agüero,4d034881,18000000,ar ARG,FW,eng Manchester City,32,1988,1.7,17,24,70.8,166,56,13,17,76.5,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,0
Manuel Akanji,89ac64a6,30000000,ch SUI,DF,de Dortmund,25,1995,7.0,520,563,92.4,10486,3246,183,193,94.8,255,266,95.9,76,95,80.0,0,0.1,-0.1,3,48,1,0,25
Marley Aké,414e1f69,2500000,fr FRA,FWMF,fr Marseille,19,2001,0.4,12,14,85.7,196,24,6,7,85.7,4,5,80.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0
Nathan Aké,eaeca114,32000000,nl NED,DF,eng Manchester City,25,1995,2.0,125,138,90.6,2189,667,55,58,94.8,62,67,92.5,7,10,70.0,1,0.0,+1.0,0,4,1,0,7
Jean-Daniel Akpa-Akpro,fdf4b948,3500000,ci CIV,MF,it Lazio,27,1992,3.2,76,95,80.0,1267,252,41,48,85.4,24,31,77.4,7,10,70.0,0,0.0,0.0,0,7,0,0,7
David Alaba,05439de2,55000000,at AUT,DFMF,de Bayern Munich,28,1992,9.0,620,701,88.4,13068,3540,184,193,95.3,338,366,92.3,94,129,72.9,1,0.8,+0.2,8,57,9,2,48
Jordi Alba,4601e194,20000000,es ESP,DF,es Barcelona,31,1989,5.4,460,522,88.1,7145,2471,273,293,93.2,157,178,88.2,27,42,64.3,2,1.7,+0.3,13,31,18,4,52
Luis Alberto,5294a83f,45000000,es ESP,MF,it Lazio,27,1992,5.3,274,348,78.7,4784,1926,128,144,88.9,113,136,83.1,29,57,50.9,1,2.1,-1.1,13,35,13,1,50
Thiago Alcántara,77e84962,30000000,es ESP,MF,eng Liverpool,29,1991,2.5,154,176,87.5,3072,920,57,61,93.4,69,81,85.2,27,31,87.1,0,0.2,-0.2,2,22,4,0,29
Danijel Aleksić,d68cb24c,2500000,rs SRB,MF,tr Başakşehir,29,1991,1.2,42,52,80.8,794,195,13,17,76.5,26,27,96.3,3,5,60.0,0,0.0,0.0,0,0,0,0,1
Carles Aleñá,6c811eb7,15000000,es ESP,MF,es Barcelona,22,1998,1.4,152,159,95.6,2490,591,72,74,97.3,71,75,94.7,8,8,100.0,0,0.1,-0.1,3,20,3,0,12
