Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Pape Abou Cisse\8bc373ea,sn SEN,DF,gr Olympiacos,24,1995,5.0,0,5,0,0.0,1.00,0.00,0.00,,20.5,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
2,Tammy Abraham\f586779e,eng ENG,FW,eng Chelsea,22,1997,2.6,1,6,2,33.3,2.35,0.78,0.17,0.50,11.3,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
3,Francesco Acerbi\b96b595c,it ITA,DF,it Lazio,32,1988,8.0,0,5,1,20.0,0.62,0.12,0.00,0.00,11.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
4,Marcos Acuña\81442ecb,ar ARG,DF,es Sevilla,28,1991,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Tyler Adams\2b09d998,us USA,DFMF,de RB Leipzig,21,1999,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Karim Adeyemi\501055d8,de GER,FW,at RB Salzburg,18,2002,0.6,1,2,1,50.0,3.46,1.73,0.50,1.00,15.9,0,0,0,0.6,0.6,0.28,+0.4,+0.4,Matches
7,Adrián\f76e6b4e,es ESP,GK,eng Liverpool,33,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Nayef Aguerd\288e1e13,ma MAR,DF,fr Rennes,24,1996,3.1,0,3,0,0.0,0.98,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
9,Sergio Agüero\4d034881,ar ARG,FW,eng Manchester City,32,1988,1.7,2,1,1,100.0,0.59,0.59,1.00,1.00,15.0,0,1,1,1.4,0.7,0.66,+0.6,+0.3,Matches
10,Manuel Akanji\89ac64a6,ch SUI,DF,de Dortmund,25,1995,7.0,0,3,2,66.7,0.43,0.29,0.00,0.00,16.1,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
11,Marley Aké\414e1f69,fr FRA,FWMF,fr Marseille,19,2001,0.4,0,1,0,0.0,2.31,0.00,0.00,,4.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
12,Nathan Aké\eaeca114,nl NED,DF,eng Manchester City,25,1995,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
13,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,it Lazio,27,1992,3.2,1,3,1,33.3,0.93,0.31,0.33,1.00,13.8,0,0,0,0.4,0.4,0.13,+0.6,+0.6,Matches
14,David Alaba\05439de2,at AUT,DFMF,de Bayern Munich,28,1992,9.0,0,10,3,30.0,1.11,0.33,0.00,0.00,19.9,2,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
15,Jordi Alba\4601e194,es ESP,DF,es Barcelona,31,1989,5.4,0,1,0,0.0,0.19,0.00,0.00,,14.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
16,Luis Alberto\5294a83f,es ESP,MF,it Lazio,27,1992,5.3,0,6,4,66.7,1.14,0.76,0.00,0.00,19.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
17,Thiago Alcántara\77e84962,es ESP,MF,eng Liverpool,29,1991,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,21.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
18,Danijel Aleksić\d68cb24c,rs SRB,MF,tr Başakşehir,29,1991,1.2,0,4,2,50.0,3.33,1.67,0.00,0.00,22.4,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
