,Player,Age,90s,mv,DF,FW,GK,MF,Play MP,Play Starts,Play Min,Perf GA,Perf GA90,Perf SoTA,Perf Saves,Perf Save%,W,D,L,Perf CS,Perf CS%,Perf PKatt,Pena PKA,Pena PKsv,Pena PKm,Pena Save%
0,f76e6b4e,33,1.0,1000000,0,0,1,0,1,1,90,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
1,7a2e46a8,27,7.0,60000000,0,0,1,0,7,7,630,0.71,0.71,3.29,2.57,78.3,0.57,0.14,0.29,0.71,71.4,0.0,0.0,0.0,0.0,
2,63e905bc,31,2.0,200000,0,0,1,0,2,2,180,2.0,2.0,2.5,1.0,40.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
3,28d596a0,25,1.0,13000000,0,0,1,0,1,1,90,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,f6798fc3,29,5.0,18000000,0,0,1,0,5,5,450,1.2,1.2,4.0,3.2,80.0,0.4,0.4,0.2,0.4,40.0,0.6,0.4,0.2,0.0,6.66
5,1e064bfb,32,1.0,1000000,0,0,1,0,1,1,90,2.0,2.0,4.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,e40d028b,42,1.0,1000000,0,0,1,0,1,1,90,0.0,0.0,7.0,7.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
7,9d12e142,29,4.0,4000000,0,0,1,0,4,4,360,0.25,0.25,2.25,2.25,100.0,0.75,0.25,0.0,0.75,75.0,0.25,0.25,0.0,0.0,0.0
8,eb2b33aa,26,4.0,5000000,0,0,1,0,4,4,360,2.25,2.25,5.25,3.25,61.9,0.25,0.0,0.75,0.25,25.0,0.25,0.25,0.0,0.0,0.0
9,93fffbcf,20,1.0,6000000,0,0,1,0,1,1,90,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
10,1840e36d,28,12.0,60000000,0,0,1,0,12,12,1080,1.17,1.17,3.25,2.17,64.1,0.5,0.25,0.25,0.33,33.3,0.0,0.0,0.0,0.0,
11,4030c7ae,29,6.0,2500000,0,0,1,0,6,6,540,2.83,2.83,5.5,3.33,57.6,0.0,0.17,0.83,0.0,0.0,0.5,0.5,0.0,0.0,0.0
12,3bb7b8b4,26,12.0,50000000,0,0,1,0,12,12,1080,0.42,0.42,1.83,1.33,77.3,0.83,0.08,0.08,0.58,58.3,0.0,0.0,0.0,0.0,
13,7ba6d84e,29,5.0,18000000,0,0,1,0,5,5,450,1.6,1.6,4.0,2.6,60.0,0.6,0.0,0.4,0.2,20.0,0.0,0.0,0.0,0.0,
14,f0f7f62f,25,3.0,17000000,0,0,1,0,3,3,270,0.33,0.33,2.0,1.67,83.3,0.67,0.0,0.33,0.67,66.7,0.0,0.0,0.0,0.0,
15,cecbce23,26,4.0,7000000,0,0,1,0,4,4,360,1.75,1.75,4.25,3.0,70.6,0.0,0.25,0.75,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16,8b3d765f,34,2.0,350000,0,0,1,0,2,2,180,1.5,1.5,6.0,5.0,83.3,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0
17,bcb2ccd8,30,8.0,13000000,0,0,1,0,8,8,720,2.0,2.0,4.12,2.62,60.6,0.5,0.0,0.5,0.12,12.5,0.5,0.38,0.12,0.0,3.12
18,b583aef5,31,6.0,2400000,0,0,1,0,6,6,540,3.0,3.0,5.83,3.17,54.3,0.17,0.0,0.83,0.0,0.0,0.33,0.33,0.0,0.0,0.0
19,74419746,36,6.0,2500000,0,0,1,0,6,6,540,1.5,1.5,3.5,2.5,66.7,0.17,0.5,0.33,0.33,33.3,0.33,0.33,0.0,0.0,0.0
20,a3b952f8,35,4.0,250000,0,0,1,0,4,4,360,2.25,2.25,7.5,5.0,70.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
