,Player,Age,90s,mv,DF,FW,GK,MF,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,8bc373ea,24,5.0,6000000,1,0,0,0,38.0,52.0,73.1,880.4,319.0,9.2,10.6,86.8,17.6,20.6,85.4,10.0,18.0,55.6,0.0,0.02,-0.02,0.2,1.6,0.0,0.0,2.2
1,f586779e,22,2.6,38000000,0,1,0,0,15.38,18.46,83.3,195.38,31.15,8.85,11.15,79.3,4.62,5.0,92.3,0.38,0.38,100.0,0.38,0.04,0.35,0.38,0.77,0.38,0.38,0.77
2,b96b595c,32,8.0,10000000,1,0,0,0,49.25,58.62,84.0,997.25,354.38,18.62,20.0,93.1,21.25,24.25,87.6,8.25,12.38,66.7,0.12,0.14,-0.01,1.12,1.75,1.25,0.62,2.75
3,81442ecb,28,3.6,15000000,1,0,0,0,67.22,82.78,81.2,1298.33,496.67,23.89,25.56,93.5,35.56,37.5,94.8,7.5,17.78,42.2,0.28,0.28,0.0,3.06,7.5,1.94,1.94,5.28
4,2b09d998,21,3.2,20000000,1,0,0,1,43.44,53.75,80.8,667.19,255.94,25.0,27.19,92.0,14.69,18.44,79.7,2.81,5.94,47.4,0.0,0.25,-0.25,0.94,2.5,0.62,0.31,2.19
5,501055d8,18,0.6,10000000,0,1,0,0,8.33,11.67,71.4,163.33,58.33,5.0,6.67,75.0,1.67,1.67,100.0,1.67,3.33,50.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.67
6,f76e6b4e,33,1.0,1000000,0,0,1,0,22.0,35.0,62.9,773.0,531.0,5.0,6.0,83.3,2.0,2.0,100.0,13.0,25.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,288e1e13,24,3.1,8000000,1,0,0,0,57.42,64.52,89.0,1246.45,445.48,19.68,21.29,92.4,26.13,27.74,94.2,11.29,14.84,76.1,0.0,0.0,0.0,0.0,2.9,0.0,0.0,1.61
8,4d034881,32,1.7,18000000,0,1,0,0,10.0,14.12,70.8,97.65,32.94,7.65,10.0,76.5,1.18,2.35,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0
9,89ac64a6,25,7.0,30000000,1,0,0,0,74.29,80.43,92.4,1498.0,463.71,26.14,27.57,94.8,36.43,38.0,95.9,10.86,13.57,80.0,0.0,0.01,-0.01,0.43,6.86,0.14,0.0,3.57
10,414e1f69,19,0.4,2500000,0,1,0,1,30.0,35.0,85.7,490.0,60.0,15.0,17.5,85.7,10.0,12.5,80.0,2.5,2.5,100.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0
11,eaeca114,25,2.0,32000000,1,0,0,0,62.5,69.0,90.6,1094.5,333.5,27.5,29.0,94.8,31.0,33.5,92.5,3.5,5.0,70.0,0.5,0.0,0.5,0.0,2.0,0.5,0.0,3.5
12,fdf4b948,27,3.2,3500000,0,0,0,1,23.75,29.69,80.0,395.94,78.75,12.81,15.0,85.4,7.5,9.69,77.4,2.19,3.12,70.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,2.19
13,05439de2,28,9.0,55000000,1,0,0,1,68.89,77.89,88.4,1452.0,393.33,20.44,21.44,95.3,37.56,40.67,92.3,10.44,14.33,72.9,0.11,0.09,0.02,0.89,6.33,1.0,0.22,5.33
14,4601e194,31,5.4,20000000,1,0,0,0,85.19,96.67,88.1,1323.15,457.59,50.56,54.26,93.2,29.07,32.96,88.2,5.0,7.78,64.3,0.37,0.31,0.06,2.41,5.74,3.33,0.74,9.63
15,5294a83f,27,5.3,45000000,0,0,0,1,51.7,65.66,78.7,902.64,363.4,24.15,27.17,88.9,21.32,25.66,83.1,5.47,10.75,50.9,0.19,0.4,-0.21,2.45,6.6,2.45,0.19,9.43
16,77e84962,29,2.5,30000000,0,0,0,1,61.6,70.4,87.5,1228.8,368.0,22.8,24.4,93.4,27.6,32.4,85.2,10.8,12.4,87.1,0.0,0.08,-0.08,0.8,8.8,1.6,0.0,11.6
17,d68cb24c,29,1.2,2500000,0,0,0,1,35.0,43.33,80.8,661.67,162.5,10.83,14.17,76.5,21.67,22.5,96.3,2.5,4.17,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
18,6c811eb7,22,1.4,15000000,0,0,0,1,108.57,113.57,95.6,1778.57,422.14,51.43,52.86,97.3,50.71,53.57,94.7,5.71,5.71,100.0,0.0,0.07,-0.07,2.14,14.29,2.14,0.0,8.57
