,Player,Age,90s,mv,DF,FW,GK,MF,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG
0,8bc373ea,24,5.0,6000000,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,20.5,0.2,0.0,0.0,0.08,0.08,0.07,-0.08,-0.08
1,f586779e,22,2.6,38000000,0,1,0,0,0.38,2.31,0.77,33.3,2.35,0.78,0.17,0.5,11.3,0.0,0.0,0.0,0.35,0.35,0.15,0.04,0.04
2,b96b595c,32,8.0,10000000,1,0,0,0,0.0,0.62,0.12,20.0,0.62,0.12,0.0,0.0,11.8,0.0,0.0,0.0,0.05,0.05,0.07,-0.05,-0.05
3,81442ecb,28,3.6,15000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
4,2b09d998,21,3.2,20000000,1,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5,501055d8,18,0.6,10000000,0,1,0,0,1.67,3.33,1.67,50.0,3.46,1.73,0.5,1.0,15.9,0.0,0.0,0.0,1.0,1.0,0.28,0.67,0.67
6,f76e6b4e,33,1.0,1000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
7,288e1e13,24,3.1,8000000,1,0,0,0,0.0,0.97,0.0,0.0,0.98,0.0,0.0,,18.6,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
8,4d034881,32,1.7,18000000,0,1,0,0,1.18,0.59,0.59,100.0,0.59,0.59,1.0,1.0,15.0,0.0,0.59,0.59,0.82,0.41,0.66,0.35,0.18
9,89ac64a6,25,7.0,30000000,1,0,0,0,0.0,0.43,0.29,66.7,0.43,0.29,0.0,0.0,16.1,0.14,0.0,0.0,0.03,0.03,0.07,-0.03,-0.03
