Player,Play MP,Play Starts,Play Min,Perf GA,Perf GA90,Perf SoTA,Perf Saves,Perf Save%,W,D,L,Perf CS,Perf CS%,Perf PKatt,Pena PKA,Pena PKsv,Pena PKm,Pena Save%
f76e6b4e,1,1,90,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
7a2e46a8,7,7,630,0.71,0.71,3.29,2.57,78.3,0.57,0.14,0.29,0.71,71.4,0.0,0.0,0.0,0.0,
63e905bc,2,2,180,2.0,2.0,2.5,1.0,40.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
28d596a0,1,1,90,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f6798fc3,5,5,450,1.2,1.2,4.0,3.2,80.0,0.4,0.4,0.2,0.4,40.0,0.6,0.4,0.2,0.0,6.66
1e064bfb,1,1,90,2.0,2.0,4.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
e40d028b,1,1,90,0.0,0.0,7.0,7.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
9d12e142,4,4,360,0.25,0.25,2.25,2.25,100.0,0.75,0.25,0.0,0.75,75.0,0.25,0.25,0.0,0.0,0.0
eb2b33aa,4,4,360,2.25,2.25,5.25,3.25,61.9,0.25,0.0,0.75,0.25,25.0,0.25,0.25,0.0,0.0,0.0
93fffbcf,1,1,90,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
1840e36d,12,12,1080,1.17,1.17,3.25,2.17,64.1,0.5,0.25,0.25,0.33,33.3,0.0,0.0,0.0,0.0,
4030c7ae,6,6,540,2.83,2.83,5.5,3.33,57.6,0.0,0.17,0.83,0.0,0.0,0.5,0.5,0.0,0.0,0.0
3bb7b8b4,12,12,1080,0.42,0.42,1.83,1.33,77.3,0.83,0.08,0.08,0.58,58.3,0.0,0.0,0.0,0.0,
7ba6d84e,5,5,450,1.6,1.6,4.0,2.6,60.0,0.6,0.0,0.4,0.2,20.0,0.0,0.0,0.0,0.0,
f0f7f62f,3,3,270,0.33,0.33,2.0,1.67,83.3,0.67,0.0,0.33,0.67,66.7,0.0,0.0,0.0,0.0,
cecbce23,4,4,360,1.75,1.75,4.25,3.0,70.6,0.0,0.25,0.75,0.0,0.0,0.5,0.5,0.0,0.0,0.0
8b3d765f,2,2,180,1.5,1.5,6.0,5.0,83.3,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0
bcb2ccd8,8,8,720,2.0,2.0,4.12,2.62,60.6,0.5,0.0,0.5,0.12,12.5,0.5,0.38,0.12,0.0,3.12
b583aef5,6,6,540,3.0,3.0,5.83,3.17,54.3,0.17,0.0,0.83,0.0,0.0,0.33,0.33,0.0,0.0,0.0
