Player,Age,90s,mv,DF,FW,GK,MF
8bc373ea,24,5.0,6000000,1,0,0,0
f586779e,22,2.6,38000000,0,1,0,0
b96b595c,32,8.0,10000000,1,0,0,0
81442ecb,28,3.6,15000000,1,0,0,0
2b09d998,21,3.2,20000000,1,0,0,1
501055d8,18,0.6,10000000,0,1,0,0
f76e6b4e,33,1.0,1000000,0,0,1,0
288e1e13,24,3.1,8000000,1,0,0,0
4d034881,32,1.7,18000000,0,1,0,0
89ac64a6,25,7.0,30000000,1,0,0,0
414e1f69,19,0.4,2500000,0,1,0,1
eaeca114,25,2.0,32000000,1,0,0,0
fdf4b948,27,3.2,3500000,0,0,0,1
05439de2,28,9.0,55000000,1,0,0,1
4601e194,31,5.4,20000000,1,0,0,0
5294a83f,27,5.3,45000000,0,0,0,1
77e84962,29,2.5,30000000,0,0,0,1
d68cb24c,29,1.2,2500000,0,0,0,1
6c811eb7,22,1.4,15000000,0,0,0,1
cd1acf9d,21,7.9,75000000,1,0,0,0
edd38473,30,1.2,1000000,1,0,0,0
7a2e46a8,27,7.0,60000000,0,0,1,0
f4290206,29,2.0,12000000,1,0,0,0
8ce30c57,27,2.6,4500000,0,0,0,1
8b3ab7ad,22,1.4,14000000,1,0,0,1
22721b88,26,5.0,9000000,1,0,0,0
63e905bc,31,2.0,200000,0,0,1,0
9f1893b9,27,0.7,10000000,0,1,0,0
0a721e85,22,1.9,1500000,0,1,0,1
b5f66351,23,4.4,2000000,1,0,0,0
4e3f5992,26,1.4,1200000,0,0,0,1
30941e96,23,7.0,35000000,1,0,0,0
b105919e,18,0.9,2300000,0,1,0,0
108fe016,20,2.7,8000000,0,0,0,1
99127249,20,4.0,25000000,0,1,0,0
c63f6e46,33,4.7,3000000,0,1,0,0
2bef2bca,21,1.6,25000000,1,0,0,0
30643ce2,34,0.3,600000,0,1,0,0
1394bf42,17,0.7,1000000,1,0,0,0
1e465e70,18,0.4,3000000,0,1,0,0
28d596a0,25,1.0,13000000,0,0,1,0
45af8a54,24,6.9,35000000,0,1,0,0
552e00b9,22,0.5,2500000,0,0,0,1
