Player,Age,90s,mv,DF,FW,GK,MF,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt_x,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG,Play MP,Play Starts,Play Min,Perf GA,Perf GA90,Perf SoTA,Perf Saves,Perf Save%,W,D,L,Perf CS,Perf CS%,Perf PKatt_y,Pena PKA,Pena PKsv,Pena PKm,Pena Save%
8bc373ea,24,5.0,6000000,1,0,0,0,1.4,0.2,0.6,0.8,0.0,0.4,0.4,100.0,0.0,8.2,3.0,36.6,5.0,3.2,0.0,2.6,1.2,0.0,1.4,1.8,3.2,4.6,0.0,38.0,52.0,73.1,880.4,319.0,9.2,10.6,86.8,17.6,20.6,85.4,10.0,18.0,11.12,0.0,0.02,-0.02,0.2,1.6,0.0,0.0,2.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,20.5,0.2,0.0,0.0,0.08,0.08,0.07,-0.08,-0.08,,,,,,,,,,,,,,,,,,
f586779e,22,2.6,38000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.31,5.38,43.8,0.38,3.85,8.08,1.15,0.77,0.0,0.38,0.38,0.38,0.77,0.0,15.38,18.46,83.3,195.38,31.15,8.85,11.15,79.3,4.62,5.0,92.3,0.38,0.38,38.46,0.38,0.04,0.35,0.38,0.77,0.38,0.38,0.77,0.38,2.31,0.77,33.3,2.35,0.78,0.17,0.5,11.3,0.0,0.0,0.0,0.35,0.35,0.15,0.04,0.04,,,,,,,,,,,,,,,,,,
b96b595c,32,8.0,10000000,1,0,0,0,1.75,1.0,1.0,0.75,0.0,0.5,1.38,36.4,0.88,10.0,4.12,41.3,5.75,3.5,0.75,2.25,0.62,0.0,1.62,1.62,3.38,3.5,0.0,49.25,58.62,84.0,997.25,354.38,18.62,20.0,93.1,21.25,24.25,87.6,8.25,12.38,8.34,0.12,0.14,-0.01,1.12,1.75,1.25,0.62,2.75,0.0,0.62,0.12,20.0,0.62,0.12,0.0,0.0,11.8,0.0,0.0,0.0,0.05,0.05,0.07,-0.05,-0.05,,,,,,,,,,,,,,,,,,
81442ecb,28,3.6,15000000,1,0,0,0,2.5,2.22,1.67,0.56,0.28,1.11,1.94,57.1,0.83,14.72,3.33,22.6,3.33,7.22,4.17,2.78,0.0,0.0,2.78,1.67,4.17,3.33,0.0,67.22,82.78,81.2,1298.33,496.67,23.89,25.56,93.5,35.56,37.5,94.8,7.5,17.78,11.72,0.28,0.28,0.0,3.06,7.5,1.94,1.94,5.28,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
2b09d998,21,3.2,20000000,1,0,0,1,2.19,2.19,1.25,0.62,0.31,0.94,3.75,25.0,2.81,24.38,9.38,38.5,10.0,11.88,2.5,2.5,0.0,0.0,2.5,1.25,3.44,1.25,0.0,43.44,53.75,80.8,667.19,255.94,25.0,27.19,92.0,14.69,18.44,79.7,2.81,5.94,14.81,0.0,0.25,-0.25,0.94,2.5,0.62,0.31,2.19,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
501055d8,18,0.6,10000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,3.33,16.7,1.67,13.33,5.0,1.67,0.0,0.0,1.67,0.0,0.0,0.0,0.0,8.33,11.67,71.4,163.33,58.33,5.0,6.67,75.0,1.67,1.67,100.0,1.67,3.33,83.33,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.67,1.67,3.33,1.67,50.0,3.46,1.73,0.5,1.0,15.9,0.0,0.0,0.0,1.0,1.0,0.28,0.67,0.67,,,,,,,,,,,,,,,,,,
f76e6b4e,33,1.0,1000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,35.0,62.9,773.0,531.0,5.0,6.0,83.3,2.0,2.0,100.0,13.0,25.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,90.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
288e1e13,24,3.1,8000000,1,0,0,0,0.65,0.32,0.32,0.32,0.0,0.0,0.65,0.0,0.65,6.13,2.9,47.4,3.55,2.58,0.0,1.61,0.32,0.0,1.29,0.32,0.97,5.81,0.32,57.42,64.52,89.0,1246.45,445.48,19.68,21.29,92.4,26.13,27.74,94.2,11.29,14.84,24.55,0.0,0.0,0.0,0.0,2.9,0.0,0.0,1.61,0.0,0.97,0.0,0.0,0.98,0.0,0.0,,18.6,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03,,,,,,,,,,,,,,,,,,
4d034881,32,1.7,18000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,11.76,2.35,20.0,1.18,4.71,5.88,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0,10.0,14.12,70.8,97.65,32.94,7.65,10.0,76.5,1.18,2.35,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,1.18,0.59,0.59,100.0,0.59,0.59,1.0,1.0,15.0,0.0,0.59,0.59,0.82,0.41,0.66,0.35,0.18,,,,,,,,,,,,,,,,,,
89ac64a6,25,7.0,30000000,1,0,0,0,1.29,0.86,0.57,0.71,0.0,0.43,1.43,30.0,1.0,8.57,3.29,38.3,5.0,3.57,0.0,1.14,0.43,0.0,0.71,1.14,2.43,3.14,0.14,74.29,80.43,92.4,1498.0,463.71,26.14,27.57,94.8,36.43,38.0,95.9,10.86,13.57,11.43,0.0,0.01,-0.01,0.43,6.86,0.14,0.0,3.57,0.0,0.43,0.29,66.7,0.43,0.29,0.0,0.0,16.1,0.14,0.0,0.0,0.03,0.03,0.07,-0.03,-0.03,,,,,,,,,,,,,,,,,,
414e1f69,19,0.4,2500000,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.5,7.5,42.9,2.5,5.0,10.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,30.0,35.0,85.7,490.0,60.0,15.0,17.5,85.7,10.0,12.5,80.0,2.5,2.5,250.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.31,0.0,0.0,,4.1,0.0,0.0,0.0,0.25,0.25,0.09,-0.25,-0.25,,,,,,,,,,,,,,,,,,
eaeca114,25,2.0,32000000,1,0,0,0,1.5,1.5,0.5,0.0,1.0,1.0,1.5,66.7,0.5,7.5,2.5,33.3,2.0,3.0,2.5,1.5,0.0,0.0,1.5,1.0,2.5,2.5,0.0,62.5,69.0,90.6,1094.5,333.5,27.5,29.0,94.8,31.0,33.5,92.5,3.5,5.0,35.0,0.5,0.0,0.5,0.0,2.0,0.5,0.0,3.5,0.0,0.5,0.5,100.0,0.5,0.5,0.0,0.0,7.0,0.0,0.0,0.0,0.05,0.05,0.14,-0.05,-0.05,,,,,,,,,,,,,,,,,,
fdf4b948,27,3.2,3500000,0,0,0,1,1.56,1.56,0.31,1.25,0.0,0.31,1.88,16.7,1.56,17.81,6.88,38.6,9.38,6.56,1.88,2.81,0.62,0.0,2.19,1.25,2.81,1.25,0.0,23.75,29.69,80.0,395.94,78.75,12.81,15.0,85.4,7.5,9.69,77.4,2.19,3.12,21.88,0.0,0.0,0.0,0.0,2.19,0.0,0.0,2.19,0.31,0.94,0.31,33.3,0.93,0.31,0.33,1.0,13.8,0.0,0.0,0.0,0.12,0.12,0.13,0.19,0.19,,,,,,,,,,,,,,,,,,
05439de2,28,9.0,55000000,1,0,0,1,1.44,0.56,0.56,0.78,0.11,0.56,1.22,45.5,0.67,13.22,3.44,26.1,4.56,6.89,1.78,1.44,0.33,0.0,1.11,1.44,2.89,2.67,0.11,68.89,77.89,88.4,1452.0,393.33,20.44,21.44,95.3,37.56,40.67,92.3,10.44,14.33,8.1,0.11,0.09,0.02,0.89,6.33,1.0,0.22,5.33,0.0,1.11,0.33,30.0,1.11,0.33,0.0,0.0,19.9,0.22,0.0,0.0,0.09,0.09,0.08,-0.09,-0.09,,,,,,,,,,,,,,,,,,
4601e194,31,5.4,20000000,1,0,0,0,0.93,0.56,0.19,0.74,0.0,0.19,1.11,16.7,0.93,9.81,2.41,24.5,2.78,3.7,3.33,1.48,0.37,0.0,1.11,0.56,1.48,0.93,0.0,85.19,96.67,88.1,1323.15,457.59,50.56,54.26,93.2,29.07,32.96,88.2,5.0,7.78,11.91,0.37,0.31,0.06,2.41,5.74,3.33,0.74,9.63,0.0,0.19,0.0,0.0,0.19,0.0,0.0,,14.9,0.0,0.0,0.0,0.02,0.02,0.06,-0.02,-0.02,,,,,,,,,,,,,,,,,,
5294a83f,27,5.3,45000000,0,0,0,1,2.26,1.89,0.94,0.75,0.57,0.75,3.77,20.0,3.02,18.68,4.91,26.3,7.17,9.25,2.26,1.7,0.38,0.0,1.32,1.32,3.58,0.19,0.0,51.7,65.66,78.7,902.64,363.4,24.15,27.17,88.9,21.32,25.66,83.1,5.47,10.75,9.6,0.19,0.4,-0.21,2.45,6.6,2.45,0.19,9.43,0.0,1.13,0.75,66.7,1.14,0.76,0.0,0.0,19.8,0.0,0.0,0.0,0.08,0.08,0.07,-0.08,-0.08,,,,,,,,,,,,,,,,,,
