Player,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG
8bc373ea,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,20.5,0.2,0.0,0.0,0.08,0.08,0.07,-0.08,-0.08
f586779e,0.38,2.31,0.77,33.3,2.35,0.78,0.17,0.5,11.3,0.0,0.0,0.0,0.35,0.35,0.15,0.04,0.04
b96b595c,0.0,0.62,0.12,20.0,0.62,0.12,0.0,0.0,11.8,0.0,0.0,0.0,0.05,0.05,0.07,-0.05,-0.05
81442ecb,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2b09d998,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
501055d8,1.67,3.33,1.67,50.0,3.46,1.73,0.5,1.0,15.9,0.0,0.0,0.0,1.0,1.0,0.28,0.67,0.67
f76e6b4e,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
288e1e13,0.0,0.97,0.0,0.0,0.98,0.0,0.0,,18.6,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
4d034881,1.18,0.59,0.59,100.0,0.59,0.59,1.0,1.0,15.0,0.0,0.59,0.59,0.82,0.41,0.66,0.35,0.18
89ac64a6,0.0,0.43,0.29,66.7,0.43,0.29,0.0,0.0,16.1,0.14,0.0,0.0,0.03,0.03,0.07,-0.03,-0.03
414e1f69,0.0,2.5,0.0,0.0,2.31,0.0,0.0,,4.1,0.0,0.0,0.0,0.25,0.25,0.09,-0.25,-0.25
eaeca114,0.0,0.5,0.5,100.0,0.5,0.5,0.0,0.0,7.0,0.0,0.0,0.0,0.05,0.05,0.14,-0.05,-0.05
fdf4b948,0.31,0.94,0.31,33.3,0.93,0.31,0.33,1.0,13.8,0.0,0.0,0.0,0.12,0.12,0.13,0.19,0.19
05439de2,0.0,1.11,0.33,30.0,1.11,0.33,0.0,0.0,19.9,0.22,0.0,0.0,0.09,0.09,0.08,-0.09,-0.09
4601e194,0.0,0.19,0.0,0.0,0.19,0.0,0.0,,14.9,0.0,0.0,0.0,0.02,0.02,0.06,-0.02,-0.02
5294a83f,0.0,1.13,0.75,66.7,1.14,0.76,0.0,0.0,19.8,0.0,0.0,0.0,0.08,0.08,0.07,-0.08,-0.08
77e84962,0.0,0.8,0.4,50.0,0.81,0.41,0.0,0.0,21.0,0.0,0.0,0.0,0.04,0.04,0.05,-0.04,-0.04
