Player,fbref id,transm id,mv
Tammy Abraham,f586779e,331726,40000000
Tyler Adams,2b09d998,332705,11500000
Arijan Ademi,ee926a02,71542,5500000
Adrian,f76e6b4e,71271,4000000
Sergio Aguero,4d034881,26399,52000000
Manuel Akanji,89ac64a6,284730,20000000
David Alaba,05439de2,59016,52000000
Lucas Alario,834d0be5,193782,13500000
Jordi Alba,4601e194,69751,40000000
Paco Alcacer,a7a9d95a,126716,28000000
Thiago Alcantara,77e84962,60444,48000000
Toby Alderweireld,f7d50789,42710,24000000
Carles Alena,6c811eb7,284854,18000000
Trent Alexander-Arnold,cd1acf9d,314353,99000000
Alisson,7a2e46a8,105470,72000000
Allan,cc700722,126422,32000000
Dele Alli,cea4ee8f,207929,64000000
Andre Almeida,67b3d74b,83466,6500000
Marcos Alonso,f4290206,112515,20000000
Eder Alvarez Balanta,8ce30c57,265127,4800000
Edson Alvarez,8b3ab7ad,401356,8000000
Nadiem Amiri,555d5edd,232454,16000000
Ethan Ampadu,10b9fa99,392771,9000000
Joachim Andersen,e34fc66d,260827,16000000
Florin Andone,dc008610,177065,3200000
Benjamin Andre,ef9c1c95,84301,8000000
Miguel Angel Guerrero,b35db3f6,137704,1600000
Angelino,30941e96,277179,17500000
Angelino,30941e96,277179,17500000
Marcos Antonio,108fe016,468301,4000000
Houssem Aouar,a5db0bec,395693,49500000
Youssef El-Arabi,c63f6e46,96533,2000000
Charles Aranguiz,56413b1f,89701,12000000
Luiz Araujo,fa18c72e,435485,5500000
Alphonse Areola,2f965a72,120629,13000000
Santiago Arias,fdd60087,120443,12000000
Kepa Arrizabalaga,28d596a0,192279,32000000
Kwadwo Asamoah,089550f5,63531,6500000
Marco Asensio,45af8a54,296622,32000000
Majeed Ashimeru,552e00b9,360140,2400000
Iyayi Atiemwen,8f5bfaac,419597,1600000
Serge Aurier,5c2b4f07,127032,16000000
Sardar Azmoun,10549b49,180337,14500000
Cesar Azpilicueta,53cad200,57500,24000000
Ryan Babel,6438d426,16135,2000000
Leon Bailey,3a233281,387626,29500000
Gareth Bale,a58bb1e1,39381,32000000
Leonardo Balerdi,7c3ed041,575998,7200000
Jonathan Bamba,b2bd0f6c,292818,16000000
Nicolo Barella,6928979a,255942,36000000
Dmitri Barinov,d7c09951,263905,10000000
Ross Barkley,3a24769f,131978,21500000
Wilmar Barrios,8e7f49d3,257668,16000000
